"startup_id","startup_name","emergent_theme","market_label","transition_function","technical_stack","output_class","feedstock","industry_destination","market_interface","maturity_path","evidence_source","confidence","taxonomy_source","assignment_method","structured_sector","trl_current","trl_current_confidence","trl_current_status","trl_current_source_url","trl_current_last_checked","valuation_tier","notes","macro_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_country"
"circular","Circular","digital coordination and market infrastructure","professional network and recruiting platform","legacy-recruiting-to-digital-network-platform","professional network; recruiting marketplace","software platform","professional network data","recruiting and talent","platform","pending current evidence","user_gemini_candidate_2026","0.92","manual_override","manual_override","Digital Economy","","","pending_research","","","1.5","User-provided candidate and official site indicate a professional network and technical recruiting platform, without material or biocentric thesis fit.","peripheral or non-core digital ventures","peripheral","exclude","official_site_signal_full_digital_no_materiality","circular_official_site","AR"
"clover","Clover","digital coordination and market infrastructure","IT infrastructure and enterprise solutions","legacy-enterprise-it-to-managed-tech-services","IT infrastructure; networking; VoIP; security systems","enterprise software and services","enterprise IT operations","enterprise IT","services company","pending current evidence","clover_official_site_2026","0.94","manual_override","manual_override","Digital Economy","","","pending_research","","","2","Official site describes IT infrastructure, networking, security systems and enterprise technology services, not a thesis-core material or biocentric company.","peripheral or non-core digital ventures","peripheral","exclude","official_site_signal_full_digital_no_materiality","clover_official_site","US/AR"
"cobli","Cobli","mobility and logistics efficiency software","fleet management and telematics","manual-fleet-management-to-data-driven-logistics-efficiency","vehicle tracking; video telemetry; CAN telemetry; mobile apps; AI driver-risk detection","fleet telematics platform","","Logistics and fleet operations.","B2B SaaS/hardware","pending current evidence","official_website","0.84","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Exclude: indirect efficiency signal is not enough for BIO thesis without biological/material/planetary-boundary specificity.","peripheral or non-core digital ventures","peripheral","exclude","fleet_telemetry_efficiency_but_no_bio_or_planetary_thesis_core","manual_credibility_cleanup_2026_05_08","BR"
"conciencia","Conciencia","digital coordination and market infrastructure","education platform","traditional-learning-to-digital-skills-platform","edtech; soft skills development","software platform","education workflows","education","platform","pending current evidence","user_gemini_candidate_2026","0.83","manual_override","manual_override","Bio·Industry","","","pending_research","","","2","User-provided candidate describes an edtech focused on soft skills and social awareness, not a thesis-core material or biocentric company.","peripheral or non-core digital ventures","peripheral","exclude","candidate_signal_edtech_non_thesis","user_gemini_candidate_csv","AR"
"concil","Concil","payments reconciliation software","card and accounting reconciliation SaaS","manual-payment-reconciliation-to-accounting-automation","payments reconciliation; accounting; card reconciliation; financial operations SaaS","financial operations software","payments, card and accounting data","retail and finance operations","B2B fintech SaaS","pending current evidence","official_portfolio_profile","0.78","manual_override","manual_override","","","","pending_research","","","","SP Ventures legacy profile describes Concil as SaaS for accounting and card reconciliation, without BIO/agfood/planetary-boundary materiality signal.","peripheral or non-core digital ventures","peripheral","exclude","payments_reconciliation_no_bio_or_ag_materiality_signal","thesis_exclusion_clear_drop","BR"
"courageous_land","Courageous Land","regenerative agroforestry and carbon systems","reforestation and regenerative agroforestry","degraded-land-use-to-regenerative-agroforestry","reforestation; agroforestry systems","regenerative land platform","forest and agroforestry systems","land restoration and agriculture","project platform","pending current evidence","user_gemini_candidate_2026","0.83","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1.5","User-provided Gemini CSV points to Courageous Land official website and describes reforestation and regenerative agroforestry systems.","climate, energy and resource systems","core","include","candidate_website_signal_planetary_systems","user_gemini_candidate_csv","BR"
"crinsurance","CRInsurance","digital coordination and market infrastructure","credit insurance insurtech","legacy-insurance-to-digital-credit-insurance","insurance software; credit guarantees","fintech / insurtech platform","insurance and credit workflows","insurance","platform","pending current evidence","user_gemini_candidate_2026","0.86","manual_override","manual_override","Human Health","","","pending_research","","","1","User-provided candidate describes an insurtech for credit insurance and guarantees, without thesis-core material or biocentric fit.","peripheral or non-core digital ventures","peripheral","exclude","candidate_signal_insurtech_non_thesis","user_gemini_candidate_csv","AR"
"cryosmetics","Cryosmetics","biobased chemistry and materials","microbiome-positive skincare","synthetic-personal-care-to-biobased-microbiome-compatible-products","natural skincare biotech; skin microbiome formulations","biobased formulation","natural skincare compounds","personal care","product company","pending current evidence","gridx_portfolio_2026","0.76","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","GRIDX portfolio describes 100% natural skincare products impacting positively on the skin microbiome.","biobased chemistry and advanced materials","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","AR"
"culttivo","Culttivo","ag-finance, risk and producer intelligence","coffee producer credit and climate-risk intelligence","opaque-coffee-credit-to-climate-aware-producer-finance","satellite imagery; advanced analytics; ESG risk; climate risk; agricultural credit workflows","agricultural credit and risk-intelligence platform","","coffee production and agricultural finance","B2B / platform","pending current evidence","official_portfolio_profile","0.84","manual_override","manual_override","","","","pending_research","","","","Include as financial infrastructure tightly coupled to crop production and resilience.","precision agriculture and resource intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","BR"
"curseduca","Curseduca","digital coordination and market infrastructure","software and market infrastructure","manual-and-fragmented-operations-to-digital-coordination","workflow automation; fintech; commerce; enterprise software","software platform","transaction, workflow and enterprise data","cross-sector enterprise markets","B2B or marketplace platform","pending current evidence","graph_sector_default","0.49","taxonomy_v1_heuristic","sector_default","Digital Economy","","","pending_research","","","2","Digital economy default bucket","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","BR"
"cyanomin","CyanoMin","resource recovery and bioremediation systems","biological desalination and brine mineral recovery","hypersaline-brine-disposal-to-biological-water-reuse-and-resource-recovery","extremophilic bacteria; bacterial biofilms; ion adsorption; biodesalination; mineral recovery","environmental biotech resource recovery platform","hypersaline brines, ions, metals and industrial wastewater","mining, lithium, oil and gas water treatment, and resource recovery","industrial biotech solution supplier","pending current evidence","cyanomin_official_site_2026","0.94","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site describes biological desalination for hypersaline brines using unique bacteria with electrically charged biofilms that adsorb ions without membranes, pressure or heat.","climate, energy and resource systems","core","include","official_website_signal_bio_based_or_biocentric","cyanomin_official_site","AR"
"cytbac","Cytbac","vaccine and immunotherapy platforms","genetically engineered vaccine and immunotherapy platform","conventional-vaccine-design-to-engineered-immunotherapy-platforms","predictive genomics; AI/ML; engineered insect-virus vectors; antigen delivery; cellular immunity","vaccine and immunotherapy platform","","human and animal health","B2B / platform","pending current evidence","external_profile","0.88","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Include as core therapeutic biotechnology.","therapeutics and regenerative medicine","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","AR"
"decoy","Decoy","biological pest control and bioinputs","innovative biological pesticides for livestock and agriculture","chemical-pest-control-to-biological-alternatives-for-livestock-and-agriculture","biopesticides; biological pest control; livestock pest management; alternative inputs","biological crop/livestock protection product","biological pest-control agents","livestock and sustainable agriculture","B2B biological inputs supplier","pending current evidence","official_portfolio_profile","0.86","manual_override","manual_override","","","","pending_research","","","","SP Ventures official portfolio lists Decoy under Alternative Inputs / Biologicals; SP impact material describes Decoy biopesticides replacing chemical pest-control solutions.","ag biologicals and crop resilience","core","include","core_bio_ag_biologicals_and_biocontrol","sp_ventures_official_portfolio","BR"
"deepagro","DeepAgro","precision agriculture intelligence","precision agriculture software","input-intensive-to-precision-application","data platforms; agronomic intelligence; computer vision","measurement and decision platform","field imagery, sensors and farm data","agriculture","B2B platform","commercial deployment","official_website","0.74","taxonomy_v0_seed","manual_seed","Agri·Food·Land Use","","","pending_research","","","2","Important ag transition player though not core biotech","precision agriculture and resource intelligence","core","include","official_website_signal_bio_centric_precision_agriculture","deepagro_official_site","AR"
"delee","Delee","liquid biopsy and precision oncology diagnostics","circulating tumor cell liquid biopsy diagnostics","invasive-or-late-cancer-monitoring-to-automated-liquid-biopsy-diagnostics","liquid biopsy; circulating tumor cells; automated isolation; oncology diagnostics; blood analysis","CTC liquid-biopsy diagnostic platform","","oncology diagnostics and precision medicine","B2B / platform","pending current evidence","official_website","0.9","manual_override","manual_override","","","","pending_research","","","","Include as clinical diagnostics / precision oncology.","diagnostics and medtech","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","MX"
"dharma_bioscience","Dharma BioScience","non-invasive tissue regeneration","non-invasive tissue regeneration","invasive-tissue-treatment-to-non-invasive-regenerative-repair","regenerative medicine; tissue regeneration; tissue repair; therapeutic biology; non-invasive treatment","regenerative medicine therapeutic platform","","tissue repair, regenerative medicine and therapeutic R&D","B2B / platform","pending current evidence","official_portfolio_profile","0.72","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Include as regenerative medicine; source remains concise portfolio evidence.","therapeutics and regenerative medicine","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","AR"
"dogma_biotech","Dogma Biotech","therapeutic and regenerative biology","glyco-engineered therapeutics","lower-efficacy-therapeutics-to-glyco-optimized-biology","AI-discovered sugars; therapeutic optimization; glycobiology","therapeutic platform","glycan design workflows","biotech and therapeutics","therapeutic platform","pending current evidence","gridx_portfolio_2026","0.82","manual_override","manual_override","Digital Economy","","","pending_research","","","1","GRIDX portfolio describes improving therapeutics efficacy by 20X through AI-discovered sugars.","therapeutics and regenerative medicine","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","CO"
"done_properly","Done Properly","food transition ingredients and proteins","fermented mycelium protein and flavor bioingredients","less-sustainable-food-formulation-to-fermented-bioingredients","fermentation; mycoprotein; mycelium; flavor modulation; umami molecules; food biotech","food ingredient platform","microbial fermentation and mycelium-based food ingredients","food ingredients, alternative proteins and product development","ingredient company","pending current evidence","done_properly_official_site_2026","0.94","manual_override","manual_override","Deep·Biotech","","","pending_research","","","2","Official site describes fermentation-based sustainable bioingredients, mycelium protein and a natural flavor modulator for taste and nutrition.","food biotech and novel ingredients","core","include","official_site_signal_bio_based_or_biocentric","done_properly_official_site","CL"
"dprotein","DProtein","food transition ingredients and proteins","sustainable engineered proteins","animal-and-plant-protein-dependence-to-engineered-sustainable-proteins","computational biology; cell engineering; precision fermentation","protein ingredient platform","engineered bacterial production systems","food and beverage","ingredient company","pending current evidence","dprotein_linkedin_2026","0.78","manual_override","manual_override","Digital Economy","","","pending_research","","","1","LinkedIn company page describes sustainable proteins produced without the need of plants or animals, using computational biology, cell engineering and fermentation-related methods.","food biotech and novel ingredients","core","include","external_profile_signal_bio_based_or_biocentric","dprotein_linkedin_official","AR"
"dymaxion_labs","Dymaxion Labs","precision agriculture intelligence","agronomic AI and field intelligence","manual-fragmented-agronomic-processes-to-data-driven-field-and-regional-decisions","AI; data science; computer vision; agronomic analytics","ag intelligence platform","field trials, climate, satellite and agronomic data","agriculture and agribusiness","B2B platform","pending current evidence","dymaxion_official_site_2026","0.9","manual_override","manual_override","Agri·Food·Land Use","","","pending_research","","","2","Official site describes AI and data science solutions built exclusively for agriculture, including field trials, computer vision, regional monitoring and climate risk analytics.","precision agriculture and resource intelligence","core","include","official_website_signal_material_ag_system","dymaxion_official_site","AR"
"dynami","Dynami","digital coordination and market infrastructure","employee journey and HR analytics software","manual-and-fragmented-operations-to-digital-coordination","AI analytics; talent intelligence; employee wellbeing software","software platform","employee data and organizational workflows","HR software","B2B software platform","pending current evidence","dynami_official_site_2026","0.9","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes AI-powered employee journey insights, retention and productivity software with no material or biocentric signal.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","dynami_official_site","nan"
"egg","Egg","education technology and training platforms","online programming education platform","offline-or-fragmented-training-to-online-programming-education","learning platform; course content; subscription training","edtech learning platform","students, courses and learning-progress data","education and workforce training","B2C/B2B edtech platform","pending current evidence","egg_company_profile_2026","0.82","manual_override","manual_override","Digital Economy","","","pending_research","","","2","Public company profile describes Egg as an Argentina-based edtech offering online programming courses and tutorials, outside BIO VC LATAM scope.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_edtech_no_bio_materiality_signal","companycheck_profile","AR"
"einsted","Einsted","critical materials and resource systems","plasma pyrolysis for clean hydrogen and conductive carbon","emissions-intensive-hydrogen-production-to-on-site-clean-hydrogen-and-carbon-co-products","pulsed nano plasma; plasma pyrolysis; methane-to-hydrogen conversion","industrial decarbonization platform","methane and industrial process gases","industrial decarbonization, hydrogen and carbon materials","industrial equipment and solution provider","pending current evidence","einsted_official_site_2026","0.92","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes plasma pyrolysis technology that converts methane into hydrogen and carbon, enabling on-site decarbonization without harmful emissions or water consumption.","climate, energy and resource systems","core","include","official_website_signal_climate_materiality_and_resource_transition","einsted_official_site","AR"
"eiru","Eirú","ag biologicals and crop resilience","advanced pollination optimization","lower-pollination-efficiency-to-biology-informed-optimization","simulated bee dynamics; pollination optimization","ag biological optimization system","pollination dynamics","agriculture","ag technology platform","pending current evidence","sf500_portfolio_2026","0.78","manual_override","manual_override","Agri·Food·Land Use","","","pending_research","","","1.5","SF500 portfolio describes advanced pollination optimization through simulated bee dynamics.","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","AR"
"eiwa","Eiwa","precision agriculture intelligence","agronomic data intelligence platform","input-intensive-to-precision-application","geospatial analytics; agronomic data infrastructure; field experimentation workflows","measurement and decision platform","field, trial and geospatial agronomic data","agriculture","B2B platform","pending current evidence","eiwa_official_site_2026","0.92","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes a platform to standardize, integrate and analyze agronomic data at scale across research, market development and production.","precision agriculture and resource intelligence","core","include","official_site_signal_material_ag_system","eiwa_official_site","AR"
"elytron_biotech","Elytron Biotech","industrial biotech and molecular tools","AI-driven biological product development platform","slow-biological-product-development-to-ai-accelerated-bioindustry-products","AI-driven product development; genomics; gene editing; molecular biology; bioinformatics; industrialization","bioindustrial product-development platform","biological products, genomic data, molecular tools and bioindustry value-chain data","agriculture, bioindustry and biological products","B2B bioindustrial platform","pending current evidence","elytron_official_site_2026","0.86","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site says Elytron transforms cutting-edge technology into high-performance biological products through an AI-driven platform that accelerates development and minimizes industrialization risk.","biomanufacturing and bioindustrial platforms","core","include","official_website_signal_bioindustrial_products","elytron_official_site","AR"
"embryoxite","Embryoxite","health diagnostics and medtech","IVF diagnostics","lower-precision-ivf-to-better-outcome-screening","non-invasive embryo diagnostics; reproductive medtech","diagnostic platform","IVF and embryo assessment workflows","fertility medicine","diagnostic company","pending current evidence","gridx_portfolio_2026","0.81","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","GRIDX portfolio describes a non-invasive diagnostic to enhance IVF outcomes.","diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","AR"
"endless","Endless","digital coordination and market infrastructure","low-connectivity computing platform","limited-connectivity-computing-to-accessible-software","operating system; connectivity software","software platform","computing workflows","computing and education access","platform","pending current evidence","user_gemini_candidate_2026","0.83","manual_override","manual_override","Digital Economy","","","pending_research","","","2","User-provided candidate describes technology for accessible computing in low-connectivity areas, but not a thesis-core biobased, biocentric or planetary-systems company.","peripheral or non-core digital ventures","peripheral","exclude","candidate_signal_non_thesis_software","user_gemini_candidate_csv","US"
"enteria","Enteria","health diagnostics and medtech","microbiota diagnostics","coarse-gut-health-evaluation-to-microbiota-based-diagnostics","microbiome diagnostics; gut health testing","diagnostic tool","microbiota and biological samples","healthcare diagnostics","diagnostic company","pending current evidence","gridx_portfolio_2026","0.79","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","GRIDX portfolio describes microbiota-based diagnostic tools.","diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","AR"
"enzyva","Enzyva","industrial biotech and molecular tools","programmable biology platform","petrochemical-and-fragmented-manufacturing-to-bioenabled-production","enzyme design; precision biosensors; programmable biology","industrial biotech platform","enzymes, binders and biological design workflows","industrial manufacturing, diagnostics and biosensing","platform / infrastructure provider","pending current evidence","enzyva_official_site_2026","0.9","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes programmable biology for green manufacturing, precision biosensors and enzyme-powered industrial applications.","biomanufacturing and bioindustrial platforms","core","include","official_site_signal_bio_based_or_biocentric","enzyva_official_site","BR"
"eolo_pharma","Eolo Pharma","therapeutic and regenerative biology","thermogenesis-based obesity therapeutics","metabolic-dysfunction-to-energy-expenditure-based-obesity-therapy","novel molecules; thermogenesis pathway modulation","therapeutic pipeline","metabolic pathways and novel molecules","obesity and metabolic disease","clinical-stage biotech","pending current evidence","eolo_official_site_2026","0.93","manual_override","manual_override","Digital Economy","","","pending_research","","","1.5","Official site describes a clinical-stage biotech developing obesity and metabolic disease therapies based on thermogenesis and energy expenditure pathways.","therapeutics and regenerative medicine","core","include","official_website_signal_bio_based_or_biocentric","eolo_official_site","UY"
"epiliquid","Epiliquid","liquid biopsy and molecular diagnostics","liquid biopsy for early cancer detection","late-invasive-cancer-diagnosis-to-accessible-liquid-biopsy-screening","liquid biopsy; blood biomarkers; molecular diagnostics; early cancer detection; non-invasive screening","liquid-biopsy diagnostic platform","","oncology diagnostics, screening and clinical laboratories","B2B / platform","pending current evidence","public_company_profile","0.78","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Include as clinical diagnostics / molecular medtech.","diagnostics and medtech","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","AR"
"ergo_bioscience","Ergo Bioscience","food transition ingredients and proteins","plant-cell biotechnology for sustainable ingredients","animal-derived-and-unsustainable-ingredients-to-plant-cell-based-alternatives","plant cell culture; cell line development; biotech ingredient platform","ingredient platform","plant cell systems","food, health, beauty and agriculture","ingredient and platform company","pending current evidence","ergo_bioscience_official_site_2026","0.9","manual_override","manual_override","Agri·Food·Land Use","","","pending_research","","","2","Official site describes plant-cell biotechnology to create next-generation sustainable ingredients for food, health, beauty and agriculture.","food biotech and novel ingredients","core","include","official_website_signal_bio_based_or_biocentric","ergo_bioscience_official_site","AR"
"ergo_foods","Ergo Foods","food transition ingredients and proteins","plant cell biotechnology ingredients platform","animal-and-conventional-to-biobased-food-systems","plant cell biotechnology; recombinant proteins; plant cell engineering","food ingredient and biotech platform","engineered plant cells and plant metabolites","food, personal care, health and agriculture","ingredient and platform supplier","pending current evidence","ergo_foods_official_site_2026","0.91","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes plant cell biotechnology for next-generation ingredients, recombinant proteins and crop innovation tools.","food biotech and novel ingredients","core","include","official_site_signal_bio_based_or_biocentric","ergo_foods_official_site","AR"
"erural","Erural","livestock marketplace outside bio thesis","livestock marketplace and rural payment platform","informal-livestock-trading-to-digital-livestock-marketplace-and-payments","livestock marketplace; cattle transactions; animal genetics; ag payments; receivables; rural fintech","livestock marketplace / agfintech platform","livestock, buyer, seller, payment and rural credit data","livestock production and rural commerce","B2B/B2C ag marketplace","pending current evidence","erural_official_site_2026","0.86","manual_override","manual_override","","","","pending_research","","","","Official site shows livestock auctions, semen sales, fixed-price animal offers and cattle marketplace features; this is animal-market infrastructure, not BIO VC thesis material enough for include.","peripheral or non-core digital ventures","peripheral","exclude","livestock_marketplace_and_agfintech_without_specific_bio_transition_or_planetary_boundary_mechanism","official_website_review","BR"
"ethos","Ethos","venture capital and startup investment platform","deep-tech venture capital firm","startup-capital-gap-to-venture-investment-support","venture investing; founder support; portfolio services","venture capital firm","startup pipeline and investment data","venture capital and startup ecosystem","investment firm","pending current evidence","ethos_vc_official_2026","0.92","manual_override","manual_override","Digital Economy","","","pending_research","","","2","Official site describes Ethos as a venture capital firm investing in entrepreneurs, not a startup operating in the BIO VC LATAM universe.","peripheral or non-core digital ventures","peripheral","exclude","investor_not_startup_entity_outside_startup_universe","ethos_official_site","US/Latam"
"eureka","Eureka","digital coordination and market infrastructure","cross-border digital commerce and services venture","fragmented-digital-commerce-to-operated-cross-border-businesses","digital strategy; ecommerce operations; brand development; technology services","digital commerce operator","commerce, media and service-business data","ecommerce, services and digital brand operations","venture studio / operator","pending current evidence","eureka_public_site_2026","0.72","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Public site signals point to cross-border digital commerce, brand development, acquisition and technology services, with no defensible bio-based, biocentric or planetary-boundary materiality.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_services_no_bio_materiality_signal","eureka_public_site","nan"
"exactly","Exactly","digital coordination and market infrastructure","software and market infrastructure","manual-and-fragmented-operations-to-digital-coordination","workflow automation; fintech; commerce; enterprise software","software platform","transaction, workflow and enterprise data","cross-sector enterprise markets","B2B or marketplace platform","pending current evidence","graph_sector_default","0.49","taxonomy_v1_heuristic","sector_default","Digital Economy","","","pending_research","","","2","Digital economy default bucket","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","AR"
"exomas","Exomas","therapeutic and regenerative biology","neuroregenerative exosome therapeutics","conventional-care-to-biology-enabled-therapies","neural stem cell-derived exosomes; regenerative medicine","therapeutic platform","neural stem cell-derived exosomes","biotech and healthcare","therapeutic platform","pending current evidence","exomas_official_site_2026","0.9","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site and CONICET reporting describe exosome-based regenerative therapies for neurodegenerative diseases.","therapeutics and regenerative medicine","core","include","official_site_signal_bio_based_or_biocentric","exomas_official_site","AR"
"eywa_biotech","Eywa Biotech","therapeutic and regenerative biology","psychedelic biotech","conventional-care-to-biology-enabled-therapies","biosynthesis; green chemistry molecule manufacturing; psychedelic APIs","therapeutic platform","biosynthesized psychedelic compounds","mental health and clinical research","therapeutic platform","pending current evidence","eywa_biotech_official_site_2026","0.9","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes clinical-grade psychedelic APIs and finished drug products produced through biosynthesis for next-generation mental health treatments.","therapeutics and regenerative medicine","core","include","official_site_signal_bio_based_or_biocentric","eywa_biotech_official_site","AR"
"facturama","Facturama","digital coordination and market infrastructure","software and market infrastructure","manual-and-fragmented-operations-to-digital-coordination","workflow automation; fintech; commerce; enterprise software","software platform","transaction, workflow and enterprise data","cross-sector enterprise markets","B2B or marketplace platform","pending current evidence","graph_sector_default","0.49","taxonomy_v1_heuristic","sector_default","Digital Economy","","","pending_research","","","2","Digital economy default bucket","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","MX"
"falcomm","Falcomm","energy-efficient semiconductor hardware","energy efficient wireless power amplifier semiconductors","legacy-power-amplifiers-to-energy-efficient-semiconductor-hardware","semiconductors; RF power amplifiers; wireless communications hardware","semiconductor hardware product","RF and wireless communication hardware","telecommunications and hardware manufacturing","B2B hardware component","pending current evidence","techcrunch_falcomm_2025","0.84","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","TechCrunch profile describes a US fabless semiconductor company making efficient power amplifiers for wireless communications, outside BIO VC LATAM scope.","frontier hardware and infrastructure systems","core","exclude","non_latam_non_bio_semiconductor_hardware_outside_scope","techcrunch_profile","nan"
"fecundis","Fecundis","therapeutic and regenerative biology","fertility biotech","inefficient-infertility-treatment-to-biology-enabled-fertility-care","reproductive biology; molecular sperm enhancement","therapeutic platform","sperm biology and reproductive molecular mechanisms","fertility clinics and reproductive medicine","clinical biotech platform","pending current evidence","fecundis_official_site_2026","0.92","manual_override","manual_override","Other / Unclassified","","","pending_research","","","2","Official site describes sperm-enhancing technologies based on reproductive biology to improve infertility treatment outcomes.","therapeutics and regenerative medicine","core","include","official_site_signal_bio_based_or_biocentric","fecundis_official_site","AR"
"feedvax","Feedvax","ag biologicals and animal resilience","animal health biotech","antibiotic-intensive-to-preventive-biological-animal-health","oral vaccines; fish health; animal biotechnology","animal health input","biological vaccine payloads","aquaculture","animal health platform","pending current evidence","feedvax_official_site_2026","0.91","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Official site describes a platform of oral vaccines for fish that reduces stress and avoids antibiotic use in aquaculture.","ag biologicals and crop resilience","core","include","official_site_signal_bio_based_or_biocentric","feedvax_official_site","US/AR"
"flexza","Flexza","health benefits fintech infrastructure","flexible health benefits and compensation platform","fragmented-employee-health-benefits-to-flexible-fintech-compensation","benefits administration; fintech; health marketplace; compensation software","health benefits fintech platform","employee benefits, health payments and compensation data","financial services, HR benefits and healthcare access","B2B fintech/benefits platform","pending current evidence","flexza_public_profiles_2026","0.84","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Public profiles describe Flexza as financial services for flexible health benefits and compensation, not bio, medtech or planetary material transition.","peripheral or non-core digital ventures","peripheral","exclude","health_fintech_not_thesis_core_bio_or_medtech","linkedin_and_company_profile","nan"
"fligoo","Fligoo","digital coordination and market infrastructure","AI decision and analytics software","manual-and-fragmented-operations-to-digital-coordination","machine learning; predictive analytics; enterprise AI","software platform","customer and enterprise data","financial services, retail and telecom","B2B software platform","pending current evidence","fligoo_public_profiles_2026","0.86","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Public profiles describe an AI and advanced analytics company serving financial services and retail.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","fligoo_public_profiles","nan"
"food4you","Food4You","food transition ingredients and proteins","microbial plant-based food enhancers","lower-performing-plant-based-products-to-biology-enabled-food-quality","beneficial bacteria; food biotech; formulation","food ingredient technology","beneficial bacteria combinations","plant-based food","ingredient supplier","pending current evidence","gridx_portfolio_2026","0.82","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","GRIDX portfolio describes unique bacteria combinations that enhance plant-based products.","food biotech and novel ingredients","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","AR"
"frete_com","Frete Com","digital coordination and market infrastructure","digital freight and logistics platform","manual-and-fragmented-operations-to-digital-coordination","logistics software; freight marketplace; transport management","software-enabled logistics platform","freight operations and transport data","logistics and commerce","B2B logistics platform","pending current evidence","freight_platform_public_signal_2026","0.66","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1","Available public signals point to a logistics/freight platform rather than a thesis-core bio, regenerative or climate-material startup.","peripheral or non-core digital ventures","peripheral","exclude","logistics_software_without_thesis_core_materiality_signal","freight_platform_public_signal","nan"
"frizata","Frizata","flexitarian food and alternative protein systems","direct-to-consumer flexitarian frozen food platform","conventional-convenience-food-to-flexitarian-lower-impact-frozen-food-platform","food formulation; frozen food manufacturing; meatless products; D2C logistics; clean-label products","flexitarian frozen food products","plant-forward ingredients and prepared foods","consumer food and alternative protein","D2C foodtech platform","pending current evidence","external_profile","0.72","manual_override","manual_override","","","","pending_research","","","","F6S and investment coverage describe Frizata as a flexitarian frozen foodtech with meatless products and a sustainability-oriented food platform operating in Argentina, Chile and Brazil.","food biotech and novel ingredients","core","include","bio_centric_flexitarian_food_systems","secondary_public_profile_validated","AR/BR"
"frubana","Frubana","digital coordination and market infrastructure","software and market infrastructure","manual-and-fragmented-operations-to-digital-coordination","workflow automation; fintech; commerce; enterprise software","software platform","transaction, workflow and enterprise data","cross-sector enterprise markets","B2B or marketplace platform","pending current evidence","graph_sector_default","0.49","taxonomy_v1_heuristic","sector_default","Digital Economy","","","pending_research","","","2","Digital economy default bucket","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","CO/BR"
