"startup_id","startup_name","scope_decision","scope_status","scope_basis","scope_reason","macro_theme","emergent_theme","market_label","transition_function","technical_stack","industry_destination","thesis_fit","assignment_method","taxonomy_confidence","structured_country","structured_sector","trl_current","trl_current_status","valuation_tier","data_quality_score_10","quality_band","research_priority","missing_signals","startup_summary_v1","business_one_liner","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status","last_reviewed_at","bio_lens_tags","domain_tags","technology_tags","scale_tags"
"biomakers","Biomakers","include","confirmed","external_auditable_source","official_portfolio_signal_bio_based_or_biocentric","diagnostics and medtech","genomic diagnostics and precision health","genomic precision-treatment platform","one-size-fits-all-treatment-to-genomic-therapeutic-decisions","genomic testing; personalized medicine; companion diagnostics","precision medicine and complex-drug access","core","manual_override","0.87","AR/MX/BR","","","pending_research","","8","medium","4","needs_current_trl_research","Startup con base regional en argentina/mexico/brasil que convierte datos genomicos en decisiones terapeuticas y tratamientos personalizados. Entra por genomic diagnostics and precision health.","Genomic precision-treatment platform.","high","Entra por genomic diagnostics / precision medicine.","https://zentynel.com/en/portfolio/","official_portfolio_profile","2026-04-23","Zentynel describes Biomakers as transforming genomic data into therapeutic decisions through genomic testing and personalized-treatment workflows.","medium","reviewed","2026-05-08","human-health-bio","diagnostics-medtech; human-health; therapeutics-regenerative","ai-data; diagnostics; therapeutics","human-scale"
"biomas","Biomas","include","confirmed","external_auditable_source","bio_centric_ecosystem_restoration_and_carbon_removal","climate, energy and resource systems","native reforestation and ecosystem restoration","large-scale ecological restoration business","degraded-biomes-to-large-scale-native-ecosystem-restoration","native tree planting; ecological restoration; carbon credits; biodiversity recovery; community partnerships","Brazilian ecosystem restoration and carbon credits","core","manual_override","0.86","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Brazilian large-scale ecological restoration business restoring degraded ecosystems through native tree planting and generating carbon, biodiversity and community co-benefits. It belongs inside BIO VC LATAM as ecosystem restoration and nature-finance infrastructure.","Large-scale ecological restoration business.","high","Include: official source describes large-scale ecological restoration of Brazilian ecosystems with native trees and high-integrity carbon credits.","https://www.biomas.com/en","official_website","2026-04-29","Official site says Biomas regenerates Brazilian ecosystems, restores degraded areas by planting native trees and generates benefits beyond carbon credits.","high","reviewed","2026-05-08","biocentric; planetary-boundary; regenerative","biodiversity-nature; climate-resource","carbon-mrv","industrial-scale; planetary-scale; territorial-scale"
"biometallum","BioMetallum","include","confirmed","external_auditable_source","official_website_signal_climate_materiality_and_resource_transition","climate, energy and resource systems","critical materials and resource systems","biomining and direct lithium extraction","chemical-intensive-lithium-extraction-to-cleaner-biological-critical-minerals-recovery","biomining; engineered microorganisms; synthetic biology; AI-driven exploration","lithium, mining and critical materials","core","manual_override","0.93","AR","Digital Economy","","pending_research","1","8.5","high","3","needs_current_trl_research","BioMetallum is an Argentine biomining company using microorganisms, synthetic biology and AI-driven exploration to extract lithium and other metals with lower water use, fewer chemicals and reduced environmental impact. It is a high-fit planetary and biobased-industrial case because it applies living systems to critical-mineral extraction for the energy transition. It belongs inside BIO VC LATAM as biomining and resource-recovery infrastructure.","Biomining and direct lithium extraction company.","high","Include as industrial biotechnology for critical minerals and resource recovery.","https://bio-metallum.com/","official_website","2026-05-08","Official site describes BioMetallum as an Argentinian biomining startup using microorganisms, synthetic biology and AI-driven exploration for efficient lithium and metal extraction with lower water use and environmental impact.","high","reviewed","2026-05-08","biobased; biocentric; bio-enabled-industrial-transition; planetary-boundary","biomanufacturing; climate-resource; industrial-biotech","ai-data; synthetic-biology","industrial-scale; molecular-scale; planetary-scale; territorial-scale"
"bioplaster_research","BioPlaster Research","include","confirmed","external_auditable_source","core_biobased_materials_and_circular_packaging","biobased chemistry and advanced materials","biobased packaging and circular biomaterials","sargassum-based biodegradable packaging materials","petroleum-plastic-packaging-to-sargassum-based-compostable-biomaterials","sargassum biomass; alginates; cellulose; compostable films; biodegradable foams; biomaterials R&D","retail and packaging","core","manual_override","0.9","MX","","","pending_research","","8","medium","4","needs_current_trl_research","Mexican biomaterials startup transforming invasive sargassum biomass into biodegradable packaging materials, films, bags and foams that replace petroleum-derived plastics. It belongs inside BIO VC LATAM as biobased chemistry and circular advanced materials.","Sargassum-based biodegradable packaging materials.","high","Include: official source describes biodegradable packaging made mainly from brown algae such as sargassum.","https://www.bioplaster-research.com/","official_website","2026-04-29","Official website states BioPlaster bags are made mainly from brown algae such as sargassum and used to make compostable materials.","high","reviewed","2026-05-08","biobased; circular; planetary-boundary","biomaterials; climate-resource","biomaterials","product-scale"
"bioplaster_research_inc","BioPlaster Research Inc","include","confirmed","external_auditable_source","official_site_signal_bio_based_or_biocentric","biobased chemistry and advanced materials","circular material systems","seaweed biomaterials company","waste-biomass-and-petro-plastics-to-compostable-regenerative-packaging","biorefinery; biomaterials engineering; compostable packaging","packaging, retail and protective materials","core","manual_override","0.95","MX","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Empresa de biomateriales que transforma sargazo y otras biomasas marinas en empaques compostables, espumas y peliculas biodegradables. Entra en tesis por circular material systems.","Seaweed biomaterials and compostable packaging company.","high","Entra por sustitucion material y regeneracion ecosistemica ligada al aprovechamiento de biomasa invasora.","https://www.bioplaster-research.com/english/about-us","official_website","2026-04-20","Official site describes compostable packaging and biomaterials made from invasive sargassum and other seaweed-derived compounds.","high","reviewed","2026-05-08","biobased; biocentric; circular; planetary-boundary; regenerative","biomaterials; climate-resource","biomaterials","product-scale"
"bioplastix","Bioplastix","include","confirmed","external_auditable_source","official_site_signal_bio_based_or_biocentric","biobased chemistry and advanced materials","circular material systems","bioplastics production technology company","petrochemical-plastics-to-bio-based-circular-polymers","synthetic biology; precision fermentation; strain engineering","petrochemicals, agribusiness and consumer goods","core","manual_override","0.94","AR/MX","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Startup climate-bio que desarrolla bioplasticos de alto desempeño mediante bacterias ingenierizadas, fermentacion de precision y feedstocks baratos o residuales. Entra en tesis por circular material systems.","Bioplastics production technology company.","high","Entra por plataforma bioindustrial clara para sustituir plasticos fosiles.","https://bio-plastix.com/","official_website","2026-04-20","Official site describes engineered bacteria, precision fermentation and low-cost feedstocks to produce customizable bioplastics at scale.","high","reviewed","2026-05-08","biobased; bio-enabled-industrial-transition; circular; planetary-boundary","agri-food; biomanufacturing; biomaterials; climate-resource; industrial-biotech","biomaterials; fermentation; precision-fermentation; synthetic-biology","agroecosystem-scale; industrial-scale; molecular-scale; planetary-scale; product-scale"
"bioseek","Bioseek","include","confirmed","external_auditable_source","secondary_public_profile_signal_bio_based_or_biocentric","computational biology and scientific software","computational biology and life-science software","life-science semantic search and research intelligence","fragmented-literature-search-to-integrated-life-science-intelligence","semantic search; graph database; life-science analytics","biotech, pharma and research labs","core","manual_override","0.7","BR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica.","Semantic search engine for life sciences.","medium","Entra por software especializado de infraestructura para investigacion biologica, no como software horizontal.","https://www.f6s.com/company/bioseek","secondary_public_profile","2026-04-20","Public profiles describe BioSeek as a specialized search engine and research environment for life sciences with semantic search and analytics.","medium","reviewed","2026-05-08","human-health-bio","human-health; therapeutics-regenerative","ai-data; therapeutics",""
"biosynaptica","BioSynaptica","include","confirmed","external_auditable_source","source_backed_material_bio_or_planetary_signal","therapeutics and regenerative medicine","neurotherapeutics and biopharmaceutical platforms","neurodegenerative disease biopharmaceuticals","symptomatic-neurodegenerative-care-to-novel-biopharmaceutical-neurotherapeutics","biopharmaceuticals; erythropoietin derivatives; neuropharmaceuticals; neurodegenerative disease therapeutics","neurology, CNS therapeutics and pharmaceutical R&D","core","manual_override","0.86","AR","Digital Economy","","pending_research","1","9","high","4","needs_current_trl_research","BioSynaptica is an Argentine biotechnology company developing innovative biopharmaceuticals for neurodegenerative diseases, with public evidence centered on a neuropharmaceutical based on human erythropoietin derivatives. The company belongs inside BIO VC LATAM as a therapeutic biotech case: its core is drug development for brain and nervous-system disease, not ag intelligence or generic life-science services.","Biopharmaceutical platform for neurodegenerative diseases.","high","Include as core therapeutic biotechnology.","https://biosynaptica.com/","official_website","2026-05-08","Official site says BioSynaptica develops innovative biopharmaceuticals for neurodegenerative diseases and focuses on a neuropharmaceutical based on human erythropoietin derivatives.","high","reviewed","2026-05-08","biocentric; human-health-bio; planetary-boundary; regenerative","human-health; therapeutics-regenerative","ai-data; therapeutics","human-scale; planetary-scale"
"biotalife","Biotalife","include","confirmed","external_auditable_source","source_backed_material_bio_or_planetary_signal","diagnostics and medtech","microbiome medical devices and womens health","microbiome medical devices for vaginal health","symptom-focused-womens-health-products-to-microbiome-rebalancing-medical-devices","human microbiome; medical devices; vaginal microbiota; women's health; bacterial vaginosis; thrush","women's health, gynecology and microbiome care","core","manual_override","0.86","BR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Biotalife is a microbiome medtech company developing medical devices that naturally rebalance human microbiota, with an explicit focus on women's health conditions such as vaginal thrush, bacterial vaginosis and dryness. The company belongs inside BIO VC LATAM as microbiome-linked clinical device infrastructure: a health product acting on human microbial ecosystems, not generic wellness or agtech.","Microbiome medical devices for vaginal health.","high","Include as microbiome medtech / human health device.","https://www.biotalife.com/","official_website","2026-05-08","Official site describes medical devices that naturally balance human microbiota, particularly for vaginal thrush, bacterial vaginosis and dryness.","high","reviewed","2026-05-08","biobased; biocentric; human-health-bio; planetary-boundary","agri-food; biodiversity-nature; diagnostics-medtech; human-health","diagnostics","human-scale; industrial-scale; molecular-scale; planetary-scale; product-scale"
"bitgenia","Bitgenia","include","confirmed","external_auditable_source","official_site_signal_bio_based_or_biocentric","computational biology and scientific software","computational biology and life-science software","genomics and bioinformatics platform","slow-fragmented-r-and-d-to-data-driven-biology","genomic sequencing workflows; clinical bioinformatics; AI-enabled interpretation","healthcare, hospitals, clinics, pharma and research labs","core","manual_override","0.94","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software.","Genomics and bioinformatics platform.","high","Entra por plataforma computacional directamente acoplada a genómica y medicina de precisión.","https://www.bitgenia.com/nosotros/","official_website","2026-04-20","Official site describes genomic analysis services and a proprietary bioinformatics platform for gene panels, exome and genome sequencing workflows.","high","reviewed","2026-05-08","human-health-bio","human-health; therapeutics-regenerative","ai-data; therapeutics","human-scale; molecular-scale"
"bleps_vision","Bleps Vision","include","confirmed","external_auditable_source","official_site_signal_bio_based_or_biocentric","diagnostics and medtech","health diagnostics and medtech","portable visual health device","reactive-to-precision-healthcare","portable corneal topography; diagnostic hardware","optometry and eye care","core","manual_override","0.82","CL","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Empresa de medtech que desarrolla un topografo corneal portatil para diagnostico visual y adaptacion de lentes de contacto. Entra en tesis por diagnostics and medtech.","Dispositivo portatil de salud visual para diagnostico corneal.","high","Entra por herramienta medtech concreta, no por software horizontal.","https://blepsvision.com/en/","official_website","2026-04-20","Official site describes TOCO, a portable corneal topographer for diagnosis and contact lens fitting.","high","reviewed","2026-05-08","human-health-bio","diagnostics-medtech; human-health","ai-data; diagnostics","human-scale; product-scale"
"blerify","Blerify","exclude","confirmed","external_auditable_source","full_digital_identity_infrastructure_no_bio_materiality_signal","peripheral or non-core digital ventures","digital identity and credential infrastructure","digital identity and verifiable credential infrastructure","manual-identity-verification-to-wallet-based-digital-credentials","verifiable credentials; wallet; cryptography; blockchain; post-quantum security","digital identity, benefits and credential verification","peripheral","manual_override","0.9","AR/US","Digital Economy","","pending_research","1.5","9.5","high","2","","Infraestructura de identidad digital, credenciales verificables, billetera y firmas electronicas con criptografia poscuantica. Queda fuera por ser infraestructura digital horizontal sin materialidad BIO.","Digital identity and verifiable credential infrastructure.","low","Sale por digital identity/blockchain infrastructure, no por bio/material/planetary stewardship.","https://blerify.com/es/","official_website","2026-04-23","Official site describes Blerify as infrastructure to issue and verify digital credentials, digital benefits, vouchers and electronic signatures.","high","reviewed","2026-05-08","biocentric","biodiversity-nature","","industrial-scale"
"blooms","Blooms","include","confirmed","external_auditable_source","official_website_signal_material_ag_system","climate, energy and resource systems","traceability and tokenized resource infrastructure","fresh-produce exporter trade-finance platform","constrained-ag-export-finance-to-comprehensive-digital-solutions","pre-export finance; cross-border factoring; global payments; FX; virtual accounts; data-driven underwriting","agricultural export supply chains","core","manual_override","0.82","MX","","","pending_research","","8","medium","4","needs_current_trl_research","Blooms Capital is a trade-finance platform for Latin American fruit and vegetable exporters. It offers pre-export working capital, non-recourse cross-border factoring, global payments and FX tools through a data-driven process, including 24-hour invoice payment and U.S. virtual accounts for export collections. It belongs inside BIO VC LATAM as agri-food export finance infrastructure, an edge case directly linked to biological produce supply chains.","Agricultural exporter finance platform.","medium","Include as edge agri-food capital infrastructure because it serves fruit and vegetable export chains rather than horizontal finance.","https://www.bloomscapital.com/english","official_website","2026-05-06","Official site says Blooms provides pre-export finance, cross-border factoring, global payments, virtual U.S. accounts and FX tools for fruit and vegetable exporters, with fast data-driven financing.","high","reviewed","2026-05-08","planetary-boundary","agri-food; climate-resource","ai-data","agroecosystem-scale; industrial-scale; planetary-scale"
"botanical-solutions","Botanical Solutions","include","confirmed","external_auditable_source","official_company_profile_signal_bio_based_or_biocentric","ag biologicals and crop resilience","ag biologicals and crop resilience","botanical crop protection and biobased active ingredients","synthetic-crop-protection-to-botanical-bioinputs-and-advanced-natural-actives","plant tissue culture; botanical extracts; crop protection biotech; bioprocessing","agriculture and natural active ingredients","core","manual_override","0.91","CL/US","","","pending_research","","8","medium","4","needs_current_trl_research","Chilean plant-biotechnology company developing botanical-origin active ingredients for crop protection and human-health applications. Its platform uses proprietary plant tissue culture to produce consistent raw materials without relying only on field-grown botanical extraction. It belongs inside BIO VC LATAM as a biobased active-ingredient and ag biologicals company, with relevance to crop resilience, natural product supply chains and plant-cell bioprocessing.","Botanical active ingredients from plant tissue culture.","high","Core include: plant biotechnology, botanical active ingredients and crop-resilience applications.","https://www.linkedin.com/company/botanical-solution","linkedin_company_profile","2026-05-06","LinkedIn describes Botanical Solutions as a Chilean biotech company using proprietary plant tissue culture technologies to create botanical-origin raw materials for crop protection and human health.","high","reviewed","2026-05-08","biobased; biocentric; bio-enabled-industrial-transition; human-health-bio; regenerative","agri-food; biomanufacturing; human-health","ai-data; bioinputs; biomanufacturing","agroecosystem-scale; human-scale; industrial-scale; molecular-scale; product-scale"
"brain_ag","Brain.ag","include","confirmed","external_auditable_source","bio_centric_ag_finance_and_risk_infrastructure","climate, energy and resource systems","agricultural credit and risk intelligence","agribusiness credit and socioenvironmental risk platform","slow-ag-credit-and-esg-diligence-to-data-driven-risk-and-socioenvironmental-analysis","big data; AI; analytics; geoprocessing; remote sensing; rural credit; ESG; socioenvironmental monitoring","agricultural finance and socioenvironmental risk","core","manual_override","0.76","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Brain.ag is a Brazilian agribusiness data and risk-intelligence company specializing in credit, financial operations, ESG and socioenvironmental analysis for rural production. Public acquisition coverage says its platform combines data, analytics and agricultural-risk workflows to originate, decide and monitor rural credit faster, including producer, collateral, area and compliance checks. It belongs inside BIO VC LATAM as ag-finance and socioenvironmental-risk infrastructure for biological production systems.","Big-data platform for agribusiness credit and socioenvironmental analysis.","medium","Include as ag/planetary risk infrastructure; not biotech, but directly tied to financing and monitoring agricultural production systems.","https://www.serasaexperian.com.br/sala-de-imprensa/agronegocios/serasa-experian-adquire-parte-da-brain-ag-e-fortalece-analise-de-credito-para-o-agronegocio/","secondary_public_profile","2026-05-06","Serasa Experian acquisition release describes Brain.ag as a big-data company for agribusiness financial operations, risk evaluation, producer monitoring and socioenvironmental analysis.","medium","reviewed","2026-05-08","planetary-boundary","agri-food; climate-resource","ai-data; remote-sensing","agroecosystem-scale; industrial-scale; planetary-scale"
"branch_energy","Branch Energy","include","confirmed","external_auditable_source","source_backed_material_bio_or_planetary_signal","climate, energy and resource systems","distributed clean-energy infrastructure","distributed clean-energy and battery resilience platform","carbon-intensive-grid-dependence-to-resilient-clean-energy-infrastructure","on-site batteries; clean-energy infrastructure; energy analytics; carbon reduction; resilience management","commercial, industrial and energy-transition customers","core","manual_override","0.78","US","Bio·Industry","","pending_research","1.5","8.5","high","3","needs_current_trl_research","Branch Energy deploys clean-energy and energy-management infrastructure, including on-site batteries and data analytics, to reduce customer energy costs, increase resilience and lower carbon emissions. It is not biotech, but it fits the broader planetary-boundary perimeter as emissions-reduction and resilience infrastructure for material systems. It should cluster with climate and resource intelligence rather than biofactories or medical devices.","On-site batteries and clean-energy management platform.","medium","Include as planetary-boundary transition infrastructure, not as bio-based technology.","https://www.linkedin.com/company/branch-energy","official_public_profile","2026-05-08","LinkedIn company profile states that Branch Energy helps customers reduce energy costs while increasing resilience by deploying on-site batteries and other energy infrastructure.","high","reviewed","2026-05-08","human-health-bio; planetary-boundary; regenerative","climate-resource; diagnostics-medtech; human-health","ai-data","human-scale; industrial-scale; planetary-scale; product-scale"
"break_pet","BreakPET","include","confirmed","external_auditable_source","official_portfolio_signal_bio_based_or_biocentric","biobased chemistry and advanced materials","biobased chemistry and materials","enzymatic plastic circularity","linear-petrochemical-plastics-to-circular-material-reuse","engineered enzymes; PET recycling; industrial biotech","materials and circular packaging","core","manual_override","0.88","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","Enzymatic PET recycling platform.","high","Entra por transicion material clara desde plastico lineal a reutilizacion circular.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","GRIDX portfolio describes recycling PET using engineered enzymes for circular plastic reuse.","medium","reviewed","2026-05-08","biobased; bio-enabled-industrial-transition; circular; planetary-boundary","biomanufacturing; biomaterials; climate-resource; industrial-biotech","ai-data; biomaterials; enzymes","industrial-scale; molecular-scale; product-scale"
"bsafe_biotech","Bsafe Biotech","include","confirmed","external_auditable_source","public_profile_signal_bio_based_or_biocentric","ag biologicals and crop resilience","ag biologicals and crop resilience","biological pest control company","chemical-intensive-to-biological-pest-management","genetics; microorganisms; biological control","agriculture","core","manual_override","0.82","BR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Startup de control biologico que busca un nuevo modo de accion para manejo de plagas usando genetica y microorganismos. Entra en tesis por ag biologicals and crop resilience.","Biological control company for agriculture.","medium","Entra por control biologico agricola, aunque todavia conviene ampliar la evidencia tecnica publica.","https://www.bsafebiotech.com/","official_website","2026-04-20","Official site and public profiles describe a new frontier of biological control in agriculture using genetics and microorganisms.","medium","reviewed","2026-05-08","biocentric; regenerative","agri-food","bioinputs","agroecosystem-scale; molecular-scale"
"bug_agentes_biologicos","BUG Agentes Biologicos","include","confirmed","external_auditable_source","core_bio_ag_biologicals_and_biocontrol","ag biologicals and crop resilience","biological pest control and bioinputs","macrobial biological control company","chemical-pest-control-to-macrobial-biological-control","parasitoids; biological pest control; Trichogramma wasps; crop protection; macrobiological production","crop protection and sustainable agriculture","core","manual_override","0.84","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Brazilian biological-control company developing and commercializing parasitoids and macrobiological pest-control products for crops such as sugarcane and soybean. It belongs inside BIO VC LATAM as a clear ag biologicals / biocontrol case and is kept separate from ByBug.","Macrobial biological control company.","high","Include: SP Ventures lists Bug and public technical coverage describes BUG Agentes Biologicos as biological pest-control company using parasitoids.","https://spventures.com.br/portfolio/","official_portfolio_profile","2026-04-29","SP Ventures official portfolio lists Bug; FAPESP coverage describes Bug Agentes Biologicos developing wasps/parasitoids for biological control of sugarcane and soybean pests.","medium","reviewed","2026-05-08","biobased; biocentric; regenerative","agri-food","bioinputs","agroecosystem-scale"
"bybug","ByBug","include","confirmed","external_auditable_source","source_backed_material_bio_or_planetary_signal","biomanufacturing and bioindustrial platforms","insect bioreactors for recombinant proteins","insect bioreactor recombinant protein platform","capital-intensive-protein-manufacturing-to-insect-bioreactor-biomanufacturing","engineered insects; black soldier fly larvae; recombinant proteins; synthetic biology; bioinputs; circular biomanufacturing","pharmaceuticals, veterinary products, industrial enzymes and agricultural bioinputs","core","manual_override","0.92","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","ByBug is a Chilean biotechnology company building an insect-based biomanufacturing platform using genetically modified black soldier fly larvae as living bioreactors. ByBug Synthetics transforms agro-food byproducts into recombinant proteins and bioinputs for pharmaceutical, veterinary, industrial-enzyme and agricultural markets. It is not grain traceability or producer infrastructure; it should cluster with biomanufacturing, recombinant proteins, engineered insects and circular biofactories.","Engineered insect bioreactors for recombinant proteins and bioinputs.","high","Include as circular biomanufacturing, not agri-finance or traceability.","https://www.bybug.io/tecnologia/","official_website","2026-05-08","Official technology page says ByBug Synthetics uses black soldier fly larvae as bioreactors to transform organic waste into recombinant proteins and bioinputs through synthetic biology and genetic engineering.","high","reviewed","2026-05-08","biobased; bio-enabled-industrial-transition; circular; human-health-bio; planetary-boundary","agri-food; biomanufacturing; climate-resource; human-health; industrial-biotech; therapeutics-regenerative","ai-data; bioinputs; biomanufacturing; enzymes; synthetic-biology; therapeutics","agroecosystem-scale; industrial-scale; molecular-scale; planetary-scale"
"calfix","Calfix","include","confirmed","external_auditable_source","public_profile_signal_bio_based_construction_materials","biobased chemistry and advanced materials","biobased chemistry and materials","microbial concrete crack repair biotech","toxic-concrete-repair-to-biotech-enabled-crack-sealing","microbiology; chemistry; biomineralization; construction materials","construction materials and infrastructure maintenance","core","manual_override","0.78","AR","Digital Economy","","pending_research","1","8.5","high","3","needs_current_trl_research","Calfix is an Argentine biotech-materials startup developing biotechnology solutions for repairing cracks in concrete. The public company profile is still thin, but it specifically positions Calfix Bio around biotech solutions for concrete cracks, making the thesis fit clear: a biological or biomaterial route for construction-material repair. It belongs inside BIO VC LATAM as an early, source-thin biobased construction-materials case.","Biotech concrete crack repair platform.","medium","Include as biobased/materials edge case; reviewed for scope but still a priority for direct-source enrichment.","https://www.linkedin.com/company/calfix-bio","public_company_profile","2026-05-06","LinkedIn public company profile describes Calfix Bio as biotechnology research focused on biotech solutions for concrete cracks.","medium","reviewed","2026-05-08","biobased","biomaterials","ai-data; biomaterials","industrial-scale; molecular-scale; product-scale; territorial-scale"
"calice","Calice","include","confirmed","external_auditable_source","official_site_signal_material_ag_system","precision agriculture and resource intelligence","precision agriculture intelligence","virtual agronomic trials and product placement platform","slow-physical-agronomic-trials-to-scaled-virtual-product-placement","environmental modeling; agronomic simulations; genotype-environment analytics; product placement optimization","seed, biological input, fertilizer and agrifood companies","core","manual_override","0.94","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Calice is an Argentine agtech platform that models interactions between genotype, environment and management to run virtual agronomic trials and predict product performance. Its environmental fingerprints and simulation tools help seed, biological-input and fertilizer companies place products in the right field conditions faster and with fewer physical trials. It belongs inside BIO VC LATAM as precision-ag and ag-input intelligence infrastructure.","Virtual agronomic trials and product-placement intelligence for ag inputs.","high","Include as decision infrastructure for material agricultural inputs, biologicals and crop performance.","https://calice.ai/eng/","official_website","2026-05-08","Official site describes millions of virtual trials, environmental fingerprints and product placement optimization for seeds, biological inputs and fertilizers.","high","reviewed","2026-05-08","biocentric","agri-food","ai-data","agroecosystem-scale; industrial-scale; product-scale"
"caligenia","Caligenia","include","confirmed","external_auditable_source","official_website_signal_ag_biologicals_and_soil_carbon","ag biologicals and crop resilience","ag biologicals and crop resilience","BACTERCHAR soil-regeneration and carbon-storage amendment","organic-waste-and-soil-degradation-to-carbon-storing-biofertility","organic waste valorization; biochar; biotechnology; microorganisms; soil carbon storage","agriculture, soil restoration and carbon storage","core","manual_override","0.92","AR","Other / Unclassified","","pending_research","1","8","medium","4","needs_current_trl_research","Caligenia is an Argentine ag-biotech company developing BACTERCHAR, a soil-regeneration and carbon-storage amendment made by combining ancestral biochar-like soil practices with biotechnology and agriculturally relevant microorganisms. Its product transforms organic waste into a stable-carbon soil input that improves physical-chemical soil properties and microbial activity. It belongs inside BIO VC LATAM as carbon-negative biofertility, soil restoration and regenerative-agriculture infrastructure.","BACTERCHAR soil-regeneration and carbon-storage amendment.","high","Include as ag biologicals / regenerative soil technology with material climate relevance through stable carbon storage.","https://www.caligenia.com/","official_website","2026-05-06","Official site says Caligenia transforms organic waste into BACTERCHAR, combining ancestral soil amendment practices with biotechnology and microorganisms to improve soil properties, increase microbial activity and store stable carbon.","high","reviewed","2026-05-08","biobased; biocentric; circular; planetary-boundary; regenerative","agri-food; biodiversity-nature; climate-resource","","agroecosystem-scale; industrial-scale; molecular-scale; planetary-scale; product-scale"
"capim","Capim","exclude","confirmed","external_auditable_source","healthcare_saas_fintech_no_bio_materiality_signal","peripheral or non-core digital ventures","healthcare operations and embedded finance","dental clinic SaaS and financing","manual-dental-clinic-operations-to-integrated-saas-and-finance","vertical SaaS; AI scheduling; clinic management; patient records; embedded payments; financing","dental clinic operations and patient financing","peripheral","manual_override","0.86","BR","Digital Economy","","pending_research","2","9","high","1","","Capim provides management software and financial solutions for dental clinics, including scheduling, patient records, payments and financing. It is excluded from the BIO universe because the official source signals vertical SaaS/fintech for dentistry, without biotech, biomanufacturing, bio-based material or planetary-boundary thesis activity.","Dental clinic management and embedded finance platform.","low","Exclude confirmed: health-adjacent software/fintech for dental clinics, not BIO thesis activity.","https://capim.com.br/","official_website","2026-04-28","Official website describes clinic management software, AI scheduling, patient records, payment processing and financing for dental practices.","medium","reviewed","2026-05-08","human-health-bio","human-health","ai-data","human-scale"
"carbonext","Carbonext","include","confirmed","external_auditable_source","bio_centric_forest_conservation_and_carbon_finance","climate, energy and resource systems","forest carbon and conservation finance","nature-based carbon and forest conservation platform","deforestation-risk-to-verified-forest-conservation-and-carbon-finance","REDD+; forest conservation; carbon credits; emissions inventory; carbon marketplace; biodiversity protection; community development","forest conservation and carbon markets","core","manual_override","0.84","BR","","","pending_research","","8","medium","4","needs_current_trl_research","Brazilian nature-based solutions and forest carbon company developing REDD+, conservation, carbon-credit and emissions services across Brazilian biomes. It belongs inside BIO VC LATAM as forest conservation and nature-finance infrastructure.","Nature-based carbon and forest conservation platform.","high","Include: official source describes nature-based carbon, REDD+ projects, biodiversity protection and millions of hectares monitored in Brazil.","https://www.carbonext.com.br/en/","official_website","2026-04-29","Official site describes Carbonext as a nature-based solutions company with REDD+ conservation projects, forest carbon credits, biodiversity protection and community benefits.","high","reviewed","2026-05-08","biocentric; planetary-boundary","biodiversity-nature; climate-resource","ai-data; carbon-mrv","industrial-scale; planetary-scale; territorial-scale"
"cargo_sapiens","Cargo Sapiens","exclude","confirmed","external_auditable_source","generic_logistics_software_no_specific_bio_or_planetary_boundary_signal","peripheral or non-core digital ventures","logistics optimization outside bio thesis","freight quotation and logistics optimization platform","manual-freight-procurement-to-digital-logistics-optimization","freight management software; quote equalization; invoice auditing; logistics intelligence","transport and supply chains","peripheral","manual_override","0.86","BR","Digital Economy","","pending_research","2","9","high","1","","Brazilian freight-management software platform that modernizes freight purchasing, quote equalization, carrier comparison, invoice auditing and logistics benchmarking across maritime, air, road and multimodal transport. It is useful supply-chain software, but the official site does not show a specific bio, biobased, biocentric or planetary-boundary mechanism. It should stay outside the BIO semantic universe as generic logistics optimization.","Freight quote and logistics optimization software.","low","Exclude from BIO semantic universe: generic logistics software without specific biological, material-transition or planetary-boundary thesis.","https://cargosapiens.com/en/","official_website","2026-05-06","Official site describes freight quote equalization, freight management, invoice auditing, benchmarking and logistics optimization across transport modes.","high","reviewed","2026-05-08","","","ai-data","industrial-scale"
