"Source","Target","Type","Weight","SameTheme"
"alytix","galtec","Undirected","0.5554","yes"
"alytix","untech","Undirected","0.5495","yes"
"alytix","nanogrow_biotech","Undirected","0.5438","yes"
"apasomics","qumir_nano","Undirected","0.5717","yes"
"apasomics","imvalv","Undirected","0.5677","no"
"apasomics","dogma_biotech","Undirected","0.5613","yes"
"apasomics","biosynaptica","Undirected","0.5565","yes"
"ayuvant","nanotransfer","Undirected","0.56","yes"
"ayuvant","hiamet_s_a","Undirected","0.5588","no"
"ayuvant","untech","Undirected","0.5588","yes"
"ayuvant","nanoprox","Undirected","0.5526","yes"
"ayuvant","nanogrow_biotech","Undirected","0.5495","yes"
"ayuvant","cellrep","Undirected","0.5482","yes"
"biocle","hiamet_s_a","Undirected","0.5717","no"
"biocle","nanoprox","Undirected","0.5613","yes"
"biocle","nanogrow_biotech","Undirected","0.5565","yes"
"biocle","cellrep","Undirected","0.5544","yes"
"biosynaptica","exomas","Undirected","0.6578","yes"
"biosynaptica","qumir_nano","Undirected","0.5643","yes"
"cellrep","tesabio_ai","Undirected","0.582","yes"
"cellrep","nanotransfer","Undirected","0.58","yes"
"cellrep","spherebio","Undirected","0.5643","yes"
"cellrep","nanoprox","Undirected","0.551","yes"
"circa_therapeutics","radbio","Undirected","0.4753","yes"
"apasomics","circa_therapeutics","Undirected","0.4288","yes"
"circa_therapeutics","single_strand_biotech","Undirected","0.4268","yes"
"biosynaptica","circa_therapeutics","Undirected","0.4268","yes"
"circa_therapeutics","exomas","Undirected","0.4251","yes"
"chemtest","circa_therapeutics","Undirected","0.4251","no"
"dharma_bioscience","eolo_pharma","Undirected","0.6","yes"
"dharma_bioscience","single_strand_biotech","Undirected","0.4819","yes"
"dharma_bioscience","new_organs_biotech","Undirected","0.4819","yes"
"apasomics","dharma_bioscience","Undirected","0.3933","yes"
"biosynaptica","dharma_bioscience","Undirected","0.3933","yes"
"dharma_bioscience","exomas","Undirected","0.3933","yes"
"dogma_biotech","fecundis","Undirected","0.5262","yes"
"avatar_medtech","dogma_biotech","Undirected","0.52","no"
"arcomed","dogma_biotech","Undirected","0.52","no"
"dogma_biotech","enteria","Undirected","0.52","no"
"dogma_biotech","ocular_bio_design","Undirected","0.52","yes"
"eolo_pharma","scitherm_therapeutics","Undirected","0.4165","yes"
"eolo_pharma","qumir_nano","Undirected","0.414","yes"
"apasomics","eolo_pharma","Undirected","0.4121","yes"
"dogma_biotech","eolo_pharma","Undirected","0.4121","yes"
"eolo_pharma","ocular_bio_design","Undirected","0.4092","yes"
"exomas","qumir_nano","Undirected","0.5588","yes"
"enteria","exomas","Undirected","0.5588","no"
"avatar_medtech","exomas","Undirected","0.5565","no"
"exomas","imvalv","Undirected","0.5565","no"
"eywa_biotech","fecundis","Undirected","0.6","yes"
"eywa_biotech","scitherm_therapeutics","Undirected","0.6","yes"
"eywa_biotech","limay_biosciences","Undirected","0.505","no"
"fecundis","scitherm_therapeutics","Undirected","0.62","yes"
"galtec","spherebio","Undirected","0.5717","yes"
"galtec","untech","Undirected","0.5696","yes"
"galtec","nanotransfer","Undirected","0.5502","yes"
"galtec","hiamet_s_a","Undirected","0.5438","no"
"inner_cosmos","qumir_nano","Undirected","0.5889","yes"
"imvalv","inner_cosmos","Undirected","0.582","no"
"chemtest","inner_cosmos","Undirected","0.52","no"
"bleps_vision","inner_cosmos","Undirected","0.52","no"
"avatar_medtech","inner_cosmos","Undirected","0.52","no"
"inner_cosmos","ubique_bio","Undirected","0.52","no"
"libera","qumir_nano","Undirected","0.4553","yes"
"apasomics","libera","Undirected","0.441","yes"
"dogma_biotech","libera","Undirected","0.441","yes"
"biosynaptica","libera","Undirected","0.4347","yes"
"multiplai_health","tesabio_ai","Undirected","0.5929","yes"
"cellrep","multiplai_health","Undirected","0.551","yes"
"galtec","multiplai_health","Undirected","0.5414","yes"
"multiplai_health","nanoprox","Undirected","0.52","yes"
"bitgenia","multiplai_health","Undirected","0.52","no"
"nanogrow_biotech","untech","Undirected","0.6027","yes"
"nanogrow_biotech","nanotransfer","Undirected","0.582","yes"
"hiamet_s_a","nanogrow_biotech","Undirected","0.5588","no"
"nanogrow_biotech","tesabio_ai","Undirected","0.551","yes"
"nanoprox","nanotransfer","Undirected","0.5407","yes"
"nanogrow_biotech","nanoprox","Undirected","0.52","yes"
"nanotransfer","spherebio","Undirected","0.5526","yes"
"hiamet_s_a","nanotransfer","Undirected","0.543","no"
"mzp","new_organs_biotech","Undirected","0.5388","no"
"new_organs_biotech","ubique_bio","Undirected","0.52","no"
"dogma_biotech","new_organs_biotech","Undirected","0.52","yes"
"bleps_vision","new_organs_biotech","Undirected","0.52","no"
"arcomed","new_organs_biotech","Undirected","0.52","no"
"ocular_bio_design","synthetic_ocular_restoration","Undirected","0.675","yes"
"ocular_bio_design","qumir_nano","Undirected","0.5544","yes"
"bleps_vision","ocular_bio_design","Undirected","0.547","no"
"chemtest","ocular_bio_design","Undirected","0.52","no"
"ocular_bio_design","ubique_bio","Undirected","0.52","no"
"onco_precision","plamic_biotech","Undirected","0.5502","yes"
"nanogrow_biotech","onco_precision","Undirected","0.54","yes"
"aplife_biotech","onco_precision","Undirected","0.5382","no"
"galtec","onco_precision","Undirected","0.5351","yes"
"ayuvant","onco_precision","Undirected","0.52","yes"
"plamic_biotech","spherebio","Undirected","0.5526","yes"
"plamic_biotech","untech","Undirected","0.543","yes"
"oncoliq","plamic_biotech","Undirected","0.543","no"
"hiamet_s_a","plamic_biotech","Undirected","0.543","no"
"biocle","plamic_biotech","Undirected","0.5421","yes"
"imvalv","qumir_nano","Undirected","0.582","no"
"galtec","radbio","Undirected","0.5136","yes"
"radbio","untech","Undirected","0.5077","yes"
"multiplai_health","radbio","Undirected","0.4939","yes"
"radbio","tesabio_ai","Undirected","0.4903","yes"
"nanogrow_biotech","radbio","Undirected","0.487","yes"
"imvalv","single_strand_biotech","Undirected","0.5613","no"
"avatar_medtech","single_strand_biotech","Undirected","0.5613","no"
"apasomics","single_strand_biotech","Undirected","0.5565","yes"
"bleps_vision","single_strand_biotech","Undirected","0.5526","no"
"bleps_vision","synthetic_ocular_restoration","Undirected","0.551","no"
"biosynaptica","synthetic_ocular_restoration","Undirected","0.52","yes"
"chemtest","synthetic_ocular_restoration","Undirected","0.52","no"
"arcomed","synthetic_ocular_restoration","Undirected","0.52","no"
"avatar_medtech","synthetic_ocular_restoration","Undirected","0.52","no"
"galtec","tesabio_ai","Undirected","0.5407","yes"
"embryoxite","tesabio_ai","Undirected","0.52","no"
"hiamet_s_a","tesabio_ai","Undirected","0.52","no"
"hiamet_s_a","untech","Undirected","0.5764","no"
