"entity_id","entity_type","canonical_name","slug","source_presence","quality_flags","confidence_score","staging_entity_id"
"Synthetic Ocular Restoration","startup","Synthetic Ocular Restoration","synthetic-ocular-restoration","nodes_csv","","0.6","Synthetic Ocular Restoration"
"Syocin Biotech","startup","Syocin Biotech","syocin-biotech","nodes_csv","","0.6","Syocin Biotech"
"syocin_bio","startup","Syocin Bio","syocin-bio","graphml","","0.6","syocin_bio"
"tech","startup","@Tech","tech","graphml","","0.6","tech"
"TELL","startup","TELL","tell","nodes_csv|graphml","","0.9","TELL"
"Tensor Care","startup","Tensor Care","tensor-care","nodes_csv","","0.6","Tensor Care"
"teramot","startup","Teramot","teramot","graphml","","0.6","teramot"
"tesabio_ai","startup","Tesabio.ai","tesabio-ai","graphml","","0.6","tesabio_ai"
"The Earth Says","startup","The Earth Says","the-earth-says","nodes_csv","","0.6","The Earth Says"
"The Ganesha Lab","investor","The Ganesha Lab","the-ganesha-lab","nodes_csv","","0.6","The Ganesha Lab"
"the_yield_lab_latam","investor","The Yield Lab LATAM","the-yield-lab-latam","graphml","","0.6","the_yield_lab_latam"
"third_sphere","investor","Third Sphere","third-sphere","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","third_sphere"
"thrive","investor","Thrive","thrive","graphml","","0.6","thrive"
"Tintte","startup","Tintte","tintte","nodes_csv|graphml","","0.9","Tintte"
"Tissue Dynamics","startup","Tissue Dynamics","tissue-dynamics","nodes_csv","","0.6","Tissue Dynamics"
"tomorrow","startup","Tomorrow","tomorrow","graphml","","0.6","tomorrow"
"Tomorrow Foods","startup","Tomorrow Foods","tomorrow-foods","nodes_csv","","0.6","Tomorrow Foods"
"tracestory","startup","Tracestory","tracestory","graphml","","0.6","tracestory"
"TravelX","startup","TravelX","travelx","nodes_csv|graphml","","0.9","TravelX"
"Trears Biomarkers","startup","Trears Biomarkers","trears-biomarkers","nodes_csv","","0.6","Trears Biomarkers"
"Trebe Biotech","startup","Trebe Biotech","trebe-biotech","nodes_csv","","0.6","Trebe Biotech"
"Ubique Bio","startup","Ubique Bio","ubique-bio","nodes_csv","","0.6","Ubique Bio"
"UNIBAIO","startup","UNIBAIO","unibaio","nodes_csv|graphml","","0.9","UNIBAIO"
"Unleash Immuno Oncolytics","startup","Unleash Immuno Oncolytics","unleash-immuno-oncolytics","nodes_csv","","0.6","Unleash Immuno Oncolytics"
"unSpun","startup","unSpun","unspun","nodes_csv","","0.6","unSpun"
"untech","startup","UnTech","untech","graphml","","0.6","untech"
"UpDairy","startup","UpDairy","updairy","nodes_csv|graphml","","0.9","UpDairy"
"Vali","startup","Vali","vali","nodes_csv","","0.6","Vali"
"valor_capital_group","investor","Valor Capital Group","valor-capital-group","manual_external","","0.92","valor_capital_group"
"varana_capital","investor","Varana Capital","varana-capital","graphml","","0.6","varana_capital"
"vectr","investor","VECTR","vectr","graphml","","0.6","vectr"
"veronorte","investor","Veronorte","veronorte","external_fund_map_delta","","0.82","veronorte"
"Vexxel Biotech","startup","Vexxel Biotech","vexxel-biotech","nodes_csv","","0.6","Vexxel Biotech"
"ViewMind","startup","ViewMind","viewmind","nodes_csv|graphml","","0.9","ViewMind"
"Vmind","startup","Vmind","vmind","nodes_csv|graphml","","0.9","Vmind"
"vox_capital","investor","Vox Capital","vox-capital","external_fund_map_delta","","0.82","vox_capital"
"vx_fund","investor","VX Fund","vx-fund","graphml","","0.6","vx_fund"
"webee","startup","Webee","webee","graphml","","0.6","webee"
"WerkénVac","startup","WerkénVac","werk-nvac","nodes_csv","","0.6","WerkénVac"
"wiagro","startup","Wiagro","wiagro","graphml","","0.6","wiagro"
"wisy","startup","Wisy","wisy","graphml","","0.6","wisy"
"Zavia Bio","startup","Zavia Bio","zavia-bio","nodes_csv","","0.6","Zavia Bio"
"zentynel","investor","Zentynel","zentynel","manual_external","","0.95","zentynel"
"ZEV Biotech","startup","ZEV Biotech","zev-biotech","nodes_csv","","0.6","ZEV Biotech"
"zipnova","startup","Zipnova","zipnova","graphml","","0.6","zipnova"
"zoomagri","startup","ZoomAgri","zoomagri","graphml","","0.6","zoomagri"
