"entity_id","canonical_name","slug","integrated_type","canonical_type","source_presence","quality_flags","confidence_score","integrated_sources"
"Pannex","Pannex","pannex","startup","startup","nodes_csv","","0.6","canonical|historical"
"patagon-fiber","Patagon Fiber","patagon-fiber","startup","startup","nodes_csv","","0.6","canonical|historical"
"Peek","Peek","peek","startup","startup","nodes_csv","","0.6","canonical|historical"
"pepton","Pepton","pepton","startup","startup","graphml","","0.6","canonical|historical"
"phylumtech","PhylumTech","phylumtech","startup","startup","graphml","","0.6","canonical|historical"
"pill-ar","Pill.AR","pill-ar","startup","startup","nodes_csv","","0.6","canonical|historical"
"plamic","Plamic","plamic","startup","startup","graphml","","0.6","canonical|historical"
"po-s-bioenergy","PoÃ¡s Bioenergy","po-s-bioenergy","startup","startup","graphml","","0.6","canonical|historical"
"Polymera","Polymera","polymera","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"pregen","PreGen","pregen","startup","startup","graphml","","0.6","canonical|historical"
"prolific-machines","Prolific Machines","prolific-machines","startup","startup","nodes_csv","","0.6","canonical|historical"
"Protiva","Protiva","protiva","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"puna-bio","Puna Bio","puna-bio","startup","startup","nodes_csv","","0.6","canonical|historical"
"purple-dental","Purple Dental","purple-dental","startup","startup","nodes_csv","","0.6","canonical|historical"
"Qnity","Qnity","qnity","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"qumir","Qumir","qumir","startup","startup","historical","name_repaired","0.65","historical"
"qumir-nano","Qumir Nano","qumir-nano","startup","startup","nodes_csv","","0.6","canonical"
"RadBio","RadBio","radbio","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Radial","Radial","radial","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"resistia","Resistia","resistia","startup","startup","graphml","","0.6","canonical|historical"
"Retidiag","Retidiag","retidiag","startup","startup","nodes_csv","","0.6","canonical|historical"
"retrypay","Retrypay","retrypay","startup","startup","graphml","","0.6","canonical|historical"
"risas-pendientes","Risas Pendientes","risas-pendientes","startup","startup","nodes_csv","","0.6","canonical|historical"
"ruedata","Ruedata","ruedata","startup","startup","graphml","","0.6","canonical|historical"
"Ruuts","Ruuts","ruuts","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"satellites-on-fire","Satellites On Fire","satellites-on-fire","startup","startup","nodes_csv","","0.6","canonical|historical"
"Satellogic","Satellogic","satellogic","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"SciPhage","SciPhage","sciphage","startup","startup","nodes_csv","","0.6","canonical|historical"
"scitherm-therapeutics","Scitherm Therapeutics","scitherm-therapeutics","startup","startup","graphml","","0.6","canonical|historical"
"seedmatriz","SeedMatriz","seedmatriz","startup","startup","graphml","","0.6","canonical|historical"
"Semion","Semion","semion","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Semtive","Semtive","semtive","startup","startup","nodes_csv","","0.6","canonical|historical"
"sensei","Sensei","sensei","startup","startup","graphml","","0.6","canonical|historical"
"sensify","Sensify","sensify","startup","startup","graphml","","0.6","canonical|historical"
"SiloReal","SiloReal","siloreal","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"single-strand-biotech","Single Strand Biotech","single-strand-biotech","startup","startup","graphml","","0.6","canonical|historical"
"Skyloom","Skyloom","skyloom","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"smart-tissues","Smart Tissues","smart-tissues","startup","startup","nodes_csv","","0.6","canonical|historical"
"Smartex","Smartex","smartex","startup","startup","nodes_csv","","0.6","canonical|historical"
"Soleit","Soleit","soleit","startup","startup","nodes_csv","","0.6","canonical|historical"
"solfium","Solfium","solfium","startup","startup","graphml","","0.6","canonical|historical"
"SoyGREEN","SoyGREEN","soygreen","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Spectrum","Spectrum","spectrum","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"SphereBio","SphereBio","spherebio","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Splight","Splight","splight","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"st-mm","Stämm","st-mm","startup","startup","nodes_csv","","0.6","canonical|historical"
"starlight-ventures","Starlight Ventures","starlight-ventures","startup","startup","nodes_csv","","0.6","canonical|historical"
"Stradot","Stradot","stradot","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Sylvarum","Sylvarum","sylvarum","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"synergic-bio-solutions","Synergic Bio Solutions","synergic-bio-solutions","startup","startup","nodes_csv","","0.6","canonical|historical"
"synthetic-ocular-restoration","Synthetic Ocular Restoration","synthetic-ocular-restoration","startup","startup","nodes_csv","","0.6","canonical|historical"
"syocin-biotech","Syocin Biotech","syocin-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"TELL","TELL","tell","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"tensor-care","Tensor Care","tensor-care","startup","startup","nodes_csv","","0.6","canonical|historical"
"teramot","Teramot","teramot","startup","startup","graphml","","0.6","canonical|historical"
"tesabio-ai","Tesabio.ai","tesabio-ai","startup","startup","graphml","","0.6","canonical|historical"
"the-earth-says","The Earth Says","the-earth-says","startup","startup","nodes_csv","","0.6","canonical|historical"
"Tintte","Tintte","tintte","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"tissue-dynamics","Tissue Dynamics","tissue-dynamics","startup","startup","nodes_csv","","0.6","canonical|historical"
"tomorrow-foods","Tomorrow Foods","tomorrow-foods","startup","startup","nodes_csv","","0.6","canonical|historical"
"tracestory","Tracestory","tracestory","startup","startup","graphml","","0.6","canonical|historical"
"TravelX","TravelX","travelx","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"trears-biomarkers","Trears Biomarkers","trears-biomarkers","startup","startup","nodes_csv","","0.6","canonical|historical"
"trebe-biotech","Trebe Biotech","trebe-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"ubique-bio","Ubique Bio","ubique-bio","startup","startup","nodes_csv","","0.6","canonical|historical"
"UNIBAIO","UNIBAIO","unibaio","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"unleash-immuno-oncolytics","Unleash Immuno Oncolytics","unleash-immuno-oncolytics","startup","startup","nodes_csv","","0.6","canonical|historical"
"unSpun","unSpun","unspun","startup","startup","nodes_csv","","0.6","canonical|historical"
"untech","UnTech","untech","startup","startup","graphml","","0.6","canonical|historical"
"UpDairy","UpDairy","updairy","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Vali","Vali","vali","startup","startup","nodes_csv","","0.6","canonical|historical"
"vexxel-biotech","Vexxel Biotech","vexxel-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"ViewMind","ViewMind","viewmind","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"Vmind","Vmind","vmind","startup","startup","nodes_csv|graphml","","0.9","canonical|historical"
"webee","Webee","webee","startup","startup","graphml","","0.6","canonical|historical"
"werk","Werk","werk","startup","startup","historical","name_repaired","0.65","historical"
"werk-nvac","WerkénVac","werk-nvac","startup","startup","nodes_csv","","0.6","canonical|historical"
"wiagro","Wiagro","wiagro","startup","startup","graphml","","0.6","canonical|historical"
"wisy","Wisy","wisy","startup","startup","graphml","","0.6","canonical|historical"
"zavia-bio","Zavia Bio","zavia-bio","startup","startup","nodes_csv","","0.6","canonical|historical"
"zev-biotech","ZEV Biotech","zev-biotech","startup","startup","nodes_csv","","0.6","canonical|historical"
"zipnova","Zipnova","zipnova","startup","startup","graphml","","0.6","canonical|historical"
"zoomagri","ZoomAgri","zoomagri","startup","startup","graphml","","0.6","canonical|historical"
