"startup_id","startup_name","macro_theme","emergent_theme","market_label","technical_stack","transition_function","output_class","feedstock","industry_destination","market_interface","scope_decision","scope_reason","scope_source","evidence_source","notes","confidence"
"gisens_biotech","Gisens Biotech","diagnostics and medtech","health diagnostics and medtech","nanotech diagnostics","nanotechnology diagnostics; portable sensors","centralized-low-precision-diagnostics-to-ubiquitous-precision-testing","diagnostic device","diagnostic sensing workflows","healthcare diagnostics","device company","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes ultra-precise diagnostics everywhere through the use of nanotechnology.","0.82"
"heartbest","Heartbest","food biotech and novel ingredients","food transition ingredients and proteins","plant-based dairy foodtech","plant-based dairy formulation; food technology; dairy alternatives","animal-dairy-to-plant-based-food-systems","food product platform","plant-based ingredient systems","food and beverage","consumer food company","include","official_portfolio_signal_bio_based_or_biocentric","yieldlab_portfolio_official","yieldlab_heartbest_2026","The Yield Lab Latam portfolio describes plant-based dairy products built directly from plants for a healthier and more sustainable food system.","0.84"
"hiamet_s_a","HIAMET","climate, energy and resource systems","bioenergy and waste-to-resource systems","biogas biotech and organic-waste-to-energy platform","biotech additives; biodigester analysis; pilot plant validation; organic waste conversion; bioenergy","underperforming-organic-waste-streams-to-optimized-biogas-and-bioenergy-production","biogas biotech platform","biotech additives and biodigester optimization","biogas, organic waste and environmental services","biotech company","include","official_site_signal_bioenergy_waste_to_resource","official_website","hiamet_official_2026","Official site describes biotech-based solutions for biogas, organic-waste-to-energy conversion, biodigester performance analysis, pilot validation and custom additives.","0.9"
"imvalv","ImValv","diagnostics and medtech","health diagnostics and medtech","glaucoma treatment devices","medical devices; glaucoma treatment","limited-glaucoma-treatment-to-innovative-device-based-care","medical device platform","ophthalmic treatment workflows","healthcare","medtech company","include","candidate_website_signal_biocentric_health_system","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to ImValv official website and describes innovative medical devices for glaucoma treatment.","0.81"
"inmet","INMET","biobased chemistry and advanced materials","PHB biopolymers and compostable materials","PHB biopolymer and compostable biomaterials","PHB; biopolymer; synthetic biology; agro-industrial waste; solvent-free process; compostable plastics","fossil-plastic-materials-to-compostable-biobased-PHB","compostable PHB biopolymer","","packaging, plastics, biomaterials and circular materials","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","official_website","Include as core biobased chemistry / biomaterials.","0.92"
"inner_cosmos","Inner Cosmos","therapeutics and regenerative medicine","neurotherapeutic medical devices","brain-computer-interface therapy for depression","brain-computer interface; neurostimulation; embedded device; depression therapy; neural circuits","treatment-resistant-depression-to-embedded-neurotherapeutic-intervention","neurotherapeutic medical device","","mental health, neurology and neurotechnology","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as neurotherapeutic medtech; keep LATAM linkage under watch if needed.","0.84"
"iof","Iof","peripheral or underclassified ventures","unclassified / needs review resolved","insufficiently documented venture","insufficient_public_evidence","unknown","unknown","unknown","unknown","unknown","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","manual_research_resolution","internal_research_2026","Could not establish a defensible thesis-core signal from available public evidence.","0.52"
"kresko_rnatech","Kresko RNAtech","food biotech and novel ingredients","food transition ingredients and proteins","fresh-food bioactive RNA ingredients","bioactive RNA isolation; food extracts; functional ingredient stabilization","rapidly-lost-food-bioactives-to-stable-health-relevant-ingredients","functional ingredient platform","fresh fruits, vegetables, herbs, roots and milk-derived bioactive RNA","food, nutrition and gut health","ingredient company","include","official_portfolio_signal_bio_based_or_biocentric","sosv_indiebio_portfolio_official","sosv_company_profile_2026","SOSV company page describes isolating supernutrient bioactive RNAs from fresh foods and stabilizing them into extracts.","0.88"
"libera","Libera","therapeutics and regenerative medicine","therapeutic and regenerative biology","extracellular vesicles for inflammatory disease","extracellular vesicles; inflammatory disease therapeutics","limited-inflammatory-disease-treatment-to-vesicle-based-biological-therapies","therapeutic platform","extracellular vesicles","therapeutics","therapeutic company","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","sf500_portfolio_2026","SF500 portfolio describes extracellular vesicles to fight inflammatory diseases.","0.83"
"lifit","Lifit","peripheral or non-core digital ventures","digital coordination and market infrastructure","consumer wellness or productivity software","consumer app workflows","manual-and-fragmented-operations-to-digital-coordination","consumer app","consumer behavior and item tracking data","consumer software","consumer app","exclude","consumer_software_without_thesis_core_signal","lifit_public_signal","lifit_public_signal_2026","Available public signals point to a consumer app, not a thesis-core bio, regenerative or climate-material startup.","0.58"
"limay_biosciences","Limay Biosciences","diagnostics and medtech","health diagnostics and medtech","portable molecular diagnostics","portable PCR; molecular diagnostics; point-of-care devices","centralized-lab-diagnostics-to-portable-molecular-testing","molecular diagnostic platform","biological samples and PCR workflows","healthcare, veterinary medicine and food testing","diagnostic platform","include","institutional_public_source_signal_bio_based_or_biocentric","institutional_public_source","cancilleria_2026","Public institutional profile describes portable molecular diagnostics with PCR-level accuracy delivered without centralized labs.","0.88"
"logan","Logan","peripheral or non-core digital ventures","digital coordination and market infrastructure","adtech and media data platform","mobility media; audience data; advertising technology","manual-and-fragmented-operations-to-digital-coordination","software platform","audience, mobility and advertising data","marketing and media","B2B software platform","exclude","full_digital_no_materiality_signal","logan_official_site","logan_official_site_2026","Official site describes a media and data company focused on advertising, audiences and programmatic formats.","0.9"
"luzid","Luzid","peripheral or non-core digital ventures","digital coordination and market infrastructure","ERP delivery and transformation platform","agentic ERP workflows; testing; document generation","manual-and-fragmented-operations-to-digital-coordination","software platform","ERP project documents and delivery workflows","enterprise software","B2B software platform","exclude","full_digital_no_materiality_signal","luzid_official_site","luzid_official_site_2026","Official site describes an AI platform for ERP delivery, testing and transformation management.","0.9"
"m4life","M4Life","ag biologicals and crop resilience","ag biologicals and crop resilience","abiotic stress plant resilience enhancer","biological plant resilience enhancer; abiotic stress","stress-vulnerable-crops-to-biologically-enhanced-resilience","ag biological","crop stress response systems","agriculture","input supplier","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","sf500_portfolio_2026","SF500 portfolio describes a biological plant resilience enhancer to abiotic stress.","0.81"
"mavios","Mavios","biomanufacturing and bioindustrial platforms","bioprocess intelligence and digital twins","digital twin for bioprocesses","AI; digital twin; in silico simulation; bioprocess modeling","slow-costly-bioprocess-scale-up-to-faster-in-silico-bioprocess-optimization","bioprocess intelligence platform","precision fermentation and bioprocess production data","precision fermentation and bioindustrial companies","B2B platform","include","official_site_signal_bioindustrial_infrastructure","mavios_official_site","mavios_official_site_2026","Official site says Mavios helps precision fermentation companies scale faster with an AI-based digital twin for bioprocesses and in silico simulations evaluating biological and economic outcomes.","0.92"
"menta_tickets","Menta Tickets","peripheral or non-core digital ventures","digital coordination and market infrastructure","ticket resale infrastructure","payments; resale governance; ticketing APIs","manual-and-fragmented-operations-to-digital-coordination","software platform","ticketing, payments and compliance data","ticketing and events","B2B software platform","exclude","full_digital_no_materiality_signal","menta_official_site","menta_official_site_2026","Official site describes white-label resale infrastructure for ticketing platforms.","0.88"
"microin","MicroIN","ag biologicals and crop resilience","extremophile microbial ag inputs","bioinput microencapsulation","microencapsulation; ag bioinputs; formulation technology","fragile-bioinputs-to-more-effective-agricultural-delivery","bioinput technology","bioinput formulations","agriculture","input platform","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes microencapsulation technology for bioinput innovation.","0.80"
"microscopia","microscopIA","diagnostics and medtech","health diagnostics and medtech","ai-enabled automated microscopy devices","automated microscopy; machine learning diagnostics; robotic sample handling","manual-and-slow-screening-to-automated-diagnostic-detection","diagnostic or medical device","microscopy images and pathogen detection workflows","public health, veterinary medicine and agribusiness diagnostics","device and diagnostic platform","include","secondary_public_signal_bio_based_or_biocentric","microscopia_public_profiles","microscopia_public_profiles_2026","Public company profiles describe automated microscopy devices powered by machine learning for malaria, tropical disease and agroindustrial pathogen detection.","0.78"
"microterra","MicroTerra","food biotech and novel ingredients","food transition ingredients and proteins","aquatic plant functional ingredients","lemna cultivation; aquafarm integration; plant-based ingredient processing","polluting-aquaculture-to-water-cleaning-functional-ingredient-production","functional ingredient platform","lemna grown in aquaculture systems","plant-based food and food ingredients","ingredient company","include","official_portfolio_signal_bio_based_or_biocentric","sosv_indiebio_portfolio_official","sosv_company_profile_2026","SOSV company page describes lemna-based functional ingredients grown alongside aquafarms, reducing water footprint and cleaning water.","0.90"
"migma","MIGMA","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI email generation platform","AI content generation; marketing automation","manual-and-fragmented-operations-to-digital-coordination","software platform","brand assets, campaign data and email content","marketing technology","B2B software platform","exclude","full_digital_no_materiality_signal","migma_public_docs","migma_public_docs_2026","Public documentation describes AI-powered email generation and marketing workflows.","0.82"
"multiplai_health","MultiplAI Health","diagnostics and medtech","transcriptomic screening and precision diagnostics","AI transcriptomic screening for cardiovascular disease","RNA sequencing; transcriptomics; machine learning; blood-based screening; cardiovascular diagnostics","late-disease-detection-to-scalable-transcriptomic-prevention","blood-based transcriptomic diagnostic platform","","preventive medicine, cardiovascular screening and precision diagnostics","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as genomic diagnostics / precision health.","0.90"
"muta","MUTA","climate, energy and resource systems","resource recovery and circular materials infrastructure","B2B circular recycling and traceability platform","recycling supply-chain software; traceability; logistics orchestration; processor network","informal-fragmented-recycling-to-traceable-circular-material-flows","circular materials infrastructure platform","recyclable waste streams and processor data","recycling, circular economy and material recovery","B2B circular economy platform","include","external_source_signal_planetary_boundary_material_recovery_latam","f6s_and_common_fund_profile","muta_public_profiles_2026","F6S and Common Fund for Commodities describe MUTA as a Colombian B2B circular economy platform connecting waste generators, collectors and processors with traceability across the recycling supply chain.","0.84"
"mycorium_biotech","Mycorium Biotech","biobased chemistry and advanced materials","biobased chemistry and materials","mycelium bio-leather from waste","mycelium; waste upcycling; biomaterials","waste-and-animal-or-fossil-materials-to-mycelium-based-alternatives","biomaterial","waste streams and mycelium","materials and fashion","material company","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","sf500_portfolio_2026","SF500 portfolio describes upcycling waste using mycelium to produce bio-leather.","0.84"
"mzp","MZP","diagnostics and medtech","health diagnostics and medtech","point-of-care coagulation diagnostics","microfluidics; in vitro diagnostics; hemostasis analysis","reactive-to-precision-healthcare","diagnostic or medical device","blood and coagulation samples","healthcare providers and critical care","clinical solution provider","include","official_signal_bio_based_or_biocentric","mzp_public_profiles","mzp_public_profiles_2026","Public profiles describe point-of-care hemostasis diagnostics for bleeding management in trauma, surgery and critical care.","0.88"
"nanojump_bio","Nano Jump Bio","diagnostics and medtech","health diagnostics and medtech","genetic material extraction tools","sample preparation; molecular biology tools; portable extraction","lab-bound-genetic-sample-prep-to-anywhere-extraction","molecular biology tool","genetic material and sample preparation workflows","diagnostics, molecular biology and field testing","research and diagnostics tool","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes Nano Jump Bio as enabling extraction of genetic material anywhere.","0.78"
"nanogrow_biotech","Nanogrow Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","single-domain antibody therapeutics platform","single-domain antibodies; targeted biologics; advanced delivery","conventional-care-to-biology-enabled-therapies","therapeutic platform","single-domain antibody libraries and delivery systems","biotech and pharmaceutical therapeutics","therapeutic platform","include","official_site_signal_bio_based_or_biocentric","nanogrow_official_site","nanogrow_official_site_2026","Official site describes a platform of single-domain antibodies with tailored delivery strategies for targeted biological therapies.","0.93"
"nanoingreen","Nanoingreen","biobased chemistry and advanced materials","biobased chemistry and materials","natural ingredient encapsulation","nanotechnology; ingredient encapsulation","less-effective-natural-ingredients-to-encapsulated-stable-formulations","ingredient technology platform","natural ingredients","food, cosmetics and health","ingredient technology company","include","candidate_website_signal_bio_based_or_biocentric","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to Nanoingreen official website and describes nanotechnology for encapsulating natural ingredients.","0.76"
"nanoprox","NanoproX","diagnostics and medtech","nanomedicine and oncology devices","nanotech-enhanced radiotherapy platform","bismuth sulfide nanoparticles; targeted radiosensitization; oncology nanomedicine; radiotherapy","low-efficacy-radiotherapy-to-more-precise-cancer-treatment","oncology nanoparticle radiosensitizer","","oncology and radiotherapy providers","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","official_website","Include as therapeutic medtech/nanomedicine for cancer treatment.","0.88"
"nanotica","Nanotica","precision agriculture and resource intelligence","ag-input delivery and nanoencapsulation","ag-input nanoencapsulation technology","nanotechnology; nanoencapsulation; agrochemical delivery; crop protection; farm equipment","high-dose-agrochemical-application-to-lower-dose-precision-delivery","in-field nanoencapsulation equipment and capsules","","agriculture and crop protection","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","official_website","Include as precision agricultural input-delivery infrastructure; keep distinct from microbial bioinputs.","0.90"
"nat4bio","Nat4Bio","food biotech and novel ingredients","edible coatings and post-harvest biopreservation","edible coatings and post-harvest biopreservation","edible coatings; microbial biopolymers; natural antimicrobials; food-grade excipients; post-harvest preservation; native microorganisms","residue-heavy-post-harvest-treatment-to-natural-biological-food-preservation","zero-residue edible coating","","fresh produce, fruit exports, food preservation and food-waste reduction","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","official_website","Include as food biotech / biological preservation, not generic food marketplace.","0.92"
"naturanova","Naturanova","peripheral or underclassified ventures","unclassified / needs review resolved","natural consumer wellness brand","consumer natural products","manual-and-fragmented-operations-to-digital-coordination","consumer product brand","natural ingredients","consumer wellness","consumer brand","exclude","consumer_brand_outside_tracker_thesis","naturanova_public_signal","naturanova_public_signal_2026","Available public signals point to a natural consumer brand, not a thesis-core startup in our tracked ecosystem.","0.58"
"new_organs_biotech","New Organs Biotech","therapeutics and regenerative medicine","gene-edited regenerative medicine and organ replacement","gene-edited regenerative medicine for organ replacement","gene editing; precision medicine; regenerative medicine; organ shortage; transplant biology","donor-organ-shortage-to-engineered-regenerative-organ-solutions","regenerative medicine therapeutic platform","","transplant medicine, regenerative health and organ replacement","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","official_portfolio_profile","Include as regenerative medicine; evidence depth remains medium because public source is portfolio-level.","0.78"
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","nature restoration and carbon-credit platform","carbon credits; ecosystem restoration; biodiversity conservation; native reforestation; Verra certification","depleted-ecosystems-to-certified-restoration-and-carbon-credit-projects","nature-based carbon platform","restoration and biodiversity carbon projects","carbon markets and ecosystem restoration","nature-based solutions company","include","public_project_signal_planetary_restoration_carbon","nideport_public_project_profile","nideport_misiones_project_2026","Public Nideport material describes certified carbon-credit project development, ecological restoration, biodiversity conservation and native-species restoration.","0.86"
"notfossil","NotFossil","climate, energy and resource systems","bioremediation and microbial resource recovery","microbial hydrocarbon bioremediation","biofilters; proprietary microbes; hydrocarbon degradation; environmental remediation","persistent-fossil-contamination-to-microbial-bioremediation","microbial bioremediation system","","environmental remediation, oil and industrial contamination","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","official_portfolio_profile","Include as direct microbial remediation of planetary-boundary pressure.","0.86"
"nuclearis","Nuclearis","frontier hardware and infrastructure systems","nuclear industrial engineering","nuclear mechanical engineering and manufacturing","nuclear engineering; industrial manufacturing","legacy-industrial-systems-to-specialized-nuclear-components","industrial engineering solution","mechanical components for nuclear industry","nuclear industry","industrial supplier","exclude","energy_industrial_but_not_bio_or_biocentric_thesis_core","nuclearis_official_site","nuclearis_official_site_2026","Official site describes engineering and manufacturing mechanical components for the nuclear industry.","0.8"
"nude","Nude","food biotech and novel ingredients","plant-based food transition products","oat-based plant dairy and climate-transparent food brand","food formulation; oat ingredients; carbon footprint accounting; plant-based product development","animal-dairy-dependence-to-lower-carbon-plant-based-foods","plant-based food product platform","oats, plant ingredients and product carbon data","plant-based dairy alternatives and food retail","consumer food brand","include","official_site_signal_bio_based_food_transition_latam","official_site_and_bcorp_profile","nude_official_bcorp_2026","Official site and B Corp profile describe Nude as a Brazilian oat-based foodtech making plant-based dairy alternatives with carbon footprint transparency and low-impact ingredients.","0.88"
"nuvia","Nuvia","frontier hardware and infrastructure systems","semiconductor compute systems","ARM server CPU startup","chip design; processor architecture","legacy-compute-to-next-gen-silicon","hardware platform","semiconductor design","data center compute","hardware platform","exclude","non_bio_non_biocentric_hardware_outside_thesis","public_news_signal","public_news_signal_2026","Public reporting identifies Nuvia as a server chip startup later acquired by Qualcomm, outside the thesis boundary.","0.77"
"oncoliq","Oncoliq","diagnostics and medtech","health diagnostics and medtech","non-invasive early cancer detection","non-invasive detection; oncology diagnostics","late-invasive-cancer-detection-to-earlier-non-invasive-screening","diagnostic platform","oncology diagnostic workflows","healthcare diagnostics","diagnostic company","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","sf500_portfolio_2026","SF500 portfolio describes non-invasive early cancer detection.","0.82"
"oneinfinite","OneInfinite","peripheral or non-core digital ventures","digital coordination and market infrastructure","cross-border payments orchestration","payments orchestration; crypto settlement; checkout","manual-and-fragmented-operations-to-digital-coordination","software platform","payments, wallets and merchant transactions","fintech","B2B software platform","exclude","full_digital_no_materiality_signal","oneinfinite_official_site","oneinfinite_official_site_2026","Official site describes cross-border checkout and USDT-based payment orchestration for digital businesses.","0.9"
"openlayer","Openlayer","peripheral or non-core digital ventures","digital coordination and market infrastructure","AI governance and observability software","AI testing; observability; model governance","manual-and-fragmented-operations-to-digital-coordination","software platform","AI model telemetry and evaluation data","cross-sector enterprise software","B2B software platform","exclude","full_digital_no_materiality_signal","openlayer_official_site","openlayer_official_site_2026","Official site describes AI governance and observability, not a material or life-based system.","0.9"
"outpost","Outpost","computational biology and scientific software","microbiome predictive biology and techbio","microbiome predictive biology and techbio platform","microbiome modeling; wet-lab microbiology; machine learning; foundation models; predictive biology; techbio","empirical-microbiome-RD-to-computable-predictive-biology","microbiome predictive-biology platform","","biotech, pharma, consumer health and microbiome R&D","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","official_website","Include as computational biology / microbiome techbio, not medical device.","0.90"
"plamic","Plamic","therapeutics and regenerative medicine","microfluidic nanomedicine manufacturing","microfluidic nanomedicine manufacturing platform","microfluidics; lab-on-a-chip; nanomedicine; drug delivery; formulation characterization","batch-nanomedicine-production-to-controlled-microfluidic-manufacturing","microfluidic nanomedicine manufacturing platform","","health and pharmaceutical manufacturing","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","government_public_profile","Include as biomedical process and drug-delivery manufacturing infrastructure.","0.86"
"poas_bioenergy","Poás Bioenergy","climate, energy and resource systems","regenerative agroforestry and carbon systems","residue-to-energy and biochar platform","biomass gasification; on-site syngas; biochar systems","waste-residue-and-fossil-heat-to-regenerative-energy-loops","energy and carbon platform","wet agricultural residues and biomass streams","agriculture, process heat and soil carbon systems","industrial solution supplier","include","official_site_signal_climate_materiality_and_resource_transition","poas_bioenergy_official_site","poas_bioenergy_official_site_2026","Official site describes carbon-negative systems converting wet agricultural residues into clean process heat and biochar that returns carbon to soil.","0.94"
"pods","Pods","peripheral or underclassified ventures","unclassified / needs review resolved","non-core housing or storage startup signal","insufficient_public_evidence_for_thesis_fit","unknown","unknown","unknown","unknown","unknown","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","manual_research_resolution","internal_research_2026","The available signals do not support keeping this entity inside the thesis-core startup universe.","0.52"
"prima","Prima","peripheral or non-core digital ventures","digital coordination and market infrastructure","insurance or digital services platform","digital insurance / media services","manual-and-fragmented-operations-to-digital-coordination","software platform","digital customer and transaction data","insurance or media services","digital platform","exclude","full_digital_no_materiality_signal","public_web_signal","public_web_signal_2026","Available public signals point to a digital insurance or general digital services entity outside the thesis scope.","0.6"
"protiva","Protiva","food biotech and novel ingredients","food transition ingredients and proteins","alternative protein ingredients","alternative proteins; food ingredients","animal-or-traditional-proteins-to-alternative-protein-ingredients","ingredient platform","protein ingredient systems","food industry","ingredient company","include","candidate_website_signal_bio_based_or_biocentric","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to Protiva official website and describes alternative protein ingredients for the food industry.","0.80"
"qnity","Qnity","frontier hardware and infrastructure systems","advanced semiconductor materials","advanced electronics materials company","semiconductor materials; advanced packaging","legacy-compute-to-next-gen-silicon","industrial materials platform","semiconductor materials","semiconductor industry","industrial materials supplier","exclude","non_bio_non_biocentric_hardware_materials_outside_thesis","qnity_public_site","qnity_public_site_2026","Public reporting identifies Qnity as a large advanced electronics materials company, not a thesis-core startup.","0.72"
"qumir_nano","Qumir Nano","ag biologicals and crop resilience","bio-nano agricultural inputs","bio-nano agricultural input platform","microbial metabolites; nanodelivery; bio-nanoinputs; crop protection; plant resilience","chemical-intensive-crop-inputs-to-microbial-metabolite-nanodelivery","bio-nano agricultural input","","crop protection, plant health and regenerative agriculture","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","official_website","Include as ag biologicals and nanodelivery for crop resilience.","0.90"
"radial","Radial","biobased chemistry and advanced materials","fungal biomaterials and residue valorization","fungal biomaterials from residues","fungal materials; mycelium; residue valorization; biomaterial production","waste-and-extractive-materials-to-fungal-biomaterial-production","fungal biomaterial","","biomaterials, packaging, design and low-impact materials","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","official_portfolio_profile","Include as core biobased material and residue valorization.","0.84"
"retrypay","Retrypay","peripheral or non-core digital ventures","digital coordination and market infrastructure","payment orchestration platform","payment routing; fraud optimization; ecommerce payments","manual-and-fragmented-operations-to-digital-coordination","software platform","payments and transaction routing data","fintech and ecommerce","B2B software platform","exclude","full_digital_no_materiality_signal","retrypay_public_profiles","retrypay_public_profiles_2026","Public profiles describe payment orchestration and acceptance optimization for ecommerce.","0.84"
"ruuts","Ruuts","climate, energy and resource systems","regenerative agriculture incentives and ecological outcomes","regenerative agriculture incentives and ecological outcome measurement","regenerative agriculture; soil carbon; biodiversity; water cycle; ecological outcomes; producer incentives","extractive-land-management-to-measured-regenerative-agriculture","regenerative agriculture outcome platform","","rural producers, land restoration, carbon and biodiversity markets","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","official_website","Include as biocentric land restoration and planetary-boundary infrastructure.","0.86"
"seedmatriz","SeedMatriz","ag biologicals and crop resilience","seed technology and crop establishment","seed encapsulation and crop-establishment technology","seed encapsulation; seed quality analytics; agronomy data; crop treatment systems","uneven-low-performance-seed-systems-to-more-uniform-protected-and-productive-seeds","seed technology platform","seeds and crop treatment systems","agriculture and seeds","agtech supplier","include","official_website_signal_material_ag_system","seedmatriz_official_site","seedmatriz_official_site_2026","Official site describes seed encapsulation technology that improves seed quality and enables nutrition and protection with lower environmental impact.","0.92"
"semion","Semion","ag biologicals and crop resilience","ag biologicals and crop resilience","plant defense activation biotech","crop defense activation; biomimicry; plant resilience biology","pest-vulnerable-crops-to-activated-natural-defense-mechanisms","ag biological platform","plant defense pathways and crop resilience biology","agriculture","ag biotech company","include","official_site_signal_bio_based_or_biocentric","semion_official_site","semion_official_site_2026","Official site says Semion makes plants defend themselves by restoring natural defense mechanisms lost during domestication and activating plant defenses without genetic modification.","0.92"
"sensei","Sensei","peripheral or non-core digital ventures","digital coordination and market infrastructure","autonomous retail computer vision platform","computer vision; sensor fusion; AI; real-time shelf analytics; checkout automation","manual-retail-checkout-and-store-ops-to-autonomous-retail-automation","retail automation platform","retail shelf, basket and shopper interaction data","retail stores, supermarkets and convenience","B2B retail technology platform","exclude","full_digital_retail_automation_no_bio_materiality_signal","sensei_official_site","sensei_official_site_2026","Official site describes Sensei as an autonomous retail platform using computer vision, AI and sensors for checkout-free stores and store analytics, without a defensible bio/material transition signal.","0.90"
"silohub","Silohub","precision agriculture and resource intelligence","precision agriculture intelligence","agtech grain operations infrastructure","agribusiness software; CRM; ERP integration; payments","fragmented-grain-origination-to-digital-coordination","ag operations platform","grain transactions and agribusiness operational data","grain companies, ag retailers and producers","B2B platform","include","secondary_public_profile_signal_bio_based_or_biocentric","secondary_public_profile","descubre_2026","Public startup profile describes an agtech platform that digitalizes grain origination, operations and producer relationships for acopios and distributors.","0.74"
"siloreal","SiloReal","precision agriculture and resource intelligence","agricultural asset verification and collateral infrastructure","agricultural asset verification and collateral infrastructure","remote verification; agricultural assets; digital collateral; crop inventory; insurance; financing","opaque-field-assets-to-verifiable-agricultural-collateral","agricultural asset verification platform","","agriculture, rural finance, insurance and commodity transactions","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","official_website","Include as market infrastructure coupled to material crop systems.","0.84"
"sima","Sima","precision agriculture and resource intelligence","precision agriculture intelligence","precision agriculture software","field monitoring; agronomic intelligence; geolocated crop data","input-intensive-to-precision-application","measurement and decision platform","field observations, pest and crop health data","agriculture","B2B platform","include","official_site_signal_material_ag_system","sima_official_site","sima_official_site_2026","Official site describes crop monitoring, geolocated field data, agronomic analysis and work orders across millions of hectares.","0.82"
"single_strand_biotech","Single Strand Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","synthetic oligonucleotide therapeutics company","synthetic oligonucleotides; immunomodulation; tissue regeneration","conventional-care-to-biology-enabled-therapies","therapeutic platform","single-stranded oligonucleotides and immune-modulating payloads","biotech and inflammatory disease therapeutics","therapeutic platform","include","official_site_signal_bio_based_or_biocentric","single_strand_official_site","single_strand_official_site_2026","Official site describes synthetic single-stranded oligonucleotide therapies that modulate the immune system and promote tissue regeneration.","0.93"
"soygreen","SoyGREEN","ag biologicals and crop resilience","extremophile microbial ag inputs","sustainable ag inputs","biological ag inputs; sustainable agriculture","less-sustainable-ag-practices-to-biological-inputs","ag input platform","agricultural biological systems","agriculture","ag biotech company","include","candidate_website_signal_material_ag_system","user_gemini_candidate_csv","user_gemini_candidate_2026","User-provided Gemini CSV points to SoyGREEN official website and describes sustainable agricultural inputs for the agro sector.","0.76"
"spectrum","Spectrum","peripheral or non-core digital ventures","digital coordination and market infrastructure","startup services and founder tools","design; marketing; development services","manual-and-fragmented-operations-to-digital-coordination","services platform","startup operations and services data","startup services","services provider","exclude","services_platform_outside_thesis","spectrum_public_site","spectrum_public_site_2026","Public site describes services and tools for startup founders, outside the thesis scope.","0.82"
"splight","Splight","climate, energy and resource systems","AI grid optimization and renewable integration","AI grid optimization and renewable integration","AI grid optimization; renewable energy forecasting; DERMS; grid congestion; energy resilience","constrained-electric-grids-to-AI-optimized-renewable-integration","grid intelligence platform","","renewable energy, electric grids and climate infrastructure","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","official_website","Include as planetary-boundary energy transition infrastructure, not bio-based.","0.82"
"spline","Spline","peripheral or non-core digital ventures","digital coordination and market infrastructure","3D design software","3D design tooling; collaboration software","manual-and-fragmented-operations-to-digital-coordination","software platform","design assets and collaboration workflows","design software","B2B software platform","exclude","full_digital_no_materiality_signal","public_reporting","public_reporting_2026","Public reporting describes a no-code 3D design tool startup, outside the thesis boundary.","0.85"
"starlight_ventures","Starlight Ventures","peripheral or underclassified ventures","non-startup or ecosystem actor misclassified","venture capital or ecosystem actor","investment activity","unknown","ecosystem actor","capital","venture ecosystem","investor","exclude","non_startup_entity_or_scope_misclassification","manual_research_resolution","internal_research_2026","Entity appears to be an ecosystem actor or misclassified non-startup rather than a thesis-core startup.","0.62"
