startup_id,canonical_name,bio_theme,mscale,mscale_name,mscale_x,mparadigm,confidence,data_source,mscale_scores,top_keywords,one_liner
cenibiot,Cenibiot,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",bioprocess,
cerradox,CerradoX,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 9, 6: 0}",agronomic; agricultural production,Traceable high-value crop production platform.
chemtest,Chemtest,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",,Infectious disease diagnostics company.
circa_therapeutics,Circa Therapeutics,Therapeutics,1,Molecular,-12.0,1.0,medium,primary,"{1: 8, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",protein ; small molecule,Targeted protein degradation therapeutics.
clearleaf,ClearLeaf,Bioinputs & Crop Resilience,3,Organismo,-2.4,1.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",human health,
contech_brasil,Contech Brasil,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
copper3d,Copper3D,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
copptech,Copptech,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",healthcare,
corsync,Cor.Sync,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
courageous_land,Courageous Land,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 2, 5: 6, 6: 21}",biodiversity; planetary; reforestation; conservation; forestry,Large-scale regenerative agroforestry and carbon platform.
cowmed-br,CowMed,Farm Intelligence,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",per-animal,
cryosmetics,Cryosmetics,Biomaterials & Circular Economy,3,Organismo,-2.4,1.5,low,primary,"{1: 2, 2: 2, 3: 4, 4: 4, 5: 2, 6: 3}",,Natural microbiome-positive skincare.
culttivo,Culttivo,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 12, 6: 7}",farm; farming; coffee,Climate-aware credit and risk platform for coffee producers.
cutting_edge_superconductors,Cutting Edge Superconductors,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
cyanomin,CyanoMin,Biomaterials & Circular Economy,2,Celular,-7.2,2.0,low,primary,"{1: 0, 2: 4, 3: 0, 4: 0, 5: 2, 6: 4}",,Biological desalination and mineral recovery from hypersaline brines.
cytbac,Cytbac,Therapeutics,1,Molecular,-12.0,2.33,low,primary,"{1: 7, 2: 0, 3: 7, 4: 0, 5: 0, 6: 2}",genomic,Genetically engineered vaccine and immunotherapy platform.
dart_by_teledx,DART by Teledx,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
dprotein,DProtein,Food Systems & Alt Proteins,2,Celular,-7.2,2.0,medium,primary,"{1: 7, 2: 11, 3: 2, 4: 5, 5: 0, 6: 2}",fermentation; precision fermentation; ferment,Engineered sustainable proteins without plants or animals.
daeki-cl,Daeki,Diagnostics & Health Access,3,Organismo,-2.4,2.0,medium,primary,"{1: 3, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",point-of-care; diagnostic device,
decoy,Decoy,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 4, 6: 0}",,Innovative biological pesticides for livestock and agriculture.
decoy-smart-control-br,Decoy Smart Control,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",field,
deepagro,DeepAgro,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 15, 6: 2}",agronomic; crop monitoring; soybean; corn ,AI-powered selective spraying for crop input reduction.
delee,Delee,Diagnostics & Health Access,3,Organismo,-2.4,3.0,medium,primary,"{1: 2, 2: 5, 3: 7, 4: 0, 5: 0, 6: 2}",oncology,Automated circulating tumor cell liquid-biopsy platform.
detx_mol,Detx Mol,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",molecular diagnostic,
dharma_bioscience,Dharma BioScience,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 9, 4: 0, 5: 2, 6: 2}",therapeutic ,Non-invasive regenerative-medicine platform for tissue repair.
diagnosis_biotech,Diagnosis Biotech,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",point-of-care,
diagtech,Diagtech,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",molecular diagnostic,
digifarmz-br,DigiFarmz,Farm Intelligence,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 18, 6: 0}",farm; field; farmer; agronomic; field data,
dioxd,Dioxd,Bioinputs & Crop Resilience,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
dogma_biotech,Dogma Biotech,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",,AI-discovered sugars for better therapeutics.
domolif,Domolif,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 3}",climate change,
done_properly,Done Properly,Food Systems & Alt Proteins,2,Celular,-7.2,1.67,high,primary,"{1: 3, 2: 12, 3: 2, 4: 5, 5: 2, 6: 0}",fermentation; ferment,Fermented sustainable bio-ingredients for the food industry.
dymaxion_labs,Dymaxion Labs,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 14, 6: 4}",field; precision agriculture; agronomic; agtech,AI and data science for agronomic operations.
earth-ocean-farms-mx,Earth Ocean Farms,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",farm,
ecosea,EcoSea,Food Systems & Alt Proteins,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farming,
ecosativa,Ecosativa,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 6, 6: 0}",farm; farming,
ecoshell-mx,Ecoshell,Biomaterials & Circular Economy,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 0, 6: 0}",plant-based,
ecotrace-br,Ecotrace,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 5, 6: 0}",agribusiness,"Blockchain, IoT and AI platform tracking agribusiness commodity supply chains end-to-end, having traced 6M+ tons across "
einsted,Einsted,Nature & Ecosystem Tech,1,Molecular,-12.0,1.0,low,primary,"{1: 2, 2: 2, 3: 0, 4: 0, 5: 0, 6: 2}",,Plasma pyrolysis for clean hydrogen and conductive carbon.
eiru,Eirú,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 7, 6: 2}",agtech,Advanced pollination optimization through simulated bee dynamics.
eiwa,Eiwa,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 12, 6: 2}",precision agriculture; agronomic; agtech,Agronomic data intelligence platform.
ejido-verde-mx,Ejido Verde,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
elytron_biotech,Elytron Biotech,Biomaterials & Circular Economy,1,Molecular,-12.0,2.0,high,primary,"{1: 12, 2: 4, 3: 0, 4: 2, 5: 3, 6: 0}",gene ; genomic,AI-driven biological product development platform.
embryoxite,Embryoxite,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",,Non-invasive IVF diagnostic.
enteria,Enteria,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 7, 4: 0, 5: 0, 6: 3}",healthcare,Microbiota-based diagnostics.
enzyva,Enzyva,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,2.0,medium,primary,"{1: 5, 2: 4, 3: 2, 4: 0, 5: 2, 6: 0}",enzyme ,Programmable biology platform.
eolo_pharma,Eolo Pharma,Therapeutics,3,Organismo,-2.4,1.0,high,primary,"{1: 2, 2: 0, 3: 7, 4: 0, 5: 0, 6: 0}",therapeutic ,Thermogenesis-based obesity therapeutics.
epicca,Epicca,Biomaterials & Circular Economy,3,Organismo,-2.4,1.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
epiliquid,Epiliquid,Diagnostics & Health Access,1,Molecular,-12.0,3.0,medium,primary,"{1: 5, 2: 2, 3: 4, 4: 0, 5: 0, 6: 2}",biomarker detection,Liquid-biopsy biomarker platform for early cancer detection.
ergo_bioscience,Ergo Bioscience,Food Systems & Alt Proteins,2,Celular,-7.2,2.33,low,primary,"{1: 2, 2: 5, 3: 2, 4: 5, 5: 2, 6: 2}",cell culture,Plant-cell biotechnology for sustainable ingredients.
ergo_foods,Ergo Foods,Food Systems & Alt Proteins,1,Molecular,-12.0,2.14,medium,primary,"{1: 7, 2: 0, 3: 2, 4: 5, 5: 4, 6: 0}",recombinant protein,Plant cell biotechnology ingredients platform.
establishment_labs,Establishment Labs,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",patient; surgery,
eternal_mycofood,Eternal Mycofood,Food Systems & Alt Proteins,2,Celular,-7.2,2.0,low,primary,"{1: 3, 2: 6, 3: 0, 4: 6, 5: 0, 6: 0}",fermentation; ferment,
eva-mx,Eva,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
exacta-bioscience-cl,Exacta BioScience,Bioinputs & Crop Resilience,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
exomas,Exomas,Therapeutics,3,Organismo,-2.4,1.0,medium,primary,"{1: 2, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",,Terapias neuroregenerativas basadas en exosomas.
eywa_biotech,Eywa Biotech,Therapeutics,2,Celular,-7.2,1.0,medium,primary,"{1: 0, 2: 5, 3: 4, 4: 0, 5: 0, 6: 0}",biosynthesis,Psychedelic biotech using biosynthesis.
fk_biotecnologia,FK Biotecnologia,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 9, 4: 0, 5: 0, 6: 0}",patient; therapeutic ; surgery,
fabns,FabNS,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",molecular diagnostic,
fecundis,Fecundis,Therapeutics,3,Organismo,-2.4,1.0,medium,primary,"{1: 2, 2: 0, 3: 4, 4: 0, 5: 0, 6: 0}",,Fertility biotech built on reproductive biology.
feedvax,Feedvax,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 0, 3: 2, 4: 0, 5: 4, 6: 0}",,Oral vaccine platform for aquaculture.
food-for-the-future-cl,Food for the Future,Food Systems & Alt Proteins,1,Molecular,-12.0,1.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",protein ,"Transforms organic food waste into insect-based protein and biostimulants for aquaculture, poultry and agriculture using"
food4you,Food4You,Food Systems & Alt Proteins,4,Lote/Producto,2.4,1.5,high,primary,"{1: 2, 2: 4, 3: 0, 4: 10, 5: 2, 6: 0}",plant-based; novel ingredient,Bacteria-enabled plant-based food enhancement.
frizata,Frizata,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 2, 3: 2, 4: 10, 5: 0, 6: 0}",alternative protein; food company,Flexitarian frozen food platform.
fungi_life,Fungi Life,Biomaterials & Circular Economy,2,Celular,-7.2,2.0,medium,primary,"{1: 0, 2: 8, 3: 0, 4: 2, 5: 6, 6: 0}",fermentation; ferment,Fungal biosurfactants to replace petroleum-derived surfactants.
futr_bio,Futr Bio,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",mrna,
future_biome,Future Biome,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,1.67,medium,primary,"{1: 3, 2: 12, 3: 2, 4: 8, 5: 2, 6: 5}",fermentation; ferment,Fungi-based precision prebiotics for microbiome function.
future_cow,Future Cow,Food Systems & Alt Proteins,2,Celular,-7.2,1.67,medium,primary,"{1: 8, 2: 15, 3: 0, 4: 2, 5: 0, 6: 2}",fermentation; precision fermentation; ferment,Precision-fermented animal-free dairy protein.
galtec,Galtec Life,Therapeutics,3,Organismo,-2.4,2.0,high,primary,"{1: 3, 2: 0, 3: 7, 4: 0, 5: 0, 6: 2}",therapeutic ,Galectin-modulating immunotherapies for cancer and inflammatory disease.
gameet,Gameet,Diagnostics & Health Access,3,Organismo,-2.4,3.0,medium,primary,"{1: 0, 2: 0, 3: 4, 4: 2, 5: 0, 6: 2}",,3D-printed microdevice platform for assisted reproduction.
gen-t-br,Gen-t,Therapeutics,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
geneprodx-mx,GeneProDx,Diagnostics & Health Access,1,Molecular,-12.0,2.0,medium,primary,"{1: 6, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",genomic; molecular diagnostic,
genomika_diagnosticos,Genomika Diagnosticos,Diagnostics & Health Access,1,Molecular,-12.0,2.0,medium,primary,"{1: 6, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",genomic; immunolog,
genotyping,Genotyping,Diagnostics & Health Access,1,Molecular,-12.0,3.0,low,primary,"{1: 7, 2: 2, 3: 7, 4: 0, 5: 3, 6: 0}",genomic,Genetic diagnostics and molecular analysis platform.
gentec,Gentec,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,2.0,high,primary,"{1: 6, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",gene ; crispr,
geoprot,Geoprot,Therapeutics,5,Campo/Sistema,7.2,2.33,high,primary,"{1: 3, 2: 2, 3: 0, 4: 0, 5: 7, 6: 2}",,Protein-function analysis and prediction platform.
gigablue,Gigablue,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 10}",planetary; ocean,Ocean carbon removal and marine resilience platform.
giraffe-bio-ar,Giraffe Bio,Biomaterials & Circular Economy,1,Molecular,-12.0,2.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",biomolecul,
gisens_biotech,Gisens Biotech,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 2, 2: 0, 3: 7, 4: 0, 5: 2, 6: 0}",healthcare,Nanotechnology diagnostics everywhere.
glucogear,GlucoGear,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
glycox,GlycoX,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 2, 4: 10, 5: 0, 6: 0}",plant-based; ingredient platform,Metabolic health functional ingredient platform.
granatum_bioworks,Granatum Bioworks,Biomanufacturing & Fermentation Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
green_biofactory,Green Biofactory,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,1.0,medium,primary,"{1: 6, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",biomolecul; recombinant protein,
gricha,Gricha,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,medium,primary,"{1: 3, 2: 0, 3: 0, 4: 6, 5: 0, 6: 0}",food product; functional food,
grupo_diagnostico_aries,Grupo Diagnostico Aries,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",patient,
genica,Gênica,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.0,medium,primary,"{1: 4, 2: 5, 3: 2, 4: 0, 5: 10, 6: 0}",crop management; soil health,Soil health and agricultural biologicals platform.
harmony-biosciences,HARMONY,Food Systems & Alt Proteins,2,Celular,-7.2,1.67,medium,primary,"{1: 2, 2: 11, 3: 2, 4: 7, 5: 0, 6: 0}",fermentation; precision fermentation; ferment,Precision-fermented infant nutrition platform.
HIAMET,HIAMET,Biomaterials & Circular Economy,2,Celular,-7.2,3.0,low,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 2, 6: 2}",,Biotech solutions for biogas and organic-waste-to-energy conversion.
hif-global-cl,HIF Global,Nature & Ecosystem Tech,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,Converts renewable energy and captured CO₂ into drop-in synthetic e-fuels compatible with existing engines and infrastru
hoobox_one,HOOBOX ONE,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",patient; healthcare,
hapiseeds-br,Hapiseeds,Bioinputs & Crop Resilience,1,Molecular,-12.0,2.0,medium,primary,"{1: 9, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}", rna ; gene ; genomic,
hexembio,HeXemBio,Therapeutics,3,Organismo,-2.4,2.0,medium,primary,"{1: 5, 2: 2, 3: 7, 4: 0, 5: 0, 6: 0}",patient,Hematopoietic stem-cell rejuvenation therapy platform.
heartbest,Heartbest,Food Systems & Alt Proteins,4,Lote/Producto,2.4,1.0,high,primary,"{1: 0, 2: 4, 3: 2, 4: 16, 5: 3, 6: 2}",plant-based; foodtech; dairy alternative; food system,Plant-based dairy foodtech.
hemoalgae,Hemoalgae,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 6, 3: 0, 4: 0, 5: 0, 6: 0}",bioproduction; microalgae,
heritas,Heritas,Diagnostics & Health Access,1,Molecular,-12.0,2.0,low,primary,"{1: 3, 2: 0, 3: 3, 4: 0, 5: 0, 6: 3}",genomic,
hilab-br,Hilab,Diagnostics & Health Access,3,Organismo,-2.4,3.0,high,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 0, 6: 0}",point-of-care; diagnostic device,
horus_aeronaves,Horus Aeronaves,Farm Intelligence,5,Campo/Sistema,7.2,2.5,high,primary,"{1: 0, 2: 4, 3: 0, 4: 8, 5: 17, 6: 2}",farm; field; agronomic; crop monitoring,Agricultural drone and aerial mapping platform.
huiro,Huiro,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 2, 6: 8}",ecosystem; planetary,Regenerative seaweed cultivation for marine restoration and coastal livelihoods.
huna,Huna,Diagnostics & Health Access,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
hybridon,Hybridon,Biomaterials & Circular Economy,1,Molecular,-12.0,1.8,high,primary,"{1: 6, 2: 2, 3: 2, 4: 2, 5: 0, 6: 0}",,Antimicrobial nanotechnology for bioactive materials and surfaces.
inmet,INMET,Biomaterials & Circular Economy,1,Molecular,-12.0,1.0,medium,primary,"{1: 4, 2: 2, 3: 0, 4: 2, 5: 3, 6: 2}",,Compostable PHB biopolymer from agro-industrial waste.
ictiobiotic,Ictiobiotic,Bioinputs & Crop Resilience,4,Lote/Producto,2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 3, 6: 3}",probiotic product,
ideelab,IdeeLab,Bioinputs & Crop Resilience,2,Celular,-7.2,1.33,high,primary,"{1: 4, 2: 14, 3: 0, 4: 0, 5: 5, 6: 0}",fermentation; ferment,Ag biologicals CDMO and bioinput production platform.
imeve,Imeve,Bioinputs & Crop Resilience,2,Celular,-7.2,1.0,medium,primary,"{1: 0, 2: 10, 3: 7, 4: 0, 5: 2, 6: 0}",fermentation; ferment,Animal health and probiotic biotechnology company.
imvalv,Imvalv,Diagnostics & Health Access,3,Organismo,-2.4,3.0,high,primary,"{1: 0, 2: 2, 3: 6, 4: 2, 5: 2, 6: 0}",,Implantable glaucoma microvalve and pressure-sensing device.
inceres,InCeres,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 9, 6: 2}",agronomic; harvest,Agronomic management and soil/fertility intelligence platform.
inedita-bio-br,InEdita Bio,Bioinputs & Crop Resilience,1,Molecular,-12.0,2.0,medium,primary,"{1: 6, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",gene ; crispr,
inpulse_medical,InPulse Medical,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}",healthcare,
insitu,InSitu,Therapeutics,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",cell therapy,
inbioar,Inbioar,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.57,high,primary,"{1: 3, 2: 0, 3: 0, 4: 2, 5: 7, 6: 2}",field,Botanical crop-protection ingredient discovery platform.
incluirtec,Incluirtec,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 6, 6: 2}",smallholder,Agfintech infrastructure for smallholder credit inclusion.
infira,Infira,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 4, 2: 0, 3: 0, 4: 0, 5: 9, 6: 0}",soil health,Perennial crop genetics and plant resilience platform.
inmunova-ar,Inmunova,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 6, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",mrna; biologics ,
inner_cosmos,Inner Cosmos,Diagnostics & Health Access,3,Organismo,-2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 7, 4: 2, 5: 0, 6: 2}",therapeutic ,Embedded brain-computer-interface therapy for depression.
innova_space,Innova Space,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 5, 6: 7}",planetary,"Satellite IoT for environmental, water and agriculture monitoring."
innovai,Innovai,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 5, 5: 0, 6: 0}",foodtech,Seafood shelf-life bioactive coating platform.
inprenha,Inprenha,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 0, 3: 0, 4: 2, 5: 4, 6: 0}",,Protein-based animal reproduction biotech.
inspectral-br,Inspectral,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 3, 6: 3}",crop disease,
instacrops-cl,Instacrops,Farm Intelligence,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 12, 6: 3}",field; irrigation; agronomic; crop monitoring,
invitrall,Invitrall,Therapeutics,3,Organismo,-2.4,1.0,medium,primary,"{1: 6, 2: 2, 3: 7, 4: 6, 5: 0, 6: 4}",therapeutic ,In-vitro human organ models for efficacy and toxicity testing.
isla_pharmaceuticals,Isla Pharmaceuticals,Therapeutics,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
jetbov,JetBov,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 8, 6: 0}",precision agriculture; agtech,Beef cattle management intelligence platform.
kura-biotec-mx,KURA Biotec,Diagnostics & Health Access,1,Molecular,-12.0,2.0,high,primary,"{1: 9, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",genomic; reagent; enzymatic,
kaiima,Kaiima,Bioinputs & Crop Resilience,1,Molecular,-12.0,2.0,low,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",genomic,
keclon,Keclon,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,1.4,high,primary,"{1: 5, 2: 20, 3: 0, 4: 0, 5: 0, 6: 0}",fermentation; precision fermentation; ferment; microorganism,Precision fermentation biosolutions platform.
kheiron-biotech-ar,Kheiron Biotech,Bioinputs & Crop Resilience,1,Molecular,-12.0,2.0,high,primary,"{1: 6, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",gene ; genomic,
kigui,Kigüi,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 2}",,AI copilot for retail waste and rotation management.
kilimo,Kilimo,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 15, 6: 10}",farm; irrigation; farmer; agronomic,Water-positive irrigation and watershed stewardship platform.
kran-nanobubble-cl,Kran Nanobubble,Food Systems & Alt Proteins,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
kresko_rnatech,Kresko RNAtech,Food Systems & Alt Proteins,4,Lote/Producto,2.4,2.0,medium,primary,"{1: 3, 2: 0, 3: 2, 4: 5, 5: 0, 6: 0}",novel ingredient,Bioactive RNA extracts from fresh food.
krilltech,Krilltech,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.57,high,primary,"{1: 2, 2: 2, 3: 2, 4: 2, 5: 8, 6: 2}",agtech,Nano-biofertilizer and plant physiology platform.
laurus,Laurus,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,1.36,medium,primary,"{1: 10, 2: 15, 3: 4, 4: 0, 5: 3, 6: 2}",fermentation; precision fermentation; ferment,Precision fermentation and recombinant biomanufacturing company.
