"startup_name","current_theme","semantic_confidence","semantic_margin","current_words","target_words","quality_band","review_status","source_type","source_url","action_needed","rewrite_prompt","current_one_liner","current_summary","evidence_excerpt"
"Trebe Biotech","food ingredients and biofactories","high","11.3","28","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Complex proteins, simple and affordable.","Startup que busca hacer mas simples y accesibles las proteinas complejas. Entra en tesis por food biotech and novel ingredients como plataforma ligada a produccion biologica de proteinas.","SF500 portfolio describes complex proteins, simple and affordable."
"Future Biome","agri intelligence and traceable markets","high","13.2","23","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Fungi-based precision prebiotics.","Startup que desarrolla precision prebiotics basados en hongos para optimizar la funcion del microbioma. Entra en tesis por food biotech and novel ingredients.","GRIDX portfolio describes optimizing microbiome function with fungi-based precision prebiotics."
"Agree","climate and resource intelligence platforms","high","13.4","30","45-60 words","high","seeded","official_portfolio_profile","https://theyieldlablatam.com/companies/agree/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Agri-food chain traceability and market infrastructure.","Plataforma B2B para cadenas agroalimentarias con foco en trazabilidad, sostenibilidad y coordinación comercial de granos, oleaginosas, frutas y verduras. Entra en tesis por su fuerte acople a cadenas materiales agroalimentarias.","The Yield Lab Latam portfolio describes a platform to accelerate digital transformation in agri-food chains with traceability and sustainability."
"MultiplAI Health","clinical diagnostics and medical devices","high","13.9","26","45-60 words","high","seeded","official_portfolio_profile","https://zentynel.com/en/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI and low-cost genomic cardiovascular diagnostics.","Startup argentina/reino unido que integra AI, secuenciacion genomica de bajo costo y medicina remota para detectar enfermedades cardiovasculares. Entra por genomic diagnostics and precision health.","Zentynel describes Multiplai as integrating AI, low-cost genomic sequencing and remote medicine to detect cardiovascular diseases anywhere in the world."
"Biomakers","clinical diagnostics and medical devices","high","15.4","25","45-60 words","medium","seeded","official_portfolio_profile","https://zentynel.com/en/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Genomic precision-treatment platform.","Startup con base regional en argentina/mexico/brasil que convierte datos genomicos en decisiones terapeuticas y tratamientos personalizados. Entra por genomic diagnostics and precision health.","Zentynel describes Biomakers as transforming genomic data into therapeutic decisions through genomic testing and personalized-treatment workflows."
"Pink Farms","food ingredients and biofactories","high","15.9","24","45-60 words","medium","seeded","official_portfolio_profile","https://spventures.com.br/portfolio/brain-ag-3/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Vertical urban farming platform.","Startup brasileña de agricultura vertical urbana para producir hojas frescas cerca del consumo con menor uso de recursos. Entra claramente por food systems biobasados.","SP Ventures portfolio lists Pink Farms in its climate-smart agriculture portfolio."
"NotFossil","climate and resource intelligence platforms","high","17.6","21","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Biofilters with proprietary microbes to degrade hydrocarbons.","Startup de bioremediacion que desarrolla biofiltros con microbios propietarios para degradar hidrocarburos. Entra en tesis por climate, energy and resource systems.","SF500 portfolio describes biofilters development with proprietary microbes to degrade hydrocarbons."
"BioCl","therapeutics and regenerative bio","high","18.1","21","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Bacterial vesicles for digestive health delivery.","Startup biotech que usa vesiculas bacterianas para mejorar delivery preciso en salud digestiva. Entra en tesis por therapeutics and regenerative medicine.","GRIDX portfolio describes bacterial vesicles to transform digestive health through precise and effective delivery."
"Caligenia","ag biologicals and crop resilience","high","18.5","19","45-60 words","medium","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Carbon-negative biofertilizers from chicken manure.","Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience.","GRIDX portfolio describes turning chicken manure into carbon negative biofertilizers."
"Enteria","clinical diagnostics and medical devices","high","18.6","15","45-60 words","medium","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Microbiota-based diagnostics.","Startup que desarrolla herramientas diagnosticas basadas en microbiota. Entra en tesis por diagnostics and medtech.","GRIDX portfolio describes developing microbiota-based diagnostic tools."
"Produzindo Certo","climate and resource intelligence platforms","high","19.1","23","45-60 words","medium","seeded","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Agribusiness transparency and compliance platform.","Plataforma brasilena de transparencia, trazabilidad y cumplimiento socioambiental para cadenas agroindustriales. Entra por infraestructura material de gobernanza y verificacion sobre produccion agropecuaria real.","The Yield Lab Latam portfolio positions Produzindo Certo around transparency and high social and environmental standards in agribusiness chains."
"Verqor","climate and resource intelligence platforms","high","19.1","35","45-60 words","medium","seeded","official_portfolio_listing","https://theyieldlablatam.com/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Digital agricultural finance platform.","Fintech/agfintech mexicana orientada a soluciones financieras para agricultura. La dejamos adentro como caso de borde por su acople a capital de trabajo agropecuario, aunque requiere mejor evidencia especifica de producto en la siguiente pasada.","The Yield Lab Latam official portfolio includes Verqor within its AgriFoodTech investment universe."
"AGES","food ingredients and biofactories","high","19.9","27","45-60 words","medium","seeded","official_portfolio_profile","https://www.kptl.com.br/portfolio/ages/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Amazonian bioactive compounds platform.","Startup brasileña de bioeconomia que desarrolla moleculas bioactivas unicas extraidas de la Amazonia para productos de healthspan y longevidad. Entra claramente por biomoleculas, biodiversidad y bioeconomia regenerativa.","KPTL describes AGES as creating healthspan products with bioactive molecules extracted from the Amazon and generating a regenerative local bioeconomy."
"MicroIN","ag biologicals and crop resilience","high","22.4","19","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Microencapsulation for bioinputs.","Startup de formulacion que desarrolla microencapsulacion para innovacion en bioinsumos. Entra en tesis por ag biologicals and crop resilience.","GRIDX portfolio describes microencapsulation technology for bioinput innovation."
"Asclepii","therapeutics and regenerative bio","high","23.1","25","45-60 words","medium","seeded","official_portfolio_profile","https://zentynel.com/en/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Regenerative wound care matrix platform.","Startup usa/chile/mexico enfocada en medicina regenerativa para wound care, con una matriz de regeneracion tisular escalable y resiliente. Entra claramente por regenerative medicine.","Zentynel describes Asclepii as bridging the gap between bandages and advanced cell therapy through a scalable tissue regeneration matrix."
"Vexxel Biotech","ag biologicals and crop resilience","high","23.5","21","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Smart protein-based encapsulation.","Startup de encapsulacion proteica inteligente para bioinsumos y decisiones biologicas mas precisas. Entra en tesis por ag biologicals and crop resilience.","GRIDX portfolio describes smart, protein-based encapsulation enabling nature to decide."
"Dharma BioScience","therapeutics and regenerative bio","high","25.3","18","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Non-invasive tissue regeneration.","Startup de medicina regenerativa centrada en regeneracion tisular no invasiva. Entra en tesis por therapeutics and regenerative medicine.","SF500 portfolio describes non-invasive tissue regeneration."
"Neocrop Technologies","ag biologicals and crop resilience","high","28.3","26","45-60 words","medium","seeded","official_portfolio_profile","https://zentynel.com/en/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Precision gene editing crop platform.","Startup chile/usa de crop biotech que desarrolla nuevas variedades mediante edicion genetica de precision y breeding acelerado. Entra claramente por ag biologicals and crop resilience.","Zentynel describes Neocrop Technologies as developing crop varieties with precision gene editing and accelerated breeding for resilient and productive seeds."
"Ubique Bio","clinical diagnostics and medical devices","high","28.8","18","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Diagnostics with synthetic peptides.","Startup de diagnostico que usa peptidos sinteticos para habilitar testing distribuido. Entra en tesis por diagnostics and medtech.","GRIDX portfolio describes diagnostics everywhere with synthetic peptides."
"@Tech","agri intelligence and traceable markets","high","29.5","40","45-60 words","high","seeded","official_portfolio_profile","https://theyieldlablatam.com/companies/atech/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Animal protein optimization and traceability with AI and IoT.","Startup agtech que usa IA, data science e IoT para optimizar la produccion de proteina animal y trazar animales a lo largo de la cadena. Entra en tesis por su acople biocentrico y material a sistemas vivos de produccion animal.","The Yield Lab Latam portfolio describes optimization of animal protein production with AI, data science, IoT and smart ear tags for traceability."
"Patagon Fiber","climate and resource intelligence platforms","high","30.1","26","45-60 words","medium","seeded","official_portfolio_profile","https://theganeshalab.com/startup/patagon-fiber/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Bacteria-derived sustainable inks and textile biomaterials.","Startup chilena de biomateriales y tintas sostenibles derivadas de bacterias no patogenas y residuos agricolas. Entra claramente por biomateriales, quimica biobasada y sustitucion de insumos toxicos.","The Ganesha Lab says Patagon Fiber develops zero-emission inks derived from non-pathogenic bacteria as an eco-friendly alternative to harmful traditional inks."
"Laurus AG Tech","food ingredients and biofactories","high","30.9","24","45-60 words","medium","seeded","official_portfolio_profile","https://www.f6s.com/company/laurusagtech","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Autonomous urban farming network.","Startup de granjas autonomas urbanas que produce vegetales frescos mediante infraestructura distribuida de bajo CAPEX y baja huella, acercando la produccion a la ciudad.","F6S profile describes autonomous urban farms that produce affordable fresh vegetables in decentralized city spaces with lower capital and operating costs."
"Food4You","food ingredients and biofactories","high","31.5","20","45-60 words","medium","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Bacteria-enabled plant-based food enhancement.","Startup food biotech que usa combinaciones bacterianas para mejorar productos plant-based. Entra en tesis por food biotech and novel ingredients.","GRIDX portfolio describes unique bacteria combinations that enhance plant-based products."
"Innovai","food ingredients and biofactories","high","32.6","29","45-60 words","medium","seeded","official_portfolio_profile","https://theganeshalab.com/startup/innovai/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Seafood shelf-life bioactive coating platform.","Startup chilena de foodtech que aplica compuestos bioactivos a filetes de salmón para extender su vida útil y reducir pérdidas en cadena de frío. Entra claramente por food biotech.","The Ganesha Lab says Innovai applies bioactive compounds on salmon fillets to keep them fresh for at least 50% more days."
"Mycorium Biotech","climate and resource intelligence platforms","high","32.7","20","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Upcycling waste using mycelium to produce bio-leather.","Startup de biomateriales que upcyclea residuos con micelio para producir bio-leather. Entra en tesis por biobased chemistry and advanced materials.","SF500 portfolio describes upcycling waste using mycelium to produce bio-leather."
"Decoy","ag biologicals and crop resilience","high","33.7","30","45-60 words","medium","seeded","official_portfolio_profile","https://spventures.com.br/categorias-portfolio/alternative-inputs-biologicals/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Innovative biological pesticides for livestock and agriculture.","Brazilian ag biologicals startup developing and distributing biological pest-control solutions. It belongs inside BIO VC LATAM as a biocontrol and alternative-inputs company, backed by SP Ventures under Alternative Inputs / Biologicals.","SP Ventures portfolio category lists Decoy under Alternative Inputs / Biologicals, alongside Puna.Bio, Gênica, Bug and Promip."
"Oncoliq","clinical diagnostics and medical devices","high","34.2","18","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Non-invasive early cancer detection.","Startup de diagnostico oncologico no invasivo para deteccion temprana de cancer. Entra en tesis por diagnostics and medtech.","SF500 portfolio describes non-invasive early cancer detection."
"Amplify Dynamics","therapeutics and regenerative bio","high","35.1","27","45-60 words","medium","seeded","official_portfolio_profile","https://theganeshalab.com/startup/amplify-dynamics/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Lipid nanoparticle purification platform.","Startup colombiana de bioprocesos que desarrolla una plataforma de purificacion por ultrasonido para nanoparticulas lipidicas usadas en terapias, vacunas y nanomedicina. Entra claramente por biotech tools/bioprocessing.","The Ganesha Lab says Amplify Dynamics uses ultrasound precision to separate lipid nanoparticles from contaminants for safer and more efficient LNP therapies."
"Sioma","agri intelligence and traceable markets","high","35.4","31","45-60 words","medium","seeded","official_portfolio_profile","https://theyieldlablatam.com/companies/eiwa-2/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Tropical crop traceability and operational intelligence platform.","Startup agtech colombiana que combina hardware y software adaptados para trazabilidad en tiempo real y productividad por planta en cultivos tropicales como banana y palma. Entra claramente por precision agriculture intelligence.","The Yield Lab Latam describes Sioma as a Colombian agtech delivering real-time traceability and per-plant operational intelligence for tropical crops."
"Matchetune","food ingredients and biofactories","high","36.5","26","45-60 words","medium","seeded","official_portfolio_profile","https://chileglobalventures.cl/portafolio/matchetune/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Nanoencapsulated functional food ingredients platform.","Startup chilena que toma compuestos funcionales de origen natural y usa nanotecnologia para formular nutraceuticos con mayor estabilidad y absorcion. Entra por food biotech / functional ingredients.","ChileGlobal Ventures describes Matchetune as using nature-derived compounds and nanotechnology to offer functional products, including a nanoencapsulated curcumin-based superfood shot."
"M4Life","ag biologicals and crop resilience","high","37.6","23","45-60 words","high","seeded","official_portfolio_profile","https://sf500.com.ar/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Biological plant resilience enhancer to abiotic stress.","Startup agrobiotech que desarrolla un enhancer biologico para resiliencia vegetal frente a estres abiotico. Entra en tesis por ag biologicals and crop resilience.","SF500 portfolio describes a biological plant resilience enhancer to abiotic stress."
"Heartbest","food ingredients and biofactories","high","38.5","26","45-60 words","high","seeded","official_portfolio_profile","https://theyieldlablatam.com/companies/heartbest/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Plant-based dairy foodtech.","FoodTech enfocada en productos lácteos plant-based como quesos, leches y spreads. Entra en tesis por transición material desde sistemas lácteos animales hacia alimentos de base vegetal.","The Yield Lab Latam portfolio describes revolutionary plant-based dairy products built directly from plants for a healthier and more sustainable food system."
"Gênica","ag biologicals and crop resilience","high","38.8","25","45-60 words","medium","seeded","official_portfolio_profile","https://spventures.com.br/portfolio/genica/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Soil health and agricultural biologicals platform.","Startup brasileña de ag biologicals enfocada en salud de suelo y bioinsumos para una agricultura más regenerativa. Entra claramente por ag biologicals and crop resilience.","SP Ventures portfolio and related coverage describe Gênica as a Brazilian company tackling soil health through ag biologicals."
"Dogma Biotech","therapeutics and regenerative bio","high","38.9","24","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","AI-discovered sugars for better therapeutics.","Startup therapeutics que usa IA y azucares descubiertos computacionalmente para mejorar la eficacia de tratamientos biologicos. Entra en tesis por therapeutics and regenerative medicine.","GRIDX portfolio describes improving therapeutics efficacy by 20X through AI-discovered sugars."
"Autem Medical","clinical diagnostics and medical devices","high","40.6","22","45-60 words","medium","seeded","official_portfolio_profile","https://zentynel.com/en/portfolio/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Non-invasive oncology treatment platform.","Startup brasil/usa de medtech oncologico que aplica frecuencias electromagneticas especificas como tratamiento no invasivo complementario para cancer avanzado. Entra por medtech.","Zentynel describes Autem Medical as a safe non-invasive treatment that applies specific electromagnetic frequencies to improve standard oncology treatment."
"Gisens Biotech","clinical diagnostics and medical devices","high","43.4","19","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Nanotechnology diagnostics everywhere.","Startup de nanotech diagnostics que busca llevar diagnostico ultra-preciso a cualquier lugar. Entra en tesis por diagnostics and medtech.","GRIDX portfolio describes ultra-precise diagnostics everywhere through the use of nanotechnology."
"BreakPET","industrial enzymes and bioprocess platforms","high","43.6","20","45-60 words","medium","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Enzymatic PET recycling platform.","Startup de circularidad de materiales que recicla PET con enzimas ingenierizadas. Entra en tesis por biobased chemistry and advanced materials.","GRIDX portfolio describes recycling PET using engineered enzymes for circular plastic reuse."
"JetBov","agri intelligence and traceable markets","high","44.1","26","45-60 words","medium","seeded","official_portfolio_profile","https://spventures.com.br/portfolio/jetbov/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Beef cattle management intelligence platform.","Agtech brasileña para gestion de rodeos y digitalizacion de la cadena de ganaderia vacuna. Entra por precision agriculture intelligence aplicada a sistemas vivos de produccion animal.","SP Ventures founder quote says JetBov makes the beef cattle chain more efficient and sustainable through digital technologies."
"ZEV Biotech","clinical diagnostics and medical devices","high","45.1","19","45-60 words","high","seeded","official_portfolio_profile","https://www.gridexponential.com/portfolio","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Lab-deployable molecular diagnostics platform.","Startup de molecular diagnostics con plataforma que puede instalarse en cualquier laboratorio. Entra en tesis por diagnostics and medtech.","GRIDX portfolio describes a molecular diagnostics platform that can be placed in any lab in the world."
"Agrosmart","agri intelligence and traceable markets","high","46.3","22","45-60 words","medium","seeded","official_portfolio_profile","https://spventures.com.br/portfolio/agrosmart/","upgrade_seeded_to_reviewed; find_official_startup_or_product_source","Rewrite in English using only auditable source evidence. Include: product, technology/mechanism, market/use case, bio/material/planetary-boundary relevance, and why it belongs in BIO VC LATAM.","Climate-smart agronomic intelligence platform.","Agtech brasileña de agricultura climáticamente inteligente que usa datos, clima e IoT para mejorar decisiones en campo. Entra por precision agriculture intelligence.","SP Ventures climate-smart agriculture portfolio includes Agrosmart in its agtech universe."
