"startup_id","startup_name","startup_summary_v1","business_one_liner","problem_addressed","technical_approach","industry_destination","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status"
"fungi_life","Fungi Life","Startup biotech que reemplaza surfactantes sinteticos derivados del petroleo por biosurfactantes de origen fungico obtenidos por fermentacion. Entra en tesis por biobased chemistry and advanced materials.","Fungal biosurfactants to replace petroleum-derived surfactants.","Dependencia de surfactantes toxicos y no biodegradables derivados del petroleo.","Produccion escalable de sophorolipidos y otros biosurfactantes via biotecnologia fungica.","Cleaning, cosmetics, agriculture, oil and gas and bioremediation","high","Entra por sustitucion material clara y por quimica biobasada con impacto fuerte sobre limites planetarios.","https://www.fungilife.net/","official_website","2026-04-21","Official site describes replacing synthetic petroleum-derived surfactants with ingredients obtained from fungal biotechnology and producing sophorolipids in a scalable process.","high","reviewed"
"future_biome","Future Biome","Future Biome develops fungi-based precision prebiotics designed to optimize microbiome function. The available GRIDX evidence is concise, but the semantic core is clear: functional ingredients, fungal biology and microbiome modulation for food, gut-health and wellness applications. It belongs inside BIO VC LATAM as a food-biotech and microbiome ingredient company rather than animal-protein or generic fermentation infrastructure.","Fungi-based precision prebiotics for microbiome function.","Generic gut-health products lack targeted microbiome-function mechanisms.","Fungi-based precision prebiotic development for microbiome modulation.","food, gut health and wellness","high","Include as food biotech and microbiome ingredient technology.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-08","GRIDX portfolio describes optimizing microbiome function with fungi-based precision prebiotics.","high","reviewed"
"geoprot","Geoprot","Geoprot is a GRIDX portfolio deep-biotech startup developing a non-AI method for protein function analysis and prediction. Public GRIDX portfolio pages classify Geoprot under Deep-biotech and describe the company as a revolutionary approach to understanding and predicting protein function. It belongs inside BIO VC LATAM as scientific infrastructure for protein biology and biotech R&D, not as a crop-protection bioinput company.","Protein-function analysis and prediction platform.","Protein biology remains difficult to characterize and predict, slowing biotech discovery, enzyme engineering and biological product development.","Non-AI protein-function analysis and prediction method for biological R&D.","Protein biology, biotech R&D and scientific infrastructure","high","Include as deep-biotech scientific infrastructure; corrected from prior crop-protection misclassification.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-06","GRIDX portfolio describes Geoprot as a Deep-biotech startup with a non-AI revolutionary method for protein function analysis and prediction.","medium","reviewed"
"gisens_biotech","Gisens Biotech","Startup de nanotech diagnostics que busca llevar diagnostico ultra-preciso a cualquier lugar. Entra en tesis por diagnostics and medtech.","Nanotechnology diagnostics everywhere.","Acceso limitado a diagnosticos precisos fuera de entornos especializados.","Uso de nanotecnologia para plataformas diagnosticas ultra-precisas.","Healthcare diagnostics","high","Entra por diagnostica y nanotecnologia aplicada a biomedicina.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","GRIDX portfolio describes ultra-precise diagnostics everywhere through the use of nanotechnology.","medium","reviewed"
"heartbest","Heartbest","Heartbest is a Mexican foodtech company producing plant-based dairy alternatives such as cheese, milk and spreads. Its products are built directly from plants to offer healthier and more sustainable alternatives to animal dairy systems. It belongs inside BIO VC LATAM as food transition infrastructure: not deep biotech, but a material shift from livestock-based dairy to biobased consumer food systems.","Plant-based dairy foodtech.","Animal dairy systems have high environmental footprint and limited flexibility for consumers seeking plant-based alternatives.","Plant-based formulation and consumer food-product development for dairy analogues such as cheeses, milks and spreads.","Food and beverage","high","Include as food transition and biobased food-system substitution, even if less technically deep than fermentation biotech.","https://theyieldlablatam.com/companies/heartbest/","official_portfolio_profile","2026-05-06","The Yield Lab Latam portfolio describes Heartbest as producing plant-based dairy products built directly from plants for a healthier and more sustainable food system.","medium","reviewed"
"hiamet_s_a","HIAMET","HIAMET is an Argentine biotech company focused on improving biogas production from organic waste. Its official site describes process and additive design for organic-waste-to-energy conversion, biotech-based solutions for bioenergy and environmental-impact problems, biodigester-performance analysis, pilot-scale validation and custom additive supply. It belongs inside BIO VC LATAM as bioenergy and waste-to-resource infrastructure, not medtech.","Biotech solutions for biogas and organic-waste-to-energy conversion.","Organic-waste streams and biodigesters often underperform, limiting renewable energy generation and environmental-impact reduction.","Biotech additive formulation, biodigester-performance analysis, process design and 20 m3 pilot-plant validation for biogas systems.","Biogas, organic waste, bioenergy and environmental services","high","Include as bioenergy/resource-recovery biotech; corrected from prior medtech misclassification.","https://www.hiamet.com/","official_website","2026-05-06","Official site says HIAMET provides biotech-based solutions for biogas, organic-waste-to-energy conversion, biodigester performance, pilot validation and custom additives.","high","reviewed"
"imvalv","ImValv","iMvalv is an Argentine ophthalmology medtech developing an implantable microvalve system for glaucoma, paired with an intraocular-pressure sensor and external reader. Its public site and clinical-trial pages describe first-in-human work and a device architecture aimed at monitoring and controlling glaucoma-related eye pressure. It belongs inside BIO VC LATAM as clinical medical-device infrastructure for vision health, not as generic hardware.","Implantable glaucoma microvalve and pressure-sensing device.","Glaucoma management depends on better control and monitoring of intraocular pressure to prevent progressive vision loss.","Implantable microvalve, intraocular-pressure sensor, external reader and clinical validation workflow.","Ophthalmology, glaucoma and vision-health devices","high","Include as medtech with direct clinical and biological relevance to eye disease and tissue pressure regulation.","https://home.imvalv.com/","official_website","2026-05-06","Official site presents iMvalv as microvalve + IOP sensor + external reader for glaucoma and mentions first-in-human clinical-trial activity.","high","reviewed"
"inmet","INMET","INMET is an Argentine biomaterials company developing PHB biopolymer from agro-industrial byproducts through synthetic-biology strain optimization and a solvent-free downstream process. Its material is described as fully bio-based, compostable and biodegradable even in marine environments, with validated plastics applications. It belongs inside BIO VC LATAM as core biobased chemistry, circular biomaterials and fossil-plastic substitution infrastructure.","Compostable PHB biopolymer from agro-industrial waste.","Fossil plastics persist in the environment while agro-industrial residues remain underused as material feedstocks.","Synthetic-biology strain optimization and solvent-free PHB biopolymer production from agro-industrial byproducts.","packaging, plastics, biomaterials and circular materials","high","Include as core biobased chemistry / biomaterials.","https://inmet.com.ar/en/biomateriales/","official_website","2026-05-08","INMET says it transforms agro-industrial waste into a 100 percent bio-based and compostable biopolymer through a solvent-free process; SF500 describes PHB biopolymer made with synthetic biology strain optimization.","high","reviewed"
"inner_cosmos","Inner Cosmos","Inner Cosmos is a neurotechnology company developing a minimally invasive embedded brain-computer-interface therapy for treatment-resistant depression. Its Digital Pill is designed to read and stimulate brain networks, with public FDA early-feasibility milestones. It belongs inside BIO VC LATAM as neurotherapeutic medtech: a device-based biological intervention on neural circuits, not generic AI or wellness software.","Embedded brain-computer-interface therapy for depression.","Treatment-resistant depression needs scalable therapeutic options beyond medication and conventional neuromodulation.","Embedded BCI device that reads and stimulates brain networks for depression therapy.","mental health, neurology and neurotechnology","high","Include as neurotherapeutic medtech; keep LATAM linkage under watch if needed.","https://innercosmos.ai/","official_website","2026-05-08","Official site describes the Digital Pill as an embedded BCI designed to treat depression and notes FDA-approved early feasibility study milestones.","high","reviewed"
"kresko_rnatech","Kresko RNAtech","Startup food biotech que aÃ­sla RNAs bioactivos de alimentos frescos y los estabiliza en extractos funcionales. Entra en tesis por food biotech and novel ingredients.","Bioactive RNA extracts from fresh food.","Los compuestos bioactivos de alimentos frescos se degradan rÃ¡pidamente y se pierden antes de ser aprovechados.","Aislamiento, descubrimiento funcional y estabilizaciÃ³n de RNAs bioactivos presentes en frutas, verduras, hierbas, raÃ­ces y leche.","Food, nutrition and gut health","high","Entra por ingrediente funcional claramente biobasado y por su interfaz con nutriciÃ³n, salud y alimentos.","https://sosv.com/company/kresko-rnatech/","official_company_profile","2026-04-21","SOSV says Kresko isolates supernutrient bioactive RNAs from fresh foods and stabilizes them into extracts with health-relevant effects.","high","reviewed"
"libera","Libera","Startup therapeutics que usa vesiculas extracelulares para combatir enfermedades inflamatorias. Entra en tesis por therapeutics and regenerative medicine.","Extracellular vesicles to fight inflammatory diseases.","Necesidad de terapias mas efectivas frente a enfermedades inflamatorias.","Uso de vesiculas extracelulares como enfoque terapeutico biologico.","Therapeutics","high","Entra por biologia terapeutica clara y no por software o mercado generalista.","https://sf500.com.ar/","official_portfolio_profile","2026-04-20","SF500 portfolio describes extracellular vesicles to fight inflammatory diseases.","medium","reviewed"
"limay_biosciences","Limay Biosciences","Startup argentina de diagnostico molecular portatil que busca llevar precision tipo PCR a contextos sin laboratorio centralizado. Entra en tesis por diagnostics and medtech.","Portable molecular diagnostics company.","Demoras y baja accesibilidad en diagnostico molecular cuando las muestras dependen de laboratorios centralizados.","Dispositivos portatiles de diagnostico molecular con exactitud tipo PCR y uso en punto de atencion.","Healthcare, veterinary medicine and food testing","high","Entra por medtech diagnostica concreta y de base biologica.","https://cancilleria.gob.ar/en/new-technologies/next-from-argentina-en/limay-biosciences","institutional_public_source","2026-04-20","Public institutional profile says Limay develops portable molecular diagnostics that deliver PCR-accurate results in under an hour without centralized labs or specialized personnel.","high","reviewed"
"m4life","M4Life","Startup agrobiotech que desarrolla un enhancer biologico para resiliencia vegetal frente a estres abiotico. Entra en tesis por ag biologicals and crop resilience.","Biological plant resilience enhancer to abiotic stress.","Vulnerabilidad de cultivos frente a estres abiotico.","Solucion biologica para aumentar resiliencia vegetal.","Agriculture","high","Entra por bioinsumos y resiliencia material del sistema agricola.","https://sf500.com.ar/","official_portfolio_profile","2026-04-20","SF500 portfolio describes a biological plant resilience enhancer to abiotic stress.","medium","reviewed"
"mavios","Mavios","Startup de infraestructura bioindustrial que desarrolla un digital twin para bioprocesos y ayuda a empresas de fermentacion de precision a escalar mas rapido con simulaciones in silico. Entra en tesis por biomanufacturing and bioindustrial platforms.","AI-based digital twin for bioprocess scale-up.","Escalado lento, costoso y riesgoso de bioprocesos en empresas de fermentacion de precision.","Plataforma basada en IA que crea gemelos digitales de bioprocesos y simula resultados biologicos y viabilidad economica de distintas estrategias de produccion.","Precision fermentation and bioindustrial companies","high","Entra claramente por infraestructura para bioprocesos y transicion material basada en sistemas vivos.","https://mavios.ai/","official_website","2026-04-21","Official site says Mavios helps precision fermentation companies scale faster and more cost-effectively with an AI-based digital twin for bioprocesses and in silico simulations.","high","reviewed"
"microin","MicroIN","Startup de formulacion que desarrolla microencapsulacion para innovacion en bioinsumos. Entra en tesis por ag biologicals and crop resilience.","Microencapsulation for bioinputs.","Baja estabilidad y performance de bioinsumos en condiciones reales de uso.","Tecnologia de microencapsulacion para mejorar entrega y estabilidad de bioinsumos.","Agriculture","high","Entra como tecnologia habilitante de bioinsumos y resiliencia de cultivos.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","GRIDX portfolio describes microencapsulation technology for bioinput innovation.","medium","reviewed"
"microscopia","microscopIA","Startup de dispositivos automatizados con IA para diagnóstico médico, veterinario y aplicaciones agroindustriales basadas en microscopía. Entra en tesis por diagnostics and medtech.","AI-enabled automated microscopy devices.","Diagnóstico lento y manual de patógenos y enfermedades en salud pública y cadenas agroindustriales.","Microscopio automatizado con plataforma robótica y algoritmos de machine learning para detección y screening.","Public health, veterinary medicine and agribusiness diagnostics","medium","Entra por dispositivo diagnóstico concreto con acople a sistemas vivos y bioseñales.","https://www.f6s.com/company/microscopia","secondary_public_profile","2026-04-20","Public company profiles describe automated microscopy devices powered by machine learning for malaria, tropical disease and agroindustrial pathogen detection.","medium","reviewed"
"microterra","MicroTerra","Startup de ingredientes funcionales plant-based que cultiva lemna en acuifarms para producir ingredientes alimentarios mientras limpia agua y reduce huella hÃ­drica. Entra en tesis por food biotech and novel ingredients.","Water-cleaning plant-based functional ingredients from lemna.","Necesidad de ingredientes plant-based mÃ¡s sustentables y sistemas alimentarios con menor uso y contaminaciÃ³n de agua.","Cultivo de lemna junto a granjas acuÃ­colas para transformar nutrientes residuales en ingredientes funcionales.","Plant-based food and food ingredients","high","Entra por ingrediente biobasado con fuerte vÃ­nculo a circularidad hÃ­drica, alimentos y lÃ­mites planetarios.","https://sosv.com/company/microterra/","official_company_profile","2026-04-21","SOSV says microTERRA grows lemna with aquafarms to create plant-based ingredients, cleaner aquafarm water and a reduced water footprint.","high","reviewed"
"multiplai_health","MultiplAI Health","MultiplAI Health is an Argentina/UK preventive-medicine biotech using whole-blood RNA sequencing and AI to screen cardiovascular and other complex diseases remotely. Its platform combines blood-based transcriptomics, machine learning and scalable preventive-care workflows for earlier risk detection. It belongs inside BIO VC LATAM as genomic diagnostics and precision-health infrastructure, not therapeutics.","RNA sequencing and AI screening for cardiovascular disease.","Cardiovascular and complex diseases are often detected after risk has progressed and become costly to manage.","Whole-blood RNA sequencing, transcriptomic biomarkers and AI models for remote disease screening.","preventive medicine, cardiovascular screening and precision diagnostics","high","Include as genomic diagnostics / precision health.","https://www.multiplaihealth.com/","official_website","2026-05-08","Official site describes whole-blood RNA sequencing plus AI screening for cardiovascular and other complex diseases.","high","reviewed"
"mycorium_biotech","Mycorium Biotech","Startup de biomateriales que upcyclea residuos con micelio para producir bio-leather. Entra en tesis por biobased chemistry and advanced materials.","Upcycling waste using mycelium to produce bio-leather.","Residuos subutilizados y materiales con mayor huella fosil o animal.","Uso de micelio para transformar residuos en biomateriales.","Materials and fashion","high","Entra por transicion material clara y biomateriales.","https://sf500.com.ar/","official_portfolio_profile","2026-04-20","SF500 portfolio describes upcycling waste using mycelium to produce bio-leather.","medium","reviewed"
"nanojump_bio","Nano Jump Bio","Startup de herramientas moleculares que busca habilitar la extraccion de material genetico en cualquier lugar. Entra en tesis por diagnostics and medtech.","Portable genetic material extraction tool.","Dependencia de infraestructura fija para preparar muestras geneticas y habilitar diagnostico molecular.","Tecnologia portatil de extraccion de material genetico para contextos descentralizados.","Diagnostics, molecular biology and field testing","medium","Entra por herramienta habilitante concreta de biologia molecular y diagnostico.","https://es.gridexponential.com/project-tag/tools","official_portfolio_profile","2026-04-20","GRIDX tools portfolio describes Nano Jump Bio as enabling extraction of genetic material anywhere.","medium","reviewed"
"nanogrow_biotech","Nanogrow Biotech","Biotech terapéutica que desarrolla tratamientos biológicos basados en anticuerpos de dominio único con estrategias avanzadas de delivery. Entra en tesis por therapeutics and regenerative medicine.","Single-domain antibody therapeutics platform.","Limitaciones de eficacia, especificidad y manufactura en terapias biológicas tradicionales.","Plataforma de single-domain antibodies con diseño de candidatos, caracterización y delivery adaptado al tejido objetivo.","Biotech and pharmaceutical therapeutics","high","Entra por plataforma biológica terapéutica clara.","https://www.nanogrowbiotech.com/","official_website","2026-04-20","Official site describes biological treatments based on single-domain antibodies, with localized delivery and a multi-product therapeutic platform.","high","reviewed"
"nanoingreen","Nanoingreen","NanoInGreen is a food-biotech ingredient startup using microorganism strains and fermentation as natural biofactories to create sustainable, bioavailable ingredients for the food industry. Its public site describes a bioplatform of more than 150 microorganism strains, GMO-free and clean-label formulas, natural preservatives and absorbable mineral ingredients. It belongs inside BIO VC LATAM as microbial food-ingredient biomanufacturing and functional nutrition infrastructure.","Microbial fermentation platform for sustainable food ingredients.","Food products need healthier, more bioavailable, longer-lasting and cleaner-label ingredients without relying on ultra-processed or less sustainable inputs.","Microorganism strains, fermentation, natural biofactories, clean-label formulation and ingredient development.","Food ingredients, nutrition and functional food","high","Include as core food biotech / microbial ingredient platform, not generic nanotechnology.","https://www.nanoingreen.com/","official_website","2026-05-06","Official site says NanoInGreen uses microorganisms to create sustainable bioavailable food ingredients, has a platform of 150+ strains and develops natural preservatives and absorbable minerals.","high","reviewed"
"nanoprox","NanoproX","NanoproX develops bismuth-sulfide nanoparticles that act as radiosensitizers to increase radiotherapy effectiveness and reduce adverse effects, especially for hard-to-access tumors. It belongs inside BIO VC LATAM as oncology nanomedicine and medical technology: a physical nanoparticle intervention coupled to cancer treatment, not an agricultural or generic materials case.","Bismuth-sulfide nanoparticle radiosensitizer for oncology.","Radiotherapy can have limited efficacy and significant adverse effects in difficult tumors.","Bismuth-sulfide nanoparticles for targeted radiosensitization during cancer radiotherapy.","oncology and radiotherapy providers","high","Include as therapeutic medtech/nanomedicine for cancer treatment.","https://www.nanoprox.com/","official_website","2026-05-08","Official site describes bismuth sulfide nanoparticles that increase radiotherapy effectiveness and reduce adverse effects, especially in hard-to-access tumors.","high","reviewed"
"nanotica","Nanotica","Nanotica develops in-field nanoencapsulation systems for crop inputs. Its nanotizer machine and empty capsules let farmers encapsulate agrochemicals at the moment of application, aiming to lower doses, reduce pollution, improve delivery into plant tissues and improve farm economics. It belongs inside BIO VC LATAM as precision input-delivery infrastructure, not as biological-input manufacturing.","In-field nanoencapsulation system for agricultural inputs.","Conventional agrochemical application often requires high doses and causes inefficient delivery or pollution.","Nanotizer equipment and capsules for in-situ nanoencapsulation of crop-protection inputs.","agriculture and crop protection","medium-high","Include as precision agricultural input-delivery infrastructure; keep distinct from microbial bioinputs.","https://nanotica.com.ar/en/","official_website","2026-05-08","Official site says Nanotica developed nanoencapsulation technology to lower agrochemical doses, reduce pollution and improve food safety, using a nanotizer machine and empty capsules for in-situ pesticide nanoencapsulation.","high","reviewed"
"nat4bio","Nat4Bio","Nat4Bio is an Argentine food-protection biotech developing nature-inspired, cell-free biological formulations and edible coatings that extend fresh-produce shelf life and reduce post-harvest waste. Its pipeline uses native microorganisms, microbial biopolymers, natural antimicrobials and food-grade excipients to protect citrus, avocados, apples, pears and other crops. It should cluster with food biotech, post-harvest preservation, edible coatings and food-loss reduction.","Natural zero-residue edible coatings for fresh fruit.","Fresh fruit loses value and creates waste because conventional post-harvest protection leaves residues or fails to extend shelf life enough.","Cell-free biological formulations, edible coatings, microbial biopolymers and natural antimicrobials for fresh produce.","fresh produce, fruit exports, food preservation and food-waste reduction","high","Include as food biotech / biological preservation, not generic food marketplace.","https://www.nat4bio.com/","official_website","2026-05-08","Nat4Bio says it develops nature-inspired, cell-free biological formulations and food-grade coatings based on microbial biopolymers, natural antimicrobials and native microorganisms to protect fresh produce and reduce waste.","high","reviewed"
"new_organs_biotech","New Organs Biotech","New Organs Biotech is an Argentine regenerative-medicine startup combining gene editing and precision medicine to address chronic organ shortages and the limits of conventional transplantation. Public evidence is currently from GRIDX, but the biological mechanism is clear: engineered organ and regenerative-health solutions for transplant medicine. It belongs inside BIO VC LATAM as regenerative biology and therapeutic platform infrastructure.","Gene-edited regenerative medicine for organ shortage.","Organ shortage and transplant limitations create unmet needs in chronic and end-stage disease.","Gene editing, precision medicine and regenerative biology for engineered organ or transplant-related solutions.","transplant medicine, regenerative health and organ replacement","high","Include as regenerative medicine; evidence depth remains medium because public source is portfolio-level.","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-08","GRIDX portfolio describes New Organs Biotech as combining gene editing with precision medicine to solve organ shortage.","high","reviewed"
"nideport","Nideport","Nideport is a nature-based solutions and carbon-credit company focused on ecosystem restoration, biodiversity conservation and carbon-credit generation. Public material describes restoration of natural capital through enrichment and native-species reforestation, plus a certified Misiones Jungle carbon project backed by Verra/VCS/CCB methodologies. It belongs inside BIO VC LATAM as planetary-boundary infrastructure for restoration, biodiversity and carbon markets.","Nature restoration and carbon-credit platform.","Depleted ecosystems need restoration finance, biodiversity protection and credible carbon-credit commercialization mechanisms.","Native-species reforestation, enrichment initiatives, biodiversity conservation, carbon-credit project development and certification workflows.","Nature-based carbon markets, ecosystem restoration and biodiversity conservation","high","Include as planetary-boundary and nature-restoration infrastructure; current source is public/project-level, not a rich company homepage.","https://demo.nideport.com/en/blog/first-certified-carbon-credit-project-misiones-argentina","secondary_public_profile","2026-05-06","Nideport public project page describes a certified Misiones Jungle carbon-credit project, ecological restoration, biodiversity conservation and Verra/VCS/CCB-backed credits.","medium","reviewed"
"notfossil","NotFossil","NotFossil develops biofilters that use proprietary microorganisms to degrade hydrocarbons. The company is a clear biological remediation case: it applies microbial metabolism to reduce fossil contamination and recover environmental function. It belongs inside BIO VC LATAM as a bioremediation and planetary-boundary startup, not as ag intelligence or generic climate software.","Microbial biofilters for hydrocarbon degradation.","Hydrocarbon contamination persists in industrial and environmental contexts where conventional remediation is costly or incomplete.","Biofilters and proprietary microbes selected or engineered for hydrocarbon degradation.","environmental remediation, oil and industrial contamination","high","Include as direct microbial remediation of planetary-boundary pressure.","https://sf500.com.ar/","official_portfolio_profile","2026-05-08","SF500 portfolio describes biofilters development with proprietary microbes to degrade hydrocarbons.","high","reviewed"
"oncoliq","Oncoliq","Startup de diagnostico oncologico no invasivo para deteccion temprana de cancer. Entra en tesis por diagnostics and medtech.","Non-invasive early cancer detection.","Diagnostico tardio o invasivo en cancer.","Herramientas diagnosticas no invasivas orientadas a deteccion temprana.","Healthcare diagnostics","high","Entra por diagnostica clinica biologicamente acoplada.","https://sf500.com.ar/","official_portfolio_profile","2026-04-20","SF500 portfolio describes non-invasive early cancer detection.","medium","reviewed"
"openlayer","Openlayer","Plataforma de gobernanza, testing y observabilidad para sistemas de IA. Queda afuera por ser software horizontal de AI governance sin señal material o bioeconomica.","Plataforma de observabilidad y gobierno para IA.","Confiabilidad y control de modelos y sistemas de IA.","Testing, observability and guardrails for AI systems.","Cross-sector enterprise software","low","Queda afuera por no estar acoplada a bio, materiales o sistemas regenerativos.","https://www.openlayer.com/about","official_website","2026-04-20","Official site describes AI governance and observability to build reliable AI.","high","reviewed"
"outpost","Outpost","Outpost is a TechBio company making human microbiology computable by pairing wet-lab microbiology with machine learning and foundation-model style predictive systems. Its closed-loop engine is aimed at microbiome R&D, predictive medicine and biotech or consumer-health product development. It is not a clinical medical device or diagnostics product; it should cluster with computational biology, microbiome modeling, predictive biology and life-science software.","Closed-loop microbiome predictive-biology platform.","Microbiome R&D is slow, empirical and hard to predict across complex microbial ecosystems.","Closed-loop wet-lab microbiology, machine learning and predictive models for microbial ecosystems.","biotech, pharma, consumer health and microbiome R&D","high","Include as computational biology / microbiome techbio, not medical device.","https://www.outpost.bio/","official_website","2026-05-08","Official site describes a closed-loop engine pairing wet-lab biology with machine learning to make microbial ecosystems computable and enable predictive medicine.","high","reviewed"
"plamic","Plamic","PLAMIC develops microfluidic lab-on-a-chip systems to design, manufacture and characterize nanoscale drug-delivery formulations for health applications. Public sources frame its problem as low reproducibility, reagent waste and difficult scale-up in conventional nanomedicine manufacturing. It belongs inside BIO VC LATAM as biomedical process infrastructure for nanomedicine, not as crop or ag-input technology.","Microfluidic lab-on-a-chip platform for nanomedicine manufacturing.","Nanomedicine manufacturing suffers from low reproducibility, high reagent waste and scale-up difficulty.","Microfluidic lab-on-a-chip systems for controlled nanomedicine design, production and characterization.","health and pharmaceutical manufacturing","high","Include as biomedical process and drug-delivery manufacturing infrastructure.","https://www.argentina.gob.ar/ciencia/seppCTI/desarrollo-tecnologico-e-innovacion/diseno-fabricacion-y-caracterizacion-de-chips-o","government_public_profile","2026-05-08","Argentina.gob.ar describes PLAMIC as a microfluidic platform for designing, manufacturing and characterizing lab-on-a-chip systems for health applications and nanomedicine production.","high","reviewed"
"poas_bioenergy","Poás Bioenergy","Climate-tech regenerativa que convierte residuos agrícolas húmedos en energía térmica limpia y biochar, devolviendo carbono al suelo. Entra en tesis por climate, energy and resource systems.","Residue-to-energy and biochar platform.","Costos, emisiones y manejo ineficiente de residuos agrícolas húmedos y calor industrial intensivo en carbono.","Gasificación de biomasa para producir syngas y biochar con uso en calor de proceso y mejora de suelos.","Agriculture, industrial heat and soil carbon systems","high","Entra por transición clara de límites planetarios y bucles regenerativos sobre biomasa, energía y carbono.","https://www.poasbioenergy.com/","official_website","2026-04-20","Official site describes carbon-negative systems that convert wet biomass into clean on-site energy and biochar, restoring soils while locking away carbon.","high","reviewed"
"qumir_nano","Qumir Nano","Qumir Nano is an Argentine bio-nanotechnology startup developing agricultural bio-nano inputs through precision nanodelivery of microbial metabolites. Its official site describes a cell-free technology that integrates bioactive microbial metabolites into nanostructured delivery systems for crop protection, plant health, nutrition, resilience and lower chemical-input reliance. It belongs inside BIO VC LATAM as ag biologicals / bio-nanoinputs, not human nanomedicine or food ingredients.","Microbial-metabolite nanodelivery platform for crop inputs.","Crop protection and nutrition often depend on chemical inputs with inefficient delivery and environmental burden.","Microbial-metabolite bioactives integrated into nanostructured delivery systems for crops.","crop protection, plant health and regenerative agriculture","high","Include as ag biologicals and nanodelivery for crop resilience.","https://www.qumirnano.com/","official_website","2026-05-08","Official site describes bio-nanosolutions for agriculture, microbial-metabolite nanodelivery, crop protection, plant resilience and field trials in Argentina, Brazil and Paraguay.","high","reviewed"
"semion","Semion","Startup agrobiotech que activa mecanismos naturales de defensa de las plantas perdidos durante la domesticacion para mejorar resiliencia frente a plagas sin modificar geneticamente los cultivos. Entra en tesis por ag biologicals and crop resilience.","Biotech to activate natural plant defenses.","Cultivos domesticados con defensas naturales silenciadas y mayor vulnerabilidad frente a plagas.","Biomimesis de defensas de plantas silvestres para activar mecanismos que no se expresan bajo ataque.","Agriculture","high","Entra por acople biologico directo con cultivos y resiliencia agroecologica, ademas de ser un buen caso biocentrico.","https://semionbio.com/","official_website","2026-04-21","Official site says Semion restores natural defense mechanisms lost during domestication and develops targeted solutions to activate plant defenses instead of killing pests or using GM.","high","reviewed"
"silohub","Silohub","AgTech argentina que digitaliza la ultima milla del negocio de granos para acopios, distribuidores y productores. Entra en tesis por precision agriculture and resource intelligence.","Grain operations and ag-retail platform.","Fragmentacion operativa y baja visibilidad sobre contratos, entregas y transacciones del negocio de granos.","Plataforma web y app con CRM, gestion operativa, cotizaciones, pagos e integracion con ERPs para cadenas agricolas.","Agribusiness and grain operations","medium","Entra por fuerte acople material a cadenas agricolas reales, no como software horizontal.","https://www.descubre.vc/silohub","secondary_public_profile","2026-04-20","Public startup profile describes an agtech platform that digitalizes grain origination, producer relationships and agribusiness transactions for acopios and distributors.","medium","reviewed"
"siloreal","SiloReal","SiloReal provides infrastructure to remotely verify, digitalize and value agricultural assets in the field so they can be insured, financed and transacted as real collateral. The company is not biotech, but it is directly attached to material biological production systems because it makes crop and inventory assets legible for finance, insurance and trade. It belongs inside BIO VC LATAM as agri-finance and traceability infrastructure.","Remote verification infrastructure for agricultural assets.","Agricultural inventory and field assets are hard to verify remotely, limiting insurance, financing and collateral use.","Remote verification, digital asset records and valuation workflows for agricultural inventory and field assets.","agriculture, rural finance, insurance and commodity transactions","medium-high","Include as market infrastructure coupled to material crop systems.","https://www.siloreal.com/en/","official_website","2026-05-08","Official site describes remote verification and digitalization of field assets so they can be insured, financed and transacted as collateral.","high","reviewed"
"sima","Sima","Plataforma de agricultura inteligente para monitoreo de cultivos, geolocalizacion de datos y generacion de ordenes de trabajo en campo. Entra en tesis por precision agriculture and resource intelligence.","Plataforma agtech para monitoreo de cultivos y decisiones agronomicas.","Monitoreo ineficiente y toma de decisiones tardia en manejo agricola.","Datos geolocalizados de lote, monitoreo de plagas y enfermedades, analitica agronomica.","Agricultura","high","Entra por sistema digital acoplado de forma clara a manejo material de cultivos, insumos y recursos.","https://sima.ag/","official_website","2026-04-20","Official site describes crop monitoring, geolocated data, analysis and application work orders across millions of hectares.","high","reviewed"
"single_strand_biotech","Single Strand Biotech","Biotech terapéutica que desarrolla oligonucleótidos sintéticos para modular el sistema inmune y promover regeneración tisular. Entra en tesis por therapeutics and regenerative medicine.","Synthetic oligonucleotide therapeutics company.","Necesidad de terapias más seguras y duraderas para enfermedades inflamatorias crónicas y autoinmunes.","Desarrollo de drogas de oligonucleótidos de hebra simple con efecto inmunomodulador y regenerativo.","Biotech and inflammatory disease therapeutics","high","Entra por plataforma terapéutica biológica e inmunológica clara.","https://www.singlestrand.com/","official_website","2026-04-20","Official site describes synthetic single-stranded oligonucleotide therapies that modulate the immune system and promote tissue regeneration, starting with Crohn's disease.","high","reviewed"
