"fund_name","home_country","actor_type","latam_activity_level","geographic_focus","stage_focus","sector_focus","relevance","priority_tier","website_url","source_url","source_type","validation_status","notes"
"Sancor Seguros Impulsa","Argentina","corporate venture / accelerator","recurrent LatAm focus","Latin America","early-stage","social/environmental challenges; innovation","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Supports social/environmental innovation with Sancor network."
"Satrack Ventures","Colombia","corporate venture","recurrent LatAm focus","Latin America","early-stage","fleet management; logistics; mobility","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","CVC/venture activity around Satrack adjacencies."
"Terracotta Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","construction tech; real estate tech","Medium","3","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 listed."
"ThalesLab","Uruguay","VC fund / accelerator","recurrent LatAm focus","Latin America","early-stage","technology; blockchain; autonomous vehicles","Medium","3","","https://www.anii.org.uy/emprendimientos/fondos-de-capital-riesgo/","directory/report","source-listed","ANII-listed fund with global scale."
"Ventures Comfama","Colombia","corporate venture / impact investor","recurrent LatAm focus","Latin America","early-stage","social innovation; human capital; education; health; housing; employment","Medium","3","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Comfama social innovation venture program."
"500 Global LATAM","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","500 Global regional LatAm vehicle; Luchadores funds."
"99 Startups","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","sector-agnostic","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Pre-seed and seed in Spanish-speaking LatAm."
"Abseed Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage","B2B SaaS; software; tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 seed/early-stage leading."
"ACE Ventures","Brazil","VC fund / accelerator","recurrent LatAm focus","Latin America","seed; early-growth","sector-agnostic; tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Early-stage investor and asset manager in Brazil/LatAm."
"Alaya Capital","Argentina / Chile","VC fund","recurrent LatAm focus","Latin America","seed; Series A","digital transformation; consumer tech; high-tech","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Early-stage Latin American VC."
"ALLVP","Mexico","VC fund","recurrent LatAm focus","Latin America","Series A; early-stage","sector-agnostic; tech; LatAm","Low","1","","https://www.lavca.org/members/","directory/report","source-listed","Major LatAm early-stage VC."
"Bancolombia Ventures","Colombia","corporate VC","recurrent LatAm focus","Latin America","early/growth","fintech; financial infrastructure","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","CVC of Grupo Bancolombia."
"Base10 Partners","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed to growth","automation; fintech; software","Low","1","","https://www.lavca.org/members/","directory/report","source-listed","US fund with LatAm activity."
"Bossa Invest","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","generalist","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","High-volume early-stage investor."
"Bossanova Investimentos","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","generalist","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Alternative/legacy name commonly associated with Bossa Invest; keep for searchability."
"Bridge LatAm","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Founder-centric early-stage regional fund."
"Canary","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","sector-agnostic; technology","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Founder/operator-led early-stage VC. | Duplicate source enrichment."
"Carao Ventures","Costa Rica","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; pre-Series A","sector-agnostic; Central America; Andean; Spanish-speaking LatAm","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Early-stage VC across Spanish-speaking LatAm with Central America strength."
"Caravela Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; early-stage; Series A","sector-agnostic","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 seed/Series A listed."
"DILA Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed to Series C","sector-agnostic","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage VC manager in Spanish-speaking markets."
"DOMO.VC","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Brazilian early-stage VC."
"Endeavor Catalyst","United States / Global","global VC / co-investment fund","recurrent/selective LatAm activity","LatAm + global","Series A+; growth","high-impact entrepreneurs; sector-agnostic","Low","1","","https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026","directory/report","source-listed","Co-investment vehicle active across Endeavor markets including LatAm."
"EWA Capital","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","gender-smart; women-led; LatAm","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Gender-smart VC for Colombia/LatAm."
"FJ Labs","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","pre-seed to Series B","marketplaces; network effects; fintech; e-commerce","Low","1","","https://www.lavca.org/members/","directory/report","source-listed","Recurrent investor in LatAm startups."
"Headline","Brazil","VC fund","recurrent LatAm focus","Latin America","Series A; early/growth","sector-agnostic; tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026 Series A and B contexts."
"InQlab","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","technology; sector-agnostic","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Early-stage tech in Colombia and LatAm."
"Kaszek","Brazil / Uruguay / Regional","VC fund","recurrent LatAm focus","Latin America","seed to Series B; opportunity funds to pre-IPO","sector-agnostic; fintech; education; health; e-commerce; marketplaces; enterprise; SaaS","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","Founder-led venture firm investing across LatAm."
"Latitud Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","software-first; fintech; vertical SaaS; healthtech; marketplaces; proptech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america","directory/report","source-listed","First-check software-first LatAm fund."
"Magma Partners","Chile","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","fintech; insurtech; marketplaces; generalist tech","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Pan-LatAm early-stage VC."
"Marathon Ventures","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","B2B","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Bogotá-based early-stage B2B VC."
"MAYA Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","seed","sector-agnostic","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Seed fund investing first institutional rounds."
"Mercado Libre Fund","Argentina / Regional","corporate VC","recurrent LatAm focus","Latin America","early-stage; growth","commerce; financial services; fintech; e-commerce infrastructure","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Invests in tech democratizing commerce and financial services in LatAm."
"Monashees","Brazil","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; early growth","sector-agnostic; high-growth tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","One of LatAm's longest-running early-stage VCs."
"Nazca","Mexico / Chile","VC fund","recurrent LatAm focus","Latin America","early-stage; growth","sector-agnostic; tech-enabled","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Spanish-speaking LatAm market."
"Newtopia VC","Argentina","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A follow-on","sector-agnostic; scalable tech","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Early from idea to PMF."
"ONEVC","Brazil","VC fund","recurrent LatAm focus","Latin America","seed","sector-agnostic","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Concentrated early-stage LatAm fund."
"QED Investors","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early to growth","fintech","Low","1","","https://www.lavca.org/members/","directory/report","source-listed","Recurring LatAm fintech investor."
"Redpoint eventures / Headline","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage; Series A","sector-agnostic; tech","Low","1","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Brazil VC originally associated with Redpoint/eventures; now Headline."
"Ribbit Capital","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early to growth","fintech; crypto","Low","1","","https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026","directory/report","source-listed","Global fintech VC with Brazil/LatAm deals."
"Simma Capital","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage; growth","sector-agnostic; scalable models","Low","1","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Connection with Colombia/LatAm."
"SoftBank Latin America Fund","Japan / United States / LatAm","global growth fund / regional LatAm vehicle","recurrent/selective LatAm activity","LatAm + global","growth","sector-agnostic; tech","Low","1","","https://www.lavca.org/members/","directory/report","source-listed","Dedicated LatAm strategy / historic LatAm growth fund."
"Add Ventures Capital","Chile / US","VC fund","recurrent LatAm focus","Latin America","seed","traditional industries; LatAm transformation","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Seed fund investing in LatAm transformation opportunities."
"Alina VC","Argentina","VC fund","recurrent LatAm focus","Latin America","early-stage","future of work","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","LatAm future-of-work specialist."
"Amplifica Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","seed","gender-lens; women-led; sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Seed-stage LatAm fund increasing economic participation for women."
"Angel Ventures Peru / AVP Ventures","Peru","VC fund","recurrent LatAm focus","Latin America","early-stage","fintech; sector-agnostic","Low","2","","https://www.openvc.app/country/Peru","directory/report","source-listed","Peru VC; may be linked historically to Angel Ventures network."
"Arkfund","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage disruptive tech in Mexico/LatAm."
"Arrebol Capital","Colombia","VC fund","recurrent LatAm focus","Latin America","seed","traditional industries; fintech; logistics","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Seed founders transforming traditional industries."
"Ataria Ventures","Peru","VC fund","recurrent LatAm focus","Latin America","early-stage","digital tech; LatAm","Low","2","","https://www.openvc.app/country/Peru","directory/report","source-listed","Early-stage digital tech in LatAm."
"Avalancha Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Early-stage startups with traction."
"Bicycle Capital","Brazil / US","growth VC fund","recurrent LatAm focus","Latin America","Series B+","sector-agnostic; tech","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League 2026 Series B+ recommended."
"BuenTrip Ventures","Ecuador","VC fund","recurrent LatAm focus","Latin America","pre-seed","software-based startups; LatAm transformation","Low","2","","https://www.buentrip.vc/","directory/report","source-listed","Ecuador-based pre-seed VC for Latin American founders."
"Carabela","Mexico","VC fund","recurrent LatAm focus","Latin America","seed","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Seed fund investing in early-stage LatAm founders."
"Cedro Capital","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage","technology; B2B; SaaS?","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Leaders League highly recommended seed/early stage; ABVCAP member."
"Chile Ventures","Chile","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed; Series A","SaaS; subscription models","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Early-stage SaaS/subscription investors."
"Clocktower Technology Ventures","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early-stage","fintech; financial services","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Fintech specialist active in LatAm."
"Confrapar","Brazil","VC / PE manager","recurrent LatAm focus","Latin America","Series A; growth","technology; innovation","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP member and Leaders League notable practice."
"Crescera Capital","Brazil","VC / growth / PE manager","recurrent LatAm focus","Latin America","venture; growth","sector-agnostic; innovation","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Venture/private equity manager."
"Darwin Startups","Brazil","accelerator / VC","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Early-stage venture firm and accelerator."
"DGF Investimentos","Brazil","VC/growth fund","recurrent LatAm focus","Latin America","growth","technology; B2B; software","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","ABVCAP member."
"Driven VC","Chile","VC fund","recurrent LatAm focus","Latin America","seed","digital commerce enablers; B2B marketplaces","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Seed fund focused on digital commerce enablers."
"Dux Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","Latinx founders; diverse founders","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Bridges funding gap for Latinx founders."
"Ferter","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","tech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","LatAm tech, principally Mexico."
"Finnovista.vc","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","fintech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Leads pre-seed/seed fintech rounds in Spanish-speaking LatAm."
"FinTech Collective","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early-stage","fintech; capital markets; financial infrastructure","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Fintech specialist active in LatAm."
"G2 Momentum Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage; growth","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Private investment fund for early/growth startups."
"Ganas Ventures","United States / LatAm","VC fund","recurrent/selective LatAm activity","LatAm + global","pre-seed; seed","community-driven; LatAm/US; sector-agnostic","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","LatAm-focused early-stage fund."
"General Catalyst","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","early to growth","sector-agnostic; tech","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Global VC with selective LatAm deals."
"Global Founders Capital","Germany / Global","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed to growth","sector-agnostic; tech","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Global VC with LatAm activity."
"Globant Ventures","Argentina","corporate VC","recurrent LatAm focus","Latin America","seed; pre-Series A; Series A; growth","B2B enterprise tech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","CVC seeking tech startups strategic to Globant clients."
"Grupo Bolívar","Colombia","corporate venture / CVC","recurrent LatAm focus","Latin America","early-stage","fintech; insurtech; financial services","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Grupo Bolívar venture activity."
"HTwenty Capital","Mexico / US","VC fund","recurrent LatAm focus","Latin America","pre-seed; seed","B2B; vertical marketplaces; SaaS; fintech","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Cross-regional US/LatAm early-stage fund."
"IC Ventures","Uruguay","VC fund","recurrent LatAm focus","Latin America","seed; pre-Series A","disruptive projects; scalable startups","Low","2","","https://www.anii.org.uy/emprendimientos/fondos-de-capital-riesgo/","directory/report","source-listed","Private fund supported/listed by ANII."
"Igah Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","early-stage; Series A","sector-agnostic","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026."
"INCA Ventures","Peru","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic; tech","Low","2","","https://www.openvc.app/country/Peru","directory/report","source-listed","Peru VC cited in Peru ecosystem rankings; needs row-level validation."
"Iporanga Ventures","Brazil","VC fund","recurrent LatAm focus","Latin America","seed; Series A","sector-agnostic; tech","Low","2","","https://www.vestbee.com/insights/articles/top-vc-funds-in-latin-america | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-seed-and-early-stage-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-a-2026 | https://www.leadersleague.com/en/rankings/brazil-best-venture-capital-funds-series-b-and-on-2026 | https://abvcap.com.br/en/sobre/membros/","directory/report","source-listed","Listed by Leaders League 2026 Series A."
"IWANA Ventures","Colombia","VC fund","recurrent LatAm focus","Latin America","growth acceleration","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Exclusive support model for high-growth startups."
"JAM Fund","United States","global VC active in LatAm","recurrent/selective LatAm activity","LatAm + global","seed","consumer; fintech; marketplaces","Low","2","","https://www.lavca.org/members/","directory/report","source-listed","Seed fund with LatAm deals."
"Kalei Ventures","Argentina / US","VC fund","recurrent LatAm focus","Latin America","early-stage","scalable tech; underserved markets","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-argentina","directory/report","source-listed","Bridges Silicon Valley and LatAm growth opportunities."
"Kolab Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Supports ventures from day one."
"Koyamaki Ventures","Colombia","VC fund","recurrent LatAm focus","Latin America","early-stage","crypto; web3","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-colombia","directory/report","source-listed","Crypto umbrella thesis."
"Krealo","Peru","corporate VC","recurrent LatAm focus","Latin America","early-stage; growth","fintech; Andean region","Low","2","","https://www.startuplinks.world/reportes/fondos-de-venture-capital-corporativos-de-latam","directory/report","source-listed","Credicorp CVC investing in Andean fintechs."
"Kuiper","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","software; Spanish-speaking markets","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Software-based tech across Spanish-speaking markets."
"LEAP Global Partners","Mexico / US","VC fund","recurrent LatAm focus","Latin America","early-stage","Latinx founders; cross-border","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Cross-border venture fund for Latinx founders."
"Lotux Ventures","Mexico","VC fund","recurrent LatAm focus","Latin America","pre-seed","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Pre-seed VC based in Mexico City."
"Manutara Ventures","Chile / US","VC fund","recurrent LatAm focus","Latin America","early-stage","SaaS; fintech; future of work","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-originarios-de-chile","directory/report","source-listed","Practical support for early-stage startups."
"Melek Capital","Mexico","VC fund","recurrent LatAm focus","Latin America","early-stage","sector-agnostic","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Helps early-stage startups scale."
"MGV Capital","Mexico / US","VC fund","recurrent LatAm focus","Latin America","early-stage","digital startups; US-Mexico","Low","2","","https://www.startuplinks.world/reportes/inversionistas-de-venture-capital-mexico","directory/report","source-listed","Digital startups across US and Mexico."
