priority_score,investment_id,investor_id,startup_name,startup_id,country,round_stage,bio_theme,valuation_tier,has_amount,source_id,research_hint
7,manual-sp_ventures-cowmed-br-3f6bdd,sp_ventures,CowMed,cowmed-br,BR,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: cowmed-br | fondo: sp_ventures newsletter/portfolio
7,manual-sp_ventures-agronow-br-61f2f3,sp_ventures,Agronow,agronow-br,BR,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: agronow-br | fondo: sp_ventures newsletter/portfolio
7,manual-the_yield_lab_latam-agrosmart-7fdc21,the_yield_lab_latam,Agrosmart,agrosmart,BR,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: agrosmart | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-ecotrace-br-cef6d1,the_yield_lab_latam,Ecotrace,ecotrace-br,BR,seed,Nature & Ecosystem Tech,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: ecotrace-br | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-kptl-carbonext-defb7e,kptl,Carbonext,carbonext,BR,seed,Nature & Ecosystem Tech,1,0,https://kptl.com.br,Crunchbase: carbonext | fondo: kptl newsletter/portfolio
7,manual-blue_horizon-future_cow-4128be,blue_horizon,Future Cow,future_cow,BR,seed,Food Systems & Alt Proteins,1,0,https://www.bluehorizon.com/investments,Crunchbase: future_cow | fondo: blue_horizon newsletter/portfolio
7,manual-dalus_capital-unima-mx-325db0,dalus_capital,Unima,unima-mx,MX,seed,Diagnostics & Health Access,1,0,https://www.daluscapital.com,Crunchbase: unima-mx | fondo: dalus_capital newsletter/portfolio
7,manual-dalus_capital-kura-biotec-mx-d3701e,dalus_capital,KURA Biotec,kura-biotec-mx,MX,seed,Diagnostics & Health Access,1,0,https://www.daluscapital.com,Crunchbase: kura-biotec-mx | fondo: dalus_capital newsletter/portfolio
7,manual-hatch-atarraya-mx-cc2761,hatch,Atarraya,atarraya-mx,MX,seed,Food Systems & Alt Proteins,1,0,https://hatch.no/portfolio,Crunchbase: atarraya-mx | fondo: hatch newsletter/portfolio
7,manual-newtopia_vc-calice-ai-ar-f7c76c,newtopia_vc,Calice AI,calice-ai-ar,AR,seed,Farm Intelligence,1,0,https://newtopia.vc,Crunchbase: calice-ai-ar | fondo: newtopia_vc newsletter/portfolio
7,manual-sp_ventures-verqor-8f0aaf,sp_ventures,Verqor,verqor,MX,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: verqor | fondo: sp_ventures newsletter/portfolio
7,manual-sp_ventures-blooms-fc78f6,sp_ventures,Blooms,blooms,MX,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: blooms | fondo: sp_ventures newsletter/portfolio
7,manual-sp_ventures-jetbov-759559,sp_ventures,JetBov,jetbov,BR,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: jetbov | fondo: sp_ventures newsletter/portfolio
7,manual-sp_ventures-inprenha-938b4e,sp_ventures,Inprenha,inprenha,BR,seed,Therapeutics,1,0,https://spventures.com.br/portfolio,Crunchbase: inprenha | fondo: sp_ventures newsletter/portfolio
7,manual-sp_ventures-decoy-smart-control-br-7059d9,sp_ventures,Decoy Smart Control,decoy-smart-control-br,BR,seed,Bioinputs & Crop Resilience,1,0,https://spventures.com.br/portfolio,Crunchbase: decoy-smart-control-br | fondo: sp_ventures newsletter/portfolio
7,manual-the_yield_lab_latam-bemagro-679b8e,the_yield_lab_latam,BemAgro,bemagro,BR,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: bemagro | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-culttivo-14593d,the_yield_lab_latam,Culttivo,culttivo,BR,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: culttivo | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-cerradox-b7b864,the_yield_lab_latam,CerradoX,cerradox,BR,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: cerradox | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-kigui-513459,the_yield_lab_latam,Kigüi,kigui,MX,seed,Food Systems & Alt Proteins,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: kigui | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-incluirtec-939a01,the_yield_lab_latam,Incluirtec,incluirtec,CO,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: incluirtec | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-produzindo-certo-3d53fd,the_yield_lab_latam,Produzindo Certo,produzindo-certo,BR,seed,Nature & Ecosystem Tech,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: produzindo-certo | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-agricapital-694989,the_yield_lab_latam,Agricapital,agricapital,CO,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: agricapital | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-zentynel-antarka-6c6775,zentynel,Antarka,antarka,UY,seed,Biomaterials & Circular Economy,1,0,https://zentynel.com/en/portfolio/,Crunchbase: antarka | fondo: zentynel newsletter/portfolio
7,manual-zentynel-viewmind-c54ea2,zentynel,ViewMind,viewmind,AR,seed,Diagnostics & Health Access,1,0,https://zentynel.com/en/portfolio/,Crunchbase: viewmind | fondo: zentynel newsletter/portfolio
7,manual-savia_ventures-living-ink-us-4b6c44,savia_ventures,Living Ink,living-ink-us,US,seed,Biomaterials & Circular Economy,1,0,https://saviaventures.com/,Crunchbase: living-ink-us | fondo: savia_ventures newsletter/portfolio
7,manual-savia_ventures-nutrition-from-water-cl-fab51c,savia_ventures,Nutrition from Water,nutrition-from-water-cl,CL,seed,Food Systems & Alt Proteins,1,0,https://saviaventures.com/,Crunchbase: nutrition-from-water-cl | fondo: savia_ventures newsletter/portfolio
7,manual-savia_ventures-mothership-materials-cl-b91762,savia_ventures,Mothership Materials,mothership-materials-cl,CL,seed,Biomaterials & Circular Economy,1,0,https://saviaventures.com/,Crunchbase: mothership-materials-cl | fondo: savia_ventures newsletter/portfolio
7,manual-CITES-amnova-biotech-cl-4a22dc,CITES,Amnova Biotech,amnova-biotech-cl,CL,seed,Therapeutics,1,0,https://cites-gss.com/en/portfolio/,Crunchbase: amnova-biotech-cl | fondo: CITES newsletter/portfolio
7,manual-CITES-baxxis-medtech-cl-f05c8a,CITES,Baxxis Medtech,baxxis-medtech-cl,CL,seed,Diagnostics & Health Access,1,0,https://cites-gss.com/en/portfolio/,Crunchbase: baxxis-medtech-cl | fondo: CITES newsletter/portfolio
7,manual-sp_ventures-pink-farms-e73b28,sp_ventures,Pink Farms,pink-farms,BR,seed,Farm Intelligence,1,0,https://spventures.com.br/portfolio,Crunchbase: pink-farms | fondo: sp_ventures newsletter/portfolio
7,manual-zentynel-microterra-ceb4e8,zentynel,MicroTerra,microterra,MX,seed,Food Systems & Alt Proteins,1,0,https://zentynel.com/en/portfolio/,Crunchbase: microterra | fondo: zentynel newsletter/portfolio
7,manual-the_yield_lab_latam-verqor-dd83a4,the_yield_lab_latam,Verqor,verqor,MX,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: verqor | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-the_yield_lab_latam-blooms-66a937,the_yield_lab_latam,Blooms,blooms,MX,seed,Farm Intelligence,1,0,https://theyieldlablatam.com/portfolio/,Crunchbase: blooms | fondo: the_yield_lab_latam newsletter/portfolio
7,manual-AIR Capital-laurus_ag_tech-92830b,AIR Capital,Laurus AG Tech,laurus_ag_tech,AR,seed,Farm Intelligence,1,0,https://www.linkedin.com/company/air-capital,Crunchbase: laurus_ag_tech | fondo: AIR Capital newsletter/portfolio
7,manual-endurance_28-dprotein-180587,endurance_28,DProtein,dprotein,MX,seed,Food Systems & Alt Proteins,1,0,https://endurance28.com,Crunchbase: dprotein | fondo: endurance_28 newsletter/portfolio
7,manual-kptl-culttivo-eafac2,kptl,Culttivo,culttivo,BR,seed,Farm Intelligence,1,0,https://agfeed.com.br/agtech/renato-ramalho-ceo-da-kptl,Crunchbase: culttivo | fondo: kptl newsletter/portfolio
7,manual-glocal-digifarmz-br-3b3e2b,glocal,DigiFarmz,digifarmz-br,BR,seed,Farm Intelligence,1,0,GLOCAL listed as investor in DigiFarmz Brazil AI agronomic decision platform; co,Crunchbase: digifarmz-br | fondo: glocal newsletter/portfolio
7,manual-chileglobal_ventures-instacrops-cl-ef8c73,chileglobal_ventures,Instacrops,instacrops-cl,CL,seed,Farm Intelligence,1,0,ChileGlobal Ventures official portfolio page lists Instacrops Chilean IoT irriga,Crunchbase: instacrops-cl | fondo: chileglobal_ventures newsletter/portfolio
7,manual-Zentynel-neocrop-technologies-325bb1,zentynel,Neocrop Technologies,neocrop-technologies,CL,seed,Bioinputs & Crop Resilience,1,0,https://www.zentynel.com/portfolio,Crunchbase: neocrop-technologies | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-antarka-f00c05,zentynel,Antarka,antarka,UY,seed,Biomaterials & Circular Economy,1,0,https://www.zentynel.com/portfolio,Crunchbase: antarka | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-hexembio-605f38,zentynel,HeXemBio,hexembio,US,seed,Therapeutics,1,0,https://www.zentynel.com/portfolio,Crunchbase: hexembio | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-xeptiva-aa0405,zentynel,Xeptiva,xeptiva,UY,seed,Therapeutics,1,0,https://www.zentynel.com/portfolio,Crunchbase: xeptiva | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-biomakers-4e6d5c,zentynel,Biomakers,biomakers,AR,seed,Diagnostics & Health Access,1,0,https://www.zentynel.com/portfolio,Crunchbase: biomakers | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-microterra-f71911,zentynel,MicroTerra,microterra,MX,seed,Food Systems & Alt Proteins,1,0,https://www.zentynel.com/portfolio,Crunchbase: microterra | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-samay-ce6588,zentynel,Samay,samay,CO,seed,Diagnostics & Health Access,1,0,https://www.zentynel.com/portfolio,Crunchbase: samay | fondo: zentynel newsletter/portfolio
7,manual-Zentynel-multiplai_health-105128,zentynel,MultiplAI Health,multiplai_health,AR,seed,Diagnostics & Health Access,1,0,https://www.zentynel.com/portfolio,Crunchbase: multiplai_health | fondo: zentynel newsletter/portfolio
7,manual-ganesh-eywa_biotech-27ff8d,The Ganesha Lab,Eywa Biotech,eywa_biotech,AR,seed,Therapeutics,1,0,https://theganeshalab.com/startups/,Crunchbase: eywa_biotech | fondo: The Ganesha Lab newsletter/portfolio
7,manual-ganesh-metabix_bio-e6573a,The Ganesha Lab,Metabix Bio,metabix_bio,UY,seed,Bioinputs & Crop Resilience,1,0,https://theganeshalab.com/startups/,Crunchbase: metabix_bio | fondo: The Ganesha Lab newsletter/portfolio
7,manual-ganesh-pannex_therapeut-98f569,The Ganesha Lab,Pannex Therapeutics,pannex_therapeutics,CL,seed,Therapeutics,1,0,https://theganeshalab.com/startups/,Crunchbase: pannex_therapeutics | fondo: The Ganesha Lab newsletter/portfolio
7,manual-ganesh-luyef-biotechnol-40421a,The Ganesha Lab,Luyef Biotechnologies,luyef-biotechnologies-cl,CL,seed,Food Systems & Alt Proteins,1,0,https://theganeshalab.com/startups/,Crunchbase: luyef-biotechnologies-cl | fondo: The Ganesha Lab newsletter/portfolio
7,manual-ganesh-botanical-soluti-72fee2,The Ganesha Lab,Botanical Solution Inc,botanical-solution-inc-cl,CL,seed,Bioinputs & Crop Resilience,1,0,https://theganeshalab.com/startups/,Crunchbase: botanical-solution-inc-cl | fondo: The Ganesha Lab newsletter/portfolio
7,manual-end28-micro_meat-cc278b,endurance_28,Micro Meat,micro_meat,MX,seed,Food Systems & Alt Proteins,1,0,https://endurance28.com/portfolio,Crunchbase: micro_meat | fondo: endurance_28 newsletter/portfolio
7,sprint2-vesper-vyro,vesper_ventures,Vyro Bio,vyro-bio-br,BR,seed,Therapeutics,1,0,,Crunchbase: vyro-bio-br | fondo: vesper_ventures newsletter/portfolio
7,sprint2-biominas-vyro,biominas,Vyro Bio,vyro-bio-br,BR,seed,Therapeutics,1,0,,Crunchbase: vyro-bio-br | fondo: biominas newsletter/portfolio
7,sprint3-hatch-ictio,hatch_blue,Ictiobiotic,ictiobiotic,CL,seed,Food Systems & Alt Proteins,1,0,,Crunchbase: ictiobiotic | fondo: hatch_blue newsletter/portfolio
6,110,The Ganesha Lab,Botanical Solutions,botanical-solutions,CL,,Bioinputs & Crop Resilience,2,0,src_theganeshalab_com_startups,Crunchbase: botanical-solutions | LinkedIn announcement | The Ganesha Lab portfolio
6,manual-zentynel-autem-medical,zentynel,Autem Medical,autem-medical,BR,,Therapeutics,2,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: autem-medical | LinkedIn announcement | zentynel portfolio
6,manual-zentynel-harmony,zentynel,HARMONY,harmony-biosciences,BR,,Biomanufacturing & Platform Technologies,2,0,source: https://zentynel.com/en/portfolio/ | Zentynel official portfolio page li,Crunchbase: harmony-biosciences | LinkedIn announcement | zentynel portfolio
6,manual-glocal-ucrop-it-ar-cc2063,glocal,ucrop.it,ucrop-it-ar,AR,pre-seed,Nature & Ecosystem Tech,1,1,https://agfundernews.com/blockchain-startup-ucrop-it-raises-3-1-m-to-prove-susta,Crunchbase: ucrop-it-ar | fondo: glocal newsletter/portfolio
6,inv_455be211,plug_and_play,Eternal Mycofood,eternal_mycofood,AR,undisclosed,Food Systems & Alt Proteins,2,0,,Crunchbase: eternal_mycofood | LinkedIn announcement | plug_and_play portfolio
6,sprint3-gridx-plamic,GridX,Plamic Biotech,plamic_biotech,AR,pre-seed,Diagnostics & Health Access,1,1,,Crunchbase: plamic_biotech | fondo: GridX newsletter/portfolio
6,sprint3-gridx-limay,GridX,Limay,limay,AR,pre-seed,Diagnostics & Health Access,1,1,,Crunchbase: limay | fondo: GridX newsletter/portfolio
5,e60,GridX,algaebio+,algaebio,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: algaebio | fondo: GridX newsletter/portfolio
5,e228,GridX,Antarka,antarka,UY,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: antarka | fondo: GridX newsletter/portfolio
5,e229,GridX,Apasomics,apasomics,CR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: apasomics | fondo: GridX newsletter/portfolio
5,e230,GridX,APEXzymes,apexzymes,BR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: apexzymes | fondo: GridX newsletter/portfolio
5,e62,GridX,Aquit,aquit,CL,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: aquit | fondo: GridX newsletter/portfolio
5,e262,GridX,Arakion,arakion,AR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: arakion | fondo: GridX newsletter/portfolio
5,e63,GridX,ArgenTAG,argentag,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: argentag | fondo: GridX newsletter/portfolio
5,e232,GridX,BioBlends,bioblends,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bioblends | fondo: GridX newsletter/portfolio
5,e65,GridX,Bioeutectics,bioeutectics,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bioeutectics | fondo: GridX newsletter/portfolio
5,e66,GridX,BioPlaster Research Inc,bioplaster_research_inc,MX,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bioplaster_research_inc | fondo: GridX newsletter/portfolio
5,e234,GridX,Bioplastix,bioplastix,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bioplastix | fondo: GridX newsletter/portfolio
5,e67,GridX,Bitgenia,bitgenia,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bitgenia | fondo: GridX newsletter/portfolio
5,e68,GridX,BreakPET,break_pet,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: break_pet | fondo: GridX newsletter/portfolio
5,e64,GridX,Bsafe Biotech,bsafe_biotech,BR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bsafe_biotech | fondo: GridX newsletter/portfolio
5,e69,GridX,ByBug,bybug,CL,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: bybug | fondo: GridX newsletter/portfolio
5,e272,GridX,Calfix,calfix,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: calfix | fondo: GridX newsletter/portfolio
5,e236,GridX,Caligenia,caligenia,AR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: caligenia | fondo: GridX newsletter/portfolio
5,68,GridX,Caspr Biotech,caspr_biotech,CL,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: caspr_biotech | fondo: GridX newsletter/portfolio
5,e237,GridX,CellCo,cellco,US,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: cellco | fondo: GridX newsletter/portfolio
5,e238,GridX,CellRep,cellrep,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: cellrep | fondo: GridX newsletter/portfolio
5,e71,GridX,Cryosmetics,cryosmetics,UY,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: cryosmetics | fondo: GridX newsletter/portfolio
5,e239,GridX,CyanoMin,cyanomin,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: cyanomin | fondo: GridX newsletter/portfolio
5,e240,GridX,Dogma Biotech,dogma_biotech,CO,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: dogma_biotech | fondo: GridX newsletter/portfolio
5,e73,GridX,Einsted,einsted,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: einsted | fondo: GridX newsletter/portfolio
5,e59,GridX,Elytron Biotech,elytron_biotech,AR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: elytron_biotech | fondo: GridX newsletter/portfolio
5,e74,GridX,Embryoxite,embryoxite,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: embryoxite | fondo: GridX newsletter/portfolio
5,e75,GridX,Enteria,enteria,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: enteria | fondo: GridX newsletter/portfolio
5,e271,GridX,Enzyva,enzyva,BR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: enzyva | fondo: GridX newsletter/portfolio
5,e241,GridX,Eywa Biotech,eywa_biotech,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: eywa_biotech | fondo: GridX newsletter/portfolio
5,67,GridX,Feedvax,feedvax,US,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: feedvax | fondo: GridX newsletter/portfolio
5,e77,GridX,Food4You,food4you,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: food4you | fondo: GridX newsletter/portfolio
5,e243,GridX,Geoprot,geoprot,AR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: geoprot | fondo: GridX newsletter/portfolio
5,e80,GridX,Gisens Biotech,gisens_biotech,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: gisens_biotech | fondo: GridX newsletter/portfolio
5,e244,GridX,GlycoX,glycox,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: glycox | fondo: GridX newsletter/portfolio
5,e245,GridX,Invitrall,invitrall,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: invitrall | fondo: GridX newsletter/portfolio
5,e82,GridX,Kresko RNAtech,kresko_rnatech,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: kresko_rnatech | fondo: GridX newsletter/portfolio
5,e263,GridX,Levya,levya,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: levya | fondo: GridX newsletter/portfolio
5,e270,GridX,Lipock,lipock,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: lipock | fondo: GridX newsletter/portfolio
5,e273,GridX,Mavios,mavios,AR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: mavios | fondo: GridX newsletter/portfolio
5,e246,GridX,MicroIN,microin,AR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: microin | fondo: GridX newsletter/portfolio
5,e247,GridX,MIGMA,migma,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: migma | fondo: GridX newsletter/portfolio
5,e86,GridX,Nanogrow Biotech,nanogrow_biotech,BR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nanogrow_biotech | fondo: GridX newsletter/portfolio
5,e87,GridX,Nanoingreen,nanoingreen,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nanoingreen | fondo: GridX newsletter/portfolio
5,e269,GridX,NanoproX,nanoprox,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nanoprox | fondo: GridX newsletter/portfolio
5,e88,GridX,Nanotransfer,nanotransfer,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nanotransfer | fondo: GridX newsletter/portfolio
5,e89,GridX,Nat4Bio,nat4bio,AR,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nat4bio | fondo: GridX newsletter/portfolio
5,e250,GridX,Naturannova,naturannova,CL,pre-seed,Food Systems & Alt Proteins,1,0,https://www.gridexponential.com/portfolio,Crunchbase: naturannova | fondo: GridX newsletter/portfolio
5,e264,GridX,Neocell,neocell,AR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: neocell | fondo: GridX newsletter/portfolio
5,e91,GridX,New Organs Biotech,new_organs_biotech,AR,pre-seed,Therapeutics,1,0,https://www.gridexponential.com/portfolio,Crunchbase: new_organs_biotech | fondo: GridX newsletter/portfolio
5,e251,GridX,Nunatak Biotech,nunatak_biotech,AR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: nunatak_biotech | fondo: GridX newsletter/portfolio
5,e253,GridX,POLYMERA,polymera,UY,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: polymera | fondo: GridX newsletter/portfolio
5,e265,GridX,PreGen,pregen,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: pregen | fondo: GridX newsletter/portfolio
5,e254,GridX,Protiva,protiva,CL,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: protiva | fondo: GridX newsletter/portfolio
5,e255,GridX,Qnity,qnity,BR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: qnity | fondo: GridX newsletter/portfolio
5,e96,GridX,Qumir Nano,qumir_nano,AR,pre-seed,Bioinputs & Crop Resilience,1,0,https://www.gridexponential.com/portfolio,Crunchbase: qumir_nano | fondo: GridX newsletter/portfolio
5,e97,GridX,Radial,radial,AR,pre-seed,Biomaterials & Circular Economy,1,0,https://www.gridexponential.com/portfolio,Crunchbase: radial | fondo: GridX newsletter/portfolio
5,manual-GridX-algalife-b5bd1d,GridX,Algalife,algalife,AR,pre-seed,Biomanufacturing & Platform Technologies,1,0,https://www.gridexponential.com/portfolio,Crunchbase: algalife | fondo: GridX newsletter/portfolio
5,manual-GridX-caspr_biotech_acq-2024,GridX,Caspr Biotech (acq. by Amazon),caspr_biotech_acq_by_amazon,AR,pre-seed,Diagnostics & Health Access,1,0,https://www.gridexponential.com/portfolio,Crunchbase: caspr_biotech_acq_by_amazon | fondo: GridX newsletter/portfolio
5,sprint2-vesper-hapi,vesper_ventures,Hapiseeds,hapiseeds-br,BR,pre-seed,Bioinputs & Crop Resilience,1,0,,Crunchbase: hapiseeds-br | fondo: vesper_ventures newsletter/portfolio
5,sprint2-vesper-reddot,vesper_ventures,Reddot Bio,reddot-bio-br,BR,pre-seed,Diagnostics & Health Access,1,0,,Crunchbase: reddot-bio-br | fondo: vesper_ventures newsletter/portfolio
5,sprint2-vesper-cellertz,vesper_ventures,Cellertz Bio,cellertz-bio-br,BR,pre-seed,Therapeutics,1,0,,Crunchbase: cellertz-bio-br | fondo: vesper_ventures newsletter/portfolio
5,sprint2-biominas-tismoo,biominas,Tismoo,tismoo,BR,pre-seed,Diagnostics & Health Access,1,0,,Crunchbase: tismoo | fondo: biominas newsletter/portfolio
5,sprint2-biominas-tissue,biominas,TissueLabs,tissuelabs,BR,pre-seed,Therapeutics,1,0,,Crunchbase: tissuelabs | fondo: biominas newsletter/portfolio
5,sprint3-bossa-corsync,bossa_invest,Cor.Sync,corsync,BR,pre-seed,Diagnostics & Health Access,1,0,,Crunchbase: corsync | fondo: bossa_invest newsletter/portfolio
5,sprint3-domo-corsync,domo_invest,Cor.Sync,corsync,BR,pre-seed,Diagnostics & Health Access,1,0,,Crunchbase: corsync | fondo: domo_invest newsletter/portfolio
4,manual-spventures-arado,sp_ventures,Arado,arado,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: arado | LinkedIn announcement | sp_ventures portfolio
4,manual-spventures-traive,sp_ventures,Traive,traive,BR,,Farm Intelligence,1,0,source: https://spventures.com.br/portfolio/ | SP Ventures official portfolio li,Crunchbase: traive | LinkedIn announcement | sp_ventures portfolio
4,manual-AIR Capital-stamm-ar-efc1df,AIR Capital,Stamm,stamm-ar,AR,seed,Biomanufacturing & Platform Technologies,0,0,https://www.linkedin.com/company/air-capital,Crunchbase: stamm-ar | fondo: AIR Capital newsletter/portfolio
4,sweep-valor_capita-agrolend,valor_capital_group,Agrolend,agrolend,BR,,Farm Intelligence,1,0,src_https___www_valorcapitalgroup_com_companies,Crunchbase: agrolend | LinkedIn announcement | valor_capital_group portfolio
4,sweep-valor_capita-arado,valor_capital_group,Arado,arado,BR,,Farm Intelligence,1,0,src_https___www_valorcapitalgroup_com_companies,Crunchbase: arado | LinkedIn announcement | valor_capital_group portfolio
4,manual-end28-skyalert-531583,endurance_28,SkyAlert,skyalert,MX,seed,,0,0,https://endurance28.com/portfolio,Crunchbase: skyalert | fondo: endurance_28 newsletter/portfolio
