"startup_id","startup_name","macro_theme","emergent_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_sector","confidence"
"goflux","goFlux","climate, energy and resource systems","ag logistics and freight intelligence","core","include","planetary_boundary_ag_logistics_efficiency","external_atlas_official_site_validated","","0.76"
"grandata","Grandata","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"harmony-biosciences","HARMONY","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.89"
"heartbest","Heartbest","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","yieldlab_portfolio_official","Agri·Food·Land Use","0.84"
"hexembio","HeXemBio","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","hexembio_official_site","","0.94"
"HIAMET","HIAMET","climate, energy and resource systems","bioenergy and waste-to-resource systems","core","include","official_site_signal_bioenergy_waste_to_resource","official_website","","0.9"
"horus_aeronaves","Horus Aeronaves","precision agriculture and resource intelligence","drone-enabled remote sensing and field intelligence","core","include","secondary_public_signal_material_ag_system","lavca_sp_ventures_horus_profile","","0.82"
"houm","Houm","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"huiro","Huiro","climate, energy and resource systems","nature restoration and carbon systems","core","include","official_website_signal_biocentric_planetary_regeneration","huiro_official_site","Digital Economy","0.9"
"hybridon","Hybridon","biobased chemistry and advanced materials","bioactive materials and surface technologies","core","include","bioactive_materials_and_antimicrobial_nanotechnology_signal","manual_credibility_cleanup_2026_05_08","Digital Economy","0.8"
"ideelab","IdeeLab","ag biologicals and crop resilience","ag biologicals CDMO and biomanufacturing","core","include","core_bio_ag_biologicals_and_biomanufacturing","brasil_bio_import_official_site","","0.9"
"imeve","Imeve","therapeutics and regenerative medicine","animal health biotechnology and probiotics","core","include","core_bio_animal_health_and_probiotics","external_atlas_official_site_validated","","0.86"
"imvalv","Imvalv","diagnostics and medtech","health diagnostics and medtech","core","include","candidate_website_signal_biocentric_health_system","user_gemini_candidate_csv","Human Health","0.81"
"inbioar","Inbioar","ag biologicals and crop resilience","genome-enabled crop resilience","core","include","official_website_signal_bio_based_or_biocentric","inbioar_official_site","Agri·Food·Land Use","0.92"
"inceres","InCeres","precision agriculture and resource intelligence","precision agriculture and soil intelligence","core","include","bio_centric_precision_agriculture_and_resource_efficiency","external_atlas_official_site_validated","","0.84"
"incluirtec","Incluirtec","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.68"
"infira","Infira","ag biologicals and crop resilience","genome-enabled crop resilience","core","include","official_public_signal_agrobiotech_and_crop_resilience","linkedin_and_descubre_profile","Digital Economy","0.88"
"ini","INI","peripheral or non-core digital ventures","offline payments and fintech infrastructure","peripheral","exclude","full_digital_fintech_no_bio_materiality_signal","forbes_profile","Digital Economy","0.86"
"inmet","INMET","biobased chemistry and advanced materials","PHB biopolymers and compostable materials","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","Bio·Industry","0.92"
"inner_cosmos","Inner Cosmos","therapeutics and regenerative medicine","neurotherapeutic medical devices","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Human Health","0.84"
"innova_space","Innova Space","climate, energy and resource systems","satellite IoT and planetary monitoring","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","Other / Unclassified","0.84"
"innovai","Innovai","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","ganesha_portfolio_official","","0.89"
"inprenha","Inprenha","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","spventures_portfolio_official","","0.89"
"inventa","Inventa","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"invitrall","Invitrall","therapeutics and regenerative medicine","in vitro human organ models and drug testing","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","Digital Economy","0.82"
"iof","Iof","peripheral or underclassified ventures","unclassified / needs review resolved","under_review","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","manual_research_resolution","Other / Unclassified","0.52"
"jampp","Jampp","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"jetbov","JetBov","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_material_ag_system","spventures_portfolio_official","","0.8"
"kangu","Kangu","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"keclon","Keclon","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_website_signal_bio_based_or_biocentric","keclon_official_site","Digital Economy","0.94"
"kigui","Kigüi","climate, energy and resource systems","climate and resource intelligence platforms","core","include","official_website_signal_material_resource_efficiency","kigui_official_site","Bio·Industry","0.73"
"kilimo","Kilimo","climate, energy and resource systems","water intelligence for resilient agriculture","core","include","official_website_signal_planetary_boundary_water_stewardship","kilimo_official_site","Bio·Industry","0.7"
"kresko_rnatech","Kresko RNAtech","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","sosv_indiebio_portfolio_official","Digital Economy","0.88"
"krilltech","Krilltech","ag biologicals and crop resilience","nano-biofertilizers and plant physiology","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","","0.88"
"laurus","Laurus","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_website_signal_bio_based_or_biocentric","laurus_official_site","Agri·Food·Land Use","0.91"
"laurus_ag_tech","Laurus AG Tech","climate, energy and resource systems","climate and resource intelligence platforms","core","include","official_portfolio_signal_material_ag_system","laurus_f6s_profile","Other / Unclassified","0.7"
"leaf","Leaf","precision agriculture and resource intelligence","agriculture data infrastructure","core","include","bio_centric_agriculture_data_infrastructure","external_atlas_official_site_validated","","0.84"
"lemon","Lemon","peripheral or non-core digital ventures","crypto and consumer fintech","peripheral","exclude","full_digital_fintech_no_bio_materiality_signal","manual_public_signal","Digital Economy","0.82"
"lemu","Lemu","climate, energy and resource systems","biodiversity MRV and nature intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","","0.9"
"levya","Levya","food biotech and novel ingredients","food ingredients and biofactories","core","include","official_website_signal_bio_based_food_and_cosmetic_ingredients","levya_official_site","Digital Economy","0.92"
"lia_aeospace","LIA Aeospace","frontier hardware and infrastructure systems","green satellite propulsion systems","core","exclude","official_site_signal_non_thesis_space_infrastructure","lia_aerospace_official_site","Other / Unclassified","0.84"
"libera","Libera","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","Agri·Food·Land Use","0.83"
"lifit","Lifit","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","consumer_software_without_thesis_core_signal","lifit_public_signal","Other / Unclassified","0.58"
"limay_biosciences","Limay Biosciences","diagnostics and medtech","health diagnostics and medtech","core","include","institutional_public_source_signal_bio_based_or_biocentric","institutional_public_source","Digital Economy","0.88"
"lipock","Lipock","therapeutics and regenerative medicine","drug delivery and bioactive formulation platforms","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","Digital Economy","0.82"
"logan","Logan","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","logan_official_site","Other / Unclassified","0.9"
"logshare","LogShare","climate, energy and resource systems","low-emission logistics and supply-chain efficiency","core","include","official_website_signal_material_logistics_system","logshare_official_site","Digital Economy","0.82"
"lupeon","Lupeon","peripheral or non-core digital ventures","general logistics software","peripheral","exclude","general_logistics_saas_not_specific_to_bio_or_ag_material_transition","thesis_exclusion_clear_drop","","0.7"
"luzid","Luzid","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","luzid_official_site","Other / Unclassified","0.9"
"m4life","M4Life","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","Digital Economy","0.81"
"mabloc","Mabloc","peripheral or non-core digital ventures","therapeutics and regenerative bio","peripheral","exclude","non_latam_company_despite_bio_relevance","geography_exclusion_pending_latam_evidence","Digital Economy","0.78"
"magnamed","Magnamed","diagnostics and medtech","critical-care medical devices","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","","0.86"
"matchetune","Matchetune","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","chileglobalventures_portfolio_official","","0.84"
"mavios","Mavios","biomanufacturing and bioindustrial platforms","bioprocess intelligence and digital twins","core","include","official_site_signal_bioindustrial_infrastructure","mavios_official_site","Agri·Food·Land Use","0.92"
"menta_tickets","Menta Tickets","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","menta_official_site","Other / Unclassified","0.88"
"mentatech","MentaTech","peripheral or non-core digital ventures","ticketing and fan exchange infrastructure","peripheral","exclude","full_digital_ticketing_no_bio_materiality_signal","linkedin_public_post","Digital Economy","0.78"
"mesenchyal_t","Mesenchyal-T","therapeutics and regenerative medicine","therapeutics and regenerative bio","core","include","core_bio_therapeutics_and_regenerative_medicine","thesis_inclusion_source_backed","Digital Economy","0.92"
"metabix-biotech","metaBIX Biotech","diagnostics and medtech","environmental pathogen intelligence and biosecurity","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","","0.82"
"michroma","Michroma","food biotech and novel ingredients","fermented functional ingredients","core","include","official_website_signal_food_biotech_precision_fermentation","michroma_official_site","Deep·Biotech","0.9"
"microgenesis","Microgenesis","diagnostics and medtech","health diagnostics and medtech","core","include","official_website_signal_medtech_clinical_system","microgenesis_official_site","Human Health","0.84"
"microin","MicroIN","ag biologicals and crop resilience","extremophile microbial ag inputs","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Digital Economy","0.8"
"microscopia","microscopIA","diagnostics and medtech","health diagnostics and medtech","core","include","secondary_public_signal_bio_based_or_biocentric","microscopia_public_profiles","Other / Unclassified","0.78"
"microterra","MicroTerra","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","sosv_indiebio_portfolio_official","Digital Economy","0.9"
"migma","MIGMA","food biotech and novel ingredients","food shelf-life extension and antioxidant systems","core","include","external_source_signal_food_bioeconomy_and_waste_reduction","linkedin_company_profile","Other / Unclassified","0.78"
"mombak","Mombak","climate, energy and resource systems","native reforestation and carbon removal","core","include","bio_centric_ecosystem_restoration_and_carbon_removal","brasil_bio_import_official_site","","0.92"
"momentum-therapeutics","Momentum Therapeutics","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.91"
"monte-caldera-technology","Monte Caldera Technology","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_website_signal_material_transition","montecaldera_official_site","","0.72"
"moss","Moss","climate, energy and resource systems","carbon markets and nature finance","core","include","bio_centric_nature_finance_and_carbon_markets","sp_ventures_official_portfolio","","0.72"
"mudafy","Mudafy","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"multiplai_health","MultiplAI Health","diagnostics and medtech","transcriptomic screening and precision diagnostics","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Human Health","0.9"
"mural","Mural","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"muta","MUTA","climate, energy and resource systems","resource recovery and circular materials infrastructure","core","include","external_source_signal_planetary_boundary_material_recovery_latam","f6s_and_common_fund_profile","Other / Unclassified","0.84"
"mycorium_biotech","Mycorium Biotech","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","Digital Economy","0.84"
"mzp","MZP","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_clinical_material_system","mzp_f6s_profile","Other / Unclassified","0.78"
"nairotech","Nairotech","biobased chemistry and advanced materials","functional advanced materials and biointerface surfaces","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Digital Economy","0.84"
"nanojump_bio","Nano Jump Bio","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.78"
"nanogrow_biotech","Nanogrow Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","nanogrow_official_site","Other / Unclassified","0.93"
"nanoingreen","Nanoingreen","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","candidate_website_signal_bio_based_or_biocentric","user_gemini_candidate_csv","Agri·Food·Land Use","0.76"
"nanoprox","NanoproX","diagnostics and medtech","nanomedicine and oncology devices","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Other / Unclassified","0.88"
"nanotica","Nanotica","precision agriculture and resource intelligence","ag-input delivery and nanoencapsulation","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Agri·Food·Land Use","0.9"
"nanotransfer","Nanotransfer","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","nanotransfer_official_site","Digital Economy","0.91"
"nat4bio","Nat4Bio","food biotech and novel ingredients","edible coatings and post-harvest biopreservation","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","Agri·Food·Land Use","0.92"
"nativas","Nativas","climate, energy and resource systems","regenerative agriculture and nature finance","core","include","bio_centric_regenerative_agriculture_and_nature_finance","external_atlas_official_site_validated","","0.9"
"naturannova","Naturannova","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_website_signal_bio_based_or_biocentric","naturannova_official_site","Agri·Food·Land Use","0.9"
"neocell","Neocell","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_website_signal_bio_based_or_biocentric","neocell_official_site","Digital Economy","0.82"
"neocrop-technologies","Neocrop Technologies","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.93"
"new_organs_biotech","New Organs Biotech","therapeutics and regenerative medicine","gene-edited regenerative medicine and organ replacement","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","Human Health","0.78"
"nexxto","Nexxto","climate, energy and resource systems","cold-chain and food-quality monitoring","core","include","planetary_boundary_food_loss_and_cold_chain_efficiency","external_profile_validated","","0.68"
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","core","include","public_project_signal_planetary_restoration_carbon","nideport_public_project_profile","Other / Unclassified","0.86"
"nilus","Nilus","climate, energy and resource systems","food rescue and circular food access","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","","0.72"
"nocarbon_milk","NoCarbon Milk","food biotech and novel ingredients","low-carbon dairy and animal protein systems","core","include","bio_centric_low_carbon_animal_protein","external_media_profile_validated","","0.72"
"notfossil","NotFossil","climate, energy and resource systems","bioremediation and microbial resource recovery","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Digital Economy","0.86"
"novo_space","NOVO SPACE","frontier hardware and infrastructure systems","rad-tolerant space computing systems","core","exclude","official_site_signal_non_thesis_space_infrastructure","novo_space_official_site","Other / Unclassified","0.9"
"nuclearis","Nuclearis","frontier hardware and infrastructure systems","nuclear industrial engineering","core","exclude","energy_industrial_but_not_bio_or_biocentric_thesis_core","nuclearis_official_site","Other / Unclassified","0.8"
"nude","Nude","food biotech and novel ingredients","plant-based food transition products","core","include","official_site_signal_bio_based_food_transition_latam","official_site_and_bcorp_profile","Other / Unclassified","0.88"
"nunatak_biotech","Nunatak Biotech","ag biologicals and crop resilience","plant microbiome and soil restoration","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Digital Economy","0.88"
"nuvemshop","Nuvemshop","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"nuvia","Nuvia","frontier hardware and infrastructure systems","semiconductor compute systems","core","exclude","non_bio_non_biocentric_hardware_outside_thesis","public_news_signal","Other / Unclassified","0.77"
"ocular_bio_design","Ocular Bio Design","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_public_signal_bio_based_or_biocentric","ocular_bio_design_public_profile","Human Health","0.88"
"omica","Omica","diagnostics and medtech","digital biobank and multiomics infrastructure","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","Digital Economy","0.86"
"omics","OMICS","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_portfolio_signal_bio_based_or_biocentric","kptl_portfolio_official","","0.91"
"onco_precision","Onco Precision","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","oncoprecision_official_site","Digital Economy","0.9"
"oncoliq","Oncoliq","diagnostics and medtech","health diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","sf500_portfolio_official","Digital Economy","0.82"
"oneinfinite","OneInfinite","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","oneinfinite_official_site","Other / Unclassified","0.9"
"openlayer","Openlayer","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","openlayer_official_site","Other / Unclassified","0.9"
"outpost","Outpost","computational biology and scientific software","microbiome predictive biology and techbio","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","Other / Unclassified","0.9"
"patagon-fiber","Patagon Fiber","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_portfolio_signal_bio_based_or_biocentric","ganesha_portfolio_official","","0.9"
"payjoy","Payjoy","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"pepton","Pepton","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","external_source_signal_antimicrobial_biotech_latam","cites_and_iproup_profiles","Digital Economy","0.82"
"phagelab","PhageLab","therapeutics and regenerative medicine","therapeutics and regenerative bio","core","include","official_website_signal_bio_based_or_biocentric","phagelab_official_site","","0.94"
"phylumtech","PhylumTech","computational biology and scientific software","computational biology and life-science software","core","include","official_website_signal_life_science_research_tools_latam","phylumtech_official_site","Digital Economy","0.9"
"pill_ar","Pill.AR","diagnostics and medtech","personalized medicine manufacturing","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Digital Economy","0.86"
"pink-farms","Pink Farms","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","spventures_portfolio_official","","0.88"
"plamic","Plamic","therapeutics and regenerative medicine","microfluidic nanomedicine manufacturing","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Agri·Food·Land Use","0.86"
"plamic_biotech","Plamic Biotech","diagnostics and medtech","health diagnostics and medtech","core","include","official_public_signal_bio_based_or_biocentric","plamic_public_profile","Other / Unclassified","0.76"
"poas_bioenergy","Poás Bioenergy","climate, energy and resource systems","regenerative agroforestry and carbon systems","core","include","official_site_signal_climate_materiality_and_resource_transition","poas_bioenergy_official_site","Other / Unclassified","0.94"
"pods","Pods","peripheral or underclassified ventures","unclassified / needs review resolved","under_review","exclude","insufficient_public_evidence_and_no_defensible_materiality_signal","manual_research_resolution","Other / Unclassified","0.52"
"polymera","POLYMERA","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","external_source_signal_bio_based_materials_latam","linkedin_and_descubre_profile","Digital Economy","0.9"
"pomelo","Pomelo","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"precision_ag","Precision Ag","precision agriculture and resource intelligence","drone-enabled precision spraying","core","include","bio_centric_precision_agriculture_and_resource_efficiency","precision_ag_official_site","","0.76"
"pregen","PreGen","diagnostics and medtech","health diagnostics and medtech","core","include","official_public_signal_bio_based_or_biocentric","pregen_public_profile","Agri·Food·Land Use","0.9"
"prima","Prima","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","public_web_signal","Other / Unclassified","0.6"
"produzindo-certo","Produzindo Certo","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","","0.77"
"promip","Promip","ag biologicals and crop resilience","biological pest control and crop protection","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","","0.9"
"properati","Properati","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"protiva","Protiva","biobased chemistry and advanced materials","circular material systems","core","include","official_website_signal_bio_based_or_biocentric","protiva_official_site","Other / Unclassified","0.9"
"puna_bio","Puna Bio","ag biologicals and crop resilience","extremophile microbial ag inputs","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","Agri·Food·Land Use","0.9"
"qive","Qive","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"qnity","Qnity","computational biology and scientific software","quantum sensing for drug discovery","core","include","external_source_signal_bio_drug_discovery_latam_founder_ip","linkedin_and_startup_network","Other / Unclassified","0.78"
"quadminds","Quadminds","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"quantum_south","Quantum South","computational biology and scientific software","quantum cargo optimization","core","exclude","official_site_signal_non_thesis_logistics_software","quantum_south_official_site","Other / Unclassified","0.82"
"qumir_nano","Qumir Nano","ag biologicals and crop resilience","bio-nano agricultural inputs","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Human Health","0.9"
"radbio","Radbio","therapeutics and regenerative medicine","biologic therapeutics for fibrosis and cancer","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_04_2026_05_08","Digital Economy","0.88"
"radial","Radial","biobased chemistry and advanced materials","fungal biomaterials and residue valorization","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Other / Unclassified","0.84"
"re_green","re.green","climate, energy and resource systems","native reforestation and carbon removal","core","include","bio_centric_ecosystem_restoration_and_carbon_removal","brasil_bio_import_official_site","","0.92"
"resistia","Resistia","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","external_source_signal_antimicrobial_biotech_latam","linkedin_and_cbinsights_profile","Digital Economy","0.88"
"retargetly","Retargetly","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"retrypay","Retrypay","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","retrypay_public_profiles","Other / Unclassified","0.84"
"ripio","Ripio","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"rsk","Rsk","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"ruedata","Ruedata","peripheral or non-core digital ventures","fleet tire optimization and logistics software","peripheral","exclude","logistics_software_without_thesis_core_materiality_signal","ruedata_official_site","Digital Economy","0.82"
"rumina","Rumina","ag biologicals and crop resilience","ag biologicals and crop/livestock resilience","core","include","bio_centric_livestock_and_ag_sustainability","thesis_inclusion_source_backed","Digital Economy","0.84"
"ruuts","Ruuts","climate, energy and resource systems","regenerative agroforestry and carbon systems","core","include","official_site_signal_planetary_boundary_stewardship","official_site_and_climatebase","Other / Unclassified","0.86"
"samay","Samay","diagnostics and medtech","diagnostics and medtech","core","include","official_portfolio_signal_bio_based_or_biocentric","zentynel_portfolio_official","","0.86"
"satellites_on_fire","Satellites on Fire","climate, energy and resource systems","wildfire detection and ecosystem resilience","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_03_2026_05_08","Other / Unclassified","0.88"
"satellogic","Satellogic","climate, energy and resource systems","earth observation and planetary monitoring","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","Other / Unclassified","0.84"
"sciphage","SciPhage","ag biologicals and crop resilience","ag biologicals and animal resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","ganesha_portfolio_official","","0.91"
"scitherm_therapeutics","Scitherm Therapeutics","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","scitherm_official_site","Human Health","0.9"
"securitize","Securitize","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.49"
"seedmatriz","SeedMatriz","ag biologicals and crop resilience","seed technology and crop establishment","core","include","official_website_signal_material_ag_system","seedmatriz_official_site","Agri·Food·Land Use","0.92"
"seedz","Seedz","precision agriculture and resource intelligence","agri-market infrastructure and producer engagement","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_02_2026_05_08","","0.82"
"semion","Semion","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_site_signal_bio_based_or_biocentric","semion_official_site","Agri·Food·Land Use","0.92"
"sensei","Sensei","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_retail_automation_no_bio_materiality_signal","sensei_official_site","Other / Unclassified","0.9"
"sensify","Sensify","climate, energy and resource systems","climate and resource intelligence platforms","core","include","official_website_signal_food_cold_chain_resource_efficiency","sensify_official_site","Digital Economy","0.86"
"sensix","Sensix","precision agriculture and resource intelligence","precision agriculture and soil intelligence","core","include","official_site_signal_material_ag_system","sensix_official_site","","0.92"
"sette","Sette","climate, energy and resource systems","agricultural credit and risk intelligence","core","include","bio_centric_ag_finance_and_risk_infrastructure","external_atlas_official_site_validated","","0.82"
"silohub","Silohub","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","secondary_public_profile_signal_bio_based_or_biocentric","secondary_public_profile","Other / Unclassified","0.74"
"siloreal","SiloReal","precision agriculture and resource intelligence","agricultural asset verification and collateral infrastructure","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_05_2026_05_08","Other / Unclassified","0.84"
"sima","Sima","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_site_signal_material_ag_system","sima_official_site","Other / Unclassified","0.82"
"single_strand_biotech","Single Strand Biotech","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","single_strand_official_site","Other / Unclassified","0.93"
