entity_id,canonical_name,country,scope_decision,scope_status,recommendation,top_theme,top_conf,sec_theme,sec_conf,curator_decision,curator_theme,text_preview
luzid,Luzid,CR,exclude,provisional,no_bio,Diagnostics & Health Access,0.178,Nature & Ecosystem Tech,0.152,,,ERP delivery and transformation platform para enterprise software. ai-data
lume_robotics,Lume Robotics,BR,exclude,pending_curation,no_bio,Food Systems & Alt Proteins,0.178,Diagnostics & Health Access,0.15,,,Autonomous vehicle robotics technology. Not bio.
beegol,Beegol,BR,exclude,pending_curation,no_bio,Diagnostics & Health Access,0.177,Farm Intelligence,0.171,,,ML platform for broadband quality monitoring. Not bio.
aio_educational_software,AIO (Educational Software),BR,exclude,pending_curation,no_bio,Diagnostics & Health Access,0.174,Farm Intelligence,0.153,,,AI-powered student guidance tool for entrance exam preparation. Not bio.
harddrones,Harddrones,CL,exclude,pending_curation,no_bio,Farm Intelligence,0.174,Nature & Ecosystem Tech,0.137,,,Drone data capture and flight analytics. Not bio.
bacu,BACU,,exclude,confirmed,no_bio,Farm Intelligence,0.173,Diagnostics & Health Access,0.155,,,"Cadena de restaurantes saludables apoyada por software propio para operaciones, delivery y pagos. ai-data"
por_a_mais,Por a mais,BR,exclude,pending_curation,no_bio,Diagnostics & Health Access,0.173,Farm Intelligence,0.168,,,Educational data science platform. Not bio.
speedbird_aero,Speedbird Aero,BR,exclude,pending_curation,no_bio,Farm Intelligence,0.172,Diagnostics & Health Access,0.149,,,Drone logistics and UAS development company. Not bio.
greenv,GreenV,BR,exclude,pending_curation,no_bio,Nature & Ecosystem Tech,0.172,Therapeutics,0.146,,,EV charging infrastructure company. Not bio.
ini,INI,AR,exclude,confirmed,no_bio,Diagnostics & Health Access,0.171,Therapeutics,0.161,,,Fintech argentina de pagos digitales con conectividad alternativa para operar incluso sin internet.
ft_sistemas_sa,FT Sistemas S.A.,BR,exclude,pending_curation,no_bio,Nature & Ecosystem Tech,0.171,Biomaterials & Circular Economy,0.148,,,Manufacturer of remotely piloted aircraft and aeronautical systems. Not bio.
tumi_robotics,Tumi Robotics,PE,exclude,pending_curation,no_bio,Nature & Ecosystem Tech,0.169,Food Systems & Alt Proteins,0.149,,,Robotics for infrastructure inspection in hard-to-reach areas. Not bio.
somos_internet,Somos Internet,CO,exclude,pending_curation,no_bio,Therapeutics,0.168,Food Systems & Alt Proteins,0.142,,,"Internet service provider in Medellin, Colombia. Not bio."
falcomm,Falcomm,,exclude,confirmed,no_bio,Therapeutics,0.167,Diagnostics & Health Access,0.155,,,Empresa estadounidense de semiconductores fabless que desarrolla power amplifiers mas eficientes para comunicaciones wir
iof,Iof,,exclude,provisional,no_bio,Therapeutics,0.167,Diagnostics & Health Access,0.155,,,insufficiently documented venture para unknown.
lemon,Lemon,AR,exclude,provisional,no_bio,Therapeutics,0.167,Diagnostics & Health Access,0.155,,,Aplicacion cripto/fintech de consumo.
novo_space,NOVO SPACE,AR,exclude,confirmed,no_bio,Therapeutics,0.167,Diagnostics & Health Access,0.155,,,Empresa de hardware espacial que desarrolla computadoras y electronica rad-tolerante para sistemas espaciales complejos.
brasil_ozônio,Brasil Ozônio,BR,review,pending_curation,sin_texto,Therapeutics,0.167,Diagnostics & Health Access,0.155,,,
starlight_ventures,Starlight Ventures,,exclude,provisional,no_bio,Farm Intelligence,0.163,Nature & Ecosystem Tech,0.158,,,venture capital or ecosystem actor para venture ecosystem.
zippedi,Zippedi,CL,exclude,pending_curation,no_bio,Therapeutics,0.163,Biomaterials & Circular Economy,0.161,,,Retail tech robotics company. Not bio.
tractian,Tractian,BR,exclude,pending_curation,no_bio,Biomanufacturing & Platform Technologies,0.163,Biomaterials & Circular Economy,0.136,,,Industrial equipment monitoring and predictive maintenance technology. Not bio.
aguamarina_biomineria,Aguamarina Biomineria,CL,exclude,pending_curation,no_bio,Biomaterials & Circular Economy,0.163,Therapeutics,0.162,,,Green mining technology company. Not bio.
saycel,SayCel,NI,exclude,pending_curation,no_bio,Farm Intelligence,0.163,Therapeutics,0.146,,,Rural mobile connectivity network operator. Not bio.
elytron_security,Elytron Security,BR,exclude,pending_curation,no_bio,Therapeutics,0.162,Diagnostics & Health Access,0.138,,,Cybersecurity consulting and auditing services. Not bio.
yak,YAK,BR,exclude,pending_curation,no_bio,Diagnostics & Health Access,0.162,Therapeutics,0.155,,,Battery-powered electric tractors for small rural applications. Not bio.
loud_voice_services,Loud Voice Services,BR,exclude,pending_curation,no_bio,Food Systems & Alt Proteins,0.161,Diagnostics & Health Access,0.153,,,AI voice solutions and marketplace for conversational AI. Not bio.
robotic_air,Robotic Air,PE,exclude,pending_curation,no_bio,Biomaterials & Circular Economy,0.16,Farm Intelligence,0.152,,,Aerial robotic equipment for surveying and extreme-condition operations. Not bio.
holos_technology,Holos Technology,CL,exclude,pending_curation,no_bio,Diagnostics & Health Access,0.16,Biomanufacturing & Platform Technologies,0.147,,,XR and AI services for various verticals. Not bio.
lifit,Lifit,,exclude,provisional,no_bio,Diagnostics & Health Access,0.159,Farm Intelligence,0.151,,,consumer wellness or productivity software para consumer software. ai-data
voltz,Voltz,BR,exclude,pending_curation,no_bio,Therapeutics,0.156,Nature & Ecosystem Tech,0.146,,,Electric two-wheeler vehicle manufacturer. Not bio.
leoparda_electric_now_renamed_to_vammo,Leoparda Electric (now renamed to Vammo),BR,exclude,pending_curation,no_bio,Therapeutics,0.156,Nature & Ecosystem Tech,0.146,,,Electric motorcycle manufacturer. Not bio.
hitech_electric,Hitech Electric,BR,exclude,pending_curation,no_bio,Therapeutics,0.156,Nature & Ecosystem Tech,0.146,,,Electric vehicle manufacturer. Not bio.
voltu,Voltu,AR,exclude,pending_curation,no_bio,Therapeutics,0.156,Nature & Ecosystem Tech,0.146,,,Electric powertrain manufacturer. Not bio.
agro_ai,Agro AI,CL,exclude,pending_curation,no_bio,Nature & Ecosystem Tech,0.154,Diagnostics & Health Access,0.151,,,AI software for agriculture analytics. Not bio.
beenoculus,Beenoculus,BR,exclude,pending_curation,no_bio,Therapeutics,0.148,Diagnostics & Health Access,0.144,,,Mixed reality headsets for education and training. Not bio.
uali,Uali,AR,exclude,pending_curation,no_bio,Nature & Ecosystem Tech,0.144,Diagnostics & Health Access,0.141,,,Drone technology and AI for energy asset optimization. Not bio.
