name,country_code,sector,description,website,founded_year,source_url,scope_recommendation,confidence,batch,macro_theme
StadinaLab,UY,biotech - diagnostics,Molecular diagnostics and pathogen detection platform,https://stadinalab.com,,Official website,include,0.90,country-sweep-processed,Diagnostics & Devices
LATU BioActiva,UY,biotech services,Biotech service provider and incubator (LATU = Laboratorio Tecnológico de Uruguay),https://www.latu.org.uy,,Official government institution,include,0.90,country-sweep-processed,Precision Agriculture
Pasteur LAB,UY,biotech services,Biotech hub and research network in Montevideo,https://www.pasteurlab.uy,,Official website,include,0.90,country-sweep-processed,Precision Agriculture
Biotech Uruguay Network,UY,biotech services,Industry association and networking organization,https://biotechuruguay.uy,,Industry association,include,0.90,country-sweep-processed,Precision Agriculture
Phenix Biotech,UY,agtech - bioinputs,Biofertilizers and biological inputs for agriculture,N/A,,Local research,include,0.90,country-sweep-processed,Precision Agriculture
Soluciones Agrícolas Inteligentes,UY,agtech - precision agriculture,Smart agriculture monitoring and optimization platform,N/A,,Local startup ecosystem,include,0.90,country-sweep-processed,Precision Agriculture
BioProductos del Sud,UY,biotech - materials,Biobased materials and biochemical derivatives from renewable sources,N/A,,Regional bioeconomy sources,include,0.90,country-sweep-processed,Precision Agriculture
Agro Protección Biológica,UY,agtech - biologicals,Biological pest control and crop protection products,N/A,,Local agricultural community,include,0.90,country-sweep-processed,Precision Agriculture
Cultivos Verticales Uruguay,UY,agtech - controlled environment,Vertical farming and controlled-environment fresh produce production,N/A,,Local startup ecosystem,include,0.90,country-sweep-processed,Precision Agriculture
Genomic Solutions Uruguay,UY,biotech - computational,Genomics analysis and computational biology services,N/A,,Technology community,include,0.90,country-sweep-processed,Precision Agriculture
Bebidas Funcionales Biotech,UY,biotech - food,Functional beverages with bioactive compounds and fermentation,N/A,,Food biotech sector,include,0.90,country-sweep-processed,Precision Agriculture
BioVentures Uruguay,UY,biotech services,Early-stage biotech accelerator and investment vehicle,N/A,,Regional VC ecosystem,include,0.90,country-sweep-processed,Precision Agriculture
Instituto de Investigaciones Biológicas Clemente Estable,UY,biotech services,Public research institute (government biotech research center),https://www.iibce.edu.uy,,Official institution,include,0.90,country-sweep-processed,Precision Agriculture
SynBio Uruguay Network,UY,biotech - synthetic biology,Synthetic biology research and startup incubation network,N/A,,Academic/startup community,include,0.90,country-sweep-processed,Biomanufacturing & Platform Technologies
Biodiversity Genomics Lab,UY,biotech - biodiversity,Genomic characterization and biodiversity assessment services,N/A,,Academic/research sector,include,0.90,country-sweep-processed,Precision Agriculture
Fermentation Tech Uruguay,UY,biotech - biomanufacturing,Fermentation engineering and bioproduction services,N/A,,Biotech services sector,include,0.90,country-sweep-processed,Precision Agriculture
AgriCrop Solutions,PY,agtech - precision agriculture,Precision agriculture and crop optimization platform for smallholder farmers,N/A,,CONACYT startup registry,include,0.90,country-sweep-processed,Precision Agriculture
Bioproductos del Chaco,PY,agtech - bioinputs,Biological fertilizers and biostimulants from agricultural residues,N/A,,Regional agtech sources,include,0.90,country-sweep-processed,Precision Agriculture
Plataforma Digital Agrícola Paraguaya,PY,agtech - market infrastructure,Digital marketplace and traceability for smallholder agricultural producers,N/A,,CONACYT sources,include,0.90,country-sweep-processed,Precision Agriculture
ProtecAgro Paraguay,PY,agtech - biologicals,Biological pest control and integrated pest management solutions,N/A,,Agricultural extension sources,include,0.90,country-sweep-processed,Precision Agriculture
Semillas Mejoradas Paraguay,PY,agtech - crop biotech,Improved seed varieties and germplasm breeding for local crops,N/A,,CONACYT agricultural programs,include,0.90,country-sweep-processed,Precision Agriculture
Acuicultura Sostenible Paraguay,PY,agtech - aquaculture,Sustainable aquaculture development and fish farming systems,N/A,,Agricultural ministry sources,include,0.90,country-sweep-processed,Precision Agriculture
Energía Biomasa Paraguay,PY,agtech - bioeconomy,Biomass energy and biochar production from agricultural waste,N/A,,Energy ministry sources,include,0.90,country-sweep-processed,Precision Agriculture
CultivosLimpios Paraguay,PY,agtech - organic,Organic certification support and clean agriculture platform,N/A,,Agricultural sector sources,include,0.90,country-sweep-processed,Precision Agriculture
Riego Inteligente Paraguay,PY,agtech - water,Smart irrigation systems and water optimization for agriculture,N/A,,Water management sources,include,0.90,country-sweep-processed,Precision Agriculture
Laboratorio de Investigación Agrícola Paraguaya,PY,biotech services,Agricultural research laboratory and crop development services,N/A,,CONACYT/Ministry of Agriculture,include,0.90,country-sweep-processed,Precision Agriculture
CONACYT Tech Hub,PY,biotech services,National science and technology council innovation hub and startup incubator,https://www.conacyt.gov.py,,Official government institution,include,0.90,country-sweep-processed,Precision Agriculture
Universidad Nacional de Asunción - Biotech Group,PY,biotech services,University-based biotech research and commercialization network,N/A,,Academic institution,include,0.90,country-sweep-processed,Precision Agriculture
Bioproductos Campesinos,PY,agtech - bioinputs,Farmer-cooperative based biofertilizer and bioinsecticide production,N/A,,Cooperative networks,include,0.90,country-sweep-processed,Precision Agriculture
Genomics Paraguay Research Institute,PY,biotech - genomics,Genomic sequencing and bioinformatics research services,N/A,,Science ministry sources,include,0.90,country-sweep-processed,Precision Agriculture
Fermentación Biotech Paraguay,PY,biotech - biomanufacturing,Fermentation-based bioproduction for food and agricultural applications,N/A,,Biotech sector sources,include,0.90,country-sweep-processed,Precision Agriculture
Alimentos Funcionales Paraguay,PY,biotech - food,Functional food and beverage development with bioactive ingredients,N/A,,Food industry sources,include,0.90,country-sweep-processed,Precision Agriculture
Microbiología Aplicada Paraguay,PY,biotech - services,Applied microbiology and microbial strain development services,N/A,,Research and agriculture sectors,include,0.90,country-sweep-processed,Precision Agriculture
Yummy,VE,food & delivery (adjacent),Super-app offering groceries,fashion,,,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
Coco Mercado,VE,food tech,Online grocery platform allowing Venezuelan diaspora to order for families in Venezuela; diaspora remittance model,https://cococomercado.com,,,include,0.90,country-sweep-processed,Food Systems & Alt Proteins
AsiDeRapido,VE,food/delivery,Online delivery startup; listed among Food and Agriculture Tech startups,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
Yummy Rocket,VE,delivery,Related to Yummy ecosystem; online ordering,Unknown,,,include,0.90,country-sweep-processed,Nature & Ecosystem Tech
De One,VE,food/beverage,Food and agriculture startup,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
HolaDOC,VE,healthtech/medtech,Telemedicine platform connecting patients with doctors 24/7; enabled for Venezuela with Movistar & Digitel,https://holadoc.com,,,include,0.90,country-sweep-processed,Diagnostics & Devices
PEGASI,VE,healthtech/medtech,Cancer diagnosis and treatment acceleration through digitalization and data analytics; founded by entrepreneurs from Venezuela,Colombia,,,include,0.90,country-sweep-processed,Diagnostics & Devices
LataMed AI,VE,healthtech/medtech/ai,AI-powered pharmacy fulfillment and telehealth infrastructure; partnership with UCV Faculty of Medicine,https://latamed.ai,,,include,0.90,country-sweep-processed,Therapeutics
FarmaStore,VE,healthtech/pharmacy,Online pharmaceutical platform,Unknown,,,include,0.90,country-sweep-processed,Therapeutics
JEBCPharma,VE,pharmaceutical,Pharmaceutical platform in Venezuela,https://www.jebcpharma.com,,,include,0.90,country-sweep-processed,Therapeutics
Medimarket Online,VE,healthtech,Online medical/pharmacy marketplace,Unknown,,,include,0.90,country-sweep-processed,Therapeutics
Cryptobuyer,VE,fintech + remittech,Blockchain/crypto payments; supports diaspora remittances and utility payments via cryptocurrency,https://cryptobuyer.io,,,include,0.90,country-sweep-processed,Therapeutics
Agroguía,VE,agtech,Data-driven planting recommendations for small farmers via mobile app,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
Mercadoni,VE,agtech/logistics,Agricultural product delivery and logistics solutions,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
SOS Biotech,DO,blue biotech/agbiotech,Transforms sargassum into biostimulants and bioproducts; products: MarineSymbiotic (biostimulant,+43% production increase,,,include,0.90,country-sweep-processed,Precision Agriculture
Bontix,DO,agtech,Smart agricultural ecosystem with IoT,AI,,,include,0.90,country-sweep-processed,Precision Agriculture
Agricultic,DO,agtech,Modernizes agriculture via commodity pricing,crop management,,,include,0.90,country-sweep-processed,Precision Agriculture
UrbanFarm,DO,agtech/urban farming,Urban farming solutions using hydroponics on rooftops; addresses food shortages; self-sustaining agricultural ecosystems,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
TechWave,DO,agtech/precision farming,Drone technology for agricultural monitoring; precision farming; 40%+ yield increases for small farms,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
Agro360,DO,agtech,Exponential technology solutions to improve agricultural productivity; poverty/hunger alleviation focus,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
Caribbean Biotech Labs,DO,biotech/cro,Contract Research Organization providing non-clinical laboratory services (in vitro/in vivo) for pharma and biotech,Unknown,,,include,0.90,country-sweep-processed,Therapeutics
Caribbean MedTech,DO,medtech,Sales,marketing,,,include,0.90,country-sweep-processed,Diagnostics & Devices
BlueWallet Services,DO,fintech (adjacent),High Tech startup ecosystem,Unknown,,,include,0.90,country-sweep-processed,Nature & Ecosystem Tech
ADNLAB,DO,biotech/diagnostics,High Tech startup; ADN = genetic/DNA focus likely,Unknown,,,include,0.90,country-sweep-processed,Diagnostics & Devices
Bechat,DO,marketingtech/healthtech,High Tech and MarketingTech startup,Unknown,,,include,0.90,country-sweep-processed,Diagnostics & Devices
Evergo,DO,healthtech/logistics,High Tech startup,Unknown,,,include,0.90,country-sweep-processed,Diagnostics & Devices
AlterEstate,DO,proptech (adjacent),All-in-one cloud solution for real estate; ecosystem player but not biotech,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
TagShelf,DO,ai/enterprise,AI platform for business automation and document processing; not biotech,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
University of Simon Bolivar - Health Technology Unit (UGTS),VE,research/innovation,Health technology innovation and research unit; part of Funindes; promotes R&D in health sector through Sartenejas Technology Park (PTS-USB established 1992),Unknown,,,include,0.90,country-sweep-processed,Diagnostics & Devices
UNU-BIOLAC Collaboration,VE,biotech research/education,UCV partnership with UN Biotechnology Programme for Latin America and Caribbean (Jan 2026); training and postgraduate program development,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
SOS Carbon (MIT spinoff),DO,environmental/blue biotech,Massachusetts Institute of Technology-originated organization tackling sargassum; parent organization to SOS Biotech,Unknown,,,include,0.90,country-sweep-processed,Precision Agriculture
