"Id","Label","NodeType","CanonicalType","Slug","IntegratedSources","SourcePresence","EntityConfidence","ScopeDecision","ScopeStatus","QualityBand","QualityScore","SourceUrl","SemanticTheme","SemanticClusterId","SemanticConfidence","Summary","OneLiner","Country","r","g","b","Size"
"ergo-foods","Ergo Foods","startup","startup","ergo-foods","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Ethos","Ethos","startup","startup","ethos","canonical|historical","nodes_csv","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","US/Latam","150","150","150","11.6"
"Eureka","Eureka","startup","startup","eureka","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","8","","","","","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","insufficiently documented venture para unknown.","","150","150","150","12.4"
"Exomas","Exomas","startup","startup","exomas","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.exomas.co/","therapeutics and regenerative bio","cluster_6","high","Startup de terapias regenerativas que desarrolla productos basados en exosomas derivados de celulas madre neurales para enfermedades neurodegenerativas. Entra en tesis por therapeutics and regenerative medicine.","Terapias neuroregenerativas basadas en exosomas.","","38","166","154","12"
"eywa-biotech","Eywa Biotech","startup","startup","eywa-biotech","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"F4U","F4U","startup","startup","f4u","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Falcomm","Falcomm","startup","startup","falcomm","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","8","","","","","ultra efficient RF semiconductor components para telecom, satellite and defense. Queda afuera por non_bio_non_biocentric_hardware_outside_thesis.","ultra efficient RF semiconductor components para telecom, satellite and defense.","","150","150","150","12.4"
"Farmtastica","Farmtastica","startup","startup","farmtastica","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"fecundis","fecundis","startup","startup","fecundis","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.fecundis.com/","therapeutics and regenerative bio","cluster_6","high","Biotech de fertilidad que desarrolla tecnologias para mejorar espermatozoides y aumentar la eficacia de tratamientos de infertilidad. Entra en tesis por therapeutics and regenerative medicine.","Fertility biotech built on reproductive biology.","","38","166","154","12.4"
"Feedvax","Feedvax","startup","startup","feedvax","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.feedvax.com/","ag biologicals and crop resilience","cluster_1","medium","Startup de animal biotech que desarrolla vacunas orales para peces para reducir estres operativo y evitar antibioticos en acuicultura. Entra en tesis por ag biologicals and crop resilience.","Oral vaccine platform for aquaculture.","","126","87","194","12.4"
"FixUP","FixUP","startup","startup","fixup","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"flia-duhau","Flia. Duhau","capital","investor","flia-duhau","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"food4you","Food4You","startup","startup","food4you","canonical|historical","graphml","0.6","include","confirmed","fragile","5","https://www.gridexponential.com/portfolio","food ingredients and biofactories","cluster_2","high","Startup food biotech que usa combinaciones bacterianas para mejorar productos plant-based. Entra en tesis por food biotech and novel ingredients.","Bacteria-enabled plant-based food enhancement.","","11","181","214","10"
"Formlabs","Formlabs","startup","startup","formlabs","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"fundacion-para-el-progreso-de-la-medicina","Fundacion para el progreso de la medicina","capital","investor","fundacion-para-el-progreso-de-la-medicina","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"fungi-life","Fungi Life","startup","startup","fungi-life","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"future-biome","Future Biome","startup","startup","future-biome","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"future-ventures","Future Ventures","capital","investor","future-ventures","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Gameet","Gameet","startup","startup","gameet","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"GBM","GBM","startup","startup","gbm","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","MX","150","150","150","11.6"
"Gbot","Gbot","startup","startup","gbot","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"genesis-consortium","Genesis Consortium","capital","investor","genesis-consortium","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Geoprot","Geoprot","startup","startup","geoprot","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://geoprot.bio","ag biologicals and crop resilience","cluster_1","high","Startup agrobiotech que protege cultivos mediante proteinas naturales. Entra en tesis por ag biologicals and crop resilience.","Crop protection through natural proteins.","AR","126","87","194","12.4"
"Gigablue","Gigablue","startup","startup","gigablue","canonical|historical","nodes_csv","0.6","include","confirmed","medium","8","https://www.gigablue.co/about","climate and resource intelligence platforms","cluster_7","high","Startup de ocean carbon removal que combina ciencia marina, biogeoquimica, monitoreo y plataformas de inteligencia oceanografica para remover carbono y restaurar balance oceanico. Entra en tesis por su acople directo a sistemas planetarios.","Ocean carbon removal and marine resilience platform.","AR","255","112","67","12.4"
"gisens-biotech","Gisens Biotech","startup","startup","gisens-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"glocal","GLOCAL","capital","investor","glocal","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"GlucoLib","GlucoLib","startup","startup","glucolib","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"GlycoX","GlycoX","startup","startup","glycox","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.glycox.bio/","food ingredients and biofactories","cluster_2","medium","Startup de ingredientes funcionales que convierte compuestos de origen vegetal en cuidado metabolico cotidiano para control glucemico y resiliencia metabolica.","Metabolic health functional ingredient platform.","AR","11","181","214","12.4"
"GridX","GridX","capital","investor","gridx","canonical|historical|historical_clean","nodes_csv|graphml","0.9","","","","","","","","","","","","37","182","106","18"
"grupo-insud","Grupo Insud","capital","investor","grupo-insud","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"grupo-peruanos","Grupo Peruanos","capital","investor","grupo-peruanos","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"happiness","Happiness","capital","investor","happiness","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"hatch","Hatch","capital","investor","hatch","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"heartbest","Heartbest","startup","startup","heartbest","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://theyieldlablatam.com/companies/heartbest/","food ingredients and biofactories","cluster_2","high","FoodTech enfocada en productos lácteos plant-based como quesos, leches y spreads. Entra en tesis por transición material desde sistemas lácteos animales hacia alimentos de base vegetal.","Plant-based dairy foodtech.","MX","11","181","214","12.4"
"HIAMET","HIAMET","startup","startup","hiamet","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Huiro","Huiro","startup","startup","huiro","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://www.huiroregenerativo.com/en","climate and resource intelligence platforms","cluster_7","high","Startup chilena que desarrolla un modelo colaborativo de cultivo regenerativo de algas para restaurar ecosistemas marinos, capturar carbono y activar economias costeras circulares. Entra en tesis por su intervencion directa sobre sistemas vivos y regeneracion de limites planetarios.","Regenerative seaweed cultivation for marine restoration and coastal livelihoods.","CL","255","112","67","12.8"
"imvalv","Imvalv","startup","startup","imvalv","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://imvalv.com","clinical diagnostics and medical devices","cluster_5","high","Startup medtech que desarrolla dispositivos innovadores para tratamiento del glaucoma. Entra en tesis por diagnostics and medtech.","Innovative medical devices for glaucoma treatment.","AR","31","78","108","12.4"
"inbioar","Inbioar","startup","startup","inbioar","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://inbioar.com/","ag biologicals and crop resilience","cluster_1","low","Startup de descubrimiento de ingredientes botanicos para proteccion de cultivos, enfocada en herbicidas, fungicidas, insecticidas y estimulantes de origen natural.","Botanical crop-protection ingredient discovery platform.","AR","126","87","194","12.4"
"indiebio","IndieBio","capital","investor","indiebio","canonical|historical|historical_clean|institution_candidates","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"infira","Infira","startup","startup","infira","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"ini","INI","startup","startup","ini","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"INMET","INMET","startup","startup","inmet","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sf500.com.ar/","ag biologicals and crop resilience","cluster_1","low","Startup de materiales que desarrolla un biopolimero totalmente compostable y libre de solventes. Entra en tesis por biobased chemistry and advanced materials.","Fully compostable, solvent free, biopolymer.","AR","126","87","194","12.4"
"inner-cosmos","Inner Cosmos","startup","startup","inner-cosmos","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Innovai","Innovai","startup","startup","innovai","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"inventure","Inventure","capital","investor","inventure","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Invitrall","Invitrall","startup","startup","invitrall","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"jeff-wilke","Jeff Wilke","capital","investor","jeff-wilke","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"kairetsu-angels","Kairetsu Angels","capital","investor","kairetsu-angels","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"kamay-ventures","Kamay Ventures","capital","investor","kamay-ventures","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Kigui","Kigui","startup","startup","kigui","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://kigui.io/en/","climate and resource intelligence platforms","cluster_7","high","Plataforma de IA para retail que detecta expiraciones, faltantes y ejecucion promocional para reducir mermas y mejorar rotacion en alimentos y consumo masivo. Se mantiene adentro como caso borde de eficiencia material y desperdicio.","AI copilot for retail waste and rotation management.","MX/AR","255","112","67","12.8"
"Kilimo","Kilimo","startup","startup","kilimo","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","9","https://kilimo.com/en/about-us/","agri intelligence and traceable markets","cluster_4","high","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes. Entra en tesis por precision agriculture and resource intelligence.","Kilimo is a water-focused ag and climate platform that links companies and farmers to improve irrigation efficiency and watershed outcomes.","AR","217","112","179","13.2"
"kresko-rnatech","Kresko RNATech","startup","startup","kresko-rnatech","canonical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"kwb","KWB","capital","investor","kwb","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"lartirigoyen","Lartirigoyen","capital","investor","lartirigoyen","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Laurus","Laurus","startup","startup","laurus","canonical|historical","nodes_csv","0.6","include","confirmed","medium","8","https://laurus.bio/about-us/","industrial enzymes and bioprocess platforms","cluster_3","high","Empresa de biomanufactura basada en precision fermentation y tecnologia recombinante que produce proteinas y growth factors animal-free para biopharma, food, health and nutrition. Entra en tesis por biomanufacturing and bioindustrial platforms.","Precision fermentation and recombinant biomanufacturing company.","AR","139","195","74","12.4"
"Lemon","Lemon","startup","startup","lemon","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7.5","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","12"
"levya","Levya","startup","startup","levya","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"Libera","Libera","startup","startup","libera","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sf500.com.ar/","therapeutics and regenerative bio","cluster_6","high","Startup therapeutics que usa vesiculas extracelulares para combatir enfermedades inflamatorias. Entra en tesis por therapeutics and regenerative medicine.","Extracellular vesicles to fight inflammatory diseases.","AR","38","166","154","12.4"
"limay-biosciences","Limay Biosciences","startup","startup","limay-biosciences","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"lipock","Lipock","startup","startup","lipock","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"logshare","LogShare","startup","startup","logshare","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://www.logshare.com.br/embarcadores?lang=en","climate and resource intelligence platforms","cluster_7","medium","Plataforma de logistica colaborativa que comparte capacidad ociosa en rutas de carga para reducir viajes vacios, costos y emisiones, con trazabilidad y monitoreo ambiental. Entra como caso borde climate-material por su acople directo a transporte de cargas y reduccion de combustibles fosiles.","Collaborative freight-sharing and logistics efficiency platform.","BR","255","112","67","12.4"
"losa-group","Losa Group","capital","investor","losa-group","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Luyef","Luyef","startup","startup","luyef","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"M4Life","M4Life","startup","startup","m4life","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sf500.com.ar/","ag biologicals and crop resilience","cluster_1","high","Startup agrobiotech que desarrolla un enhancer biologico para resiliencia vegetal frente a estres abiotico. Entra en tesis por ag biologicals and crop resilience.","Biological plant resilience enhancer to abiotic stress.","AR","126","87","194","12.4"
"managro","ManAgro","capital","investor","managro","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"mavios","Mavios","startup","startup","mavios","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://mavios.ai/","industrial enzymes and bioprocess platforms","cluster_3","medium","Startup de infraestructura bioindustrial que desarrolla un digital twin para bioprocesos y ayuda a empresas de fermentacion de precision a escalar mas rapido con simulaciones in silico. Entra en tesis por biomanufacturing and bioindustrial platforms.","AI-based digital twin for bioprocess scale-up.","AR","139","195","74","12.4"
"Menta","Menta","startup","startup","menta","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"mentatech","MentaTech","startup","startup","mentatech","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"menta-tickets","Menta Tickets","startup","startup","menta-tickets","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Mesenchyal-T","Mesenchyal-T","startup","startup","mesenchyal-t","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"metabix-biotech","Metabix Biotech","startup","startup","metabix-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"michroma","michroma","startup","startup","michroma","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","9","https://www.michroma.co/who-we-are","food ingredients and biofactories","cluster_2","high","Michroma uses fungal synthetic biology and precision fermentation to create natural food color ingredients. Entra en tesis por food biotech and novel ingredients. TRL actual inferido: 6.","Michroma uses fungal synthetic biology and precision fermentation to create natural food color ingredients.","AR/US","11","181","214","13.2"
"microgenesis","microgenesis","startup","startup","microgenesis","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://www.microgenesis.net/","clinical diagnostics and medical devices","cluster_5","high","Startup de fertility diagnostics que combina evaluacion inflamatoria, edad reproductiva biologica y planes personalizados para acompanamiento de fertilidad y fallos de FIV.","Fertility diagnostics and reproductive age assessment.","AR/US","31","78","108","12.8"
"MicroIN","MicroIN","startup","startup","microin","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://www.gridexponential.com/portfolio","ag biologicals and crop resilience","cluster_1","high","Startup de formulacion que desarrolla microencapsulacion para innovacion en bioinsumos. Entra en tesis por ag biologicals and crop resilience.","Microencapsulation for bioinputs.","AR","126","87","194","12.4"
"Microterra","Microterra","startup","startup","microterra","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sosv.com/company/microterra/","food ingredients and biofactories","cluster_2","high","Startup de ingredientes funcionales plant-based que cultiva lemna en acuifarms para producir ingredientes alimentarios mientras limpia agua y reduce huella hídrica. Entra en tesis por food biotech and novel ingredients.","Water-cleaning plant-based functional ingredients from lemna.","MX","11","181","214","12.4"
"Migma","Migma","startup","startup","migma","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","high","8.5","","","","","AI email generation platform para marketing technology. Queda afuera por full_digital_no_materiality_signal.","AI email generation platform para marketing technology.","AR","150","150","150","12.8"
"monte-caldera-technology","Monte Caldera Technology","startup","startup","monte-caldera-technology","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"multiplai-health","MultiplAI Health","startup","startup","multiplai-health","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"muta","MUTA","startup","startup","muta","canonical|historical","graphml","0.6","exclude","provisional","medium","8","","","","","commodities and software services company para commodities and business services. Queda afuera por non_thesis_business_services_and_commodities.","commodities and software services company para commodities and business services.","","150","150","150","12.4"
"mycorium-biotech","Mycorium Biotech","startup","startup","mycorium-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"MZP","MZP","startup","startup","mzp","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://www.f6s.com/company/mzp","clinical diagnostics and medical devices","cluster_5","high","Startup medtech que desarrolla diagnostico avanzado de coagulacion para manejo de sangrado en trauma, cirugia, trasplantes y cuidados criticos.","Advanced coagulation diagnostics for critical care.","","31","78","108","12"
"nairotech","Nairotech","startup","startup","nairotech","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"nanogrow-biotech","Nanogrow Biotech","startup","startup","nanogrow-biotech","canonical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"NanoInGreen","NanoInGreen","startup","startup","nanoingreen","canonical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://nanoingreen.com","food ingredients and biofactories","cluster_2","high","Startup de nanotecnologia que encapsula ingredientes naturales para mejorar su uso en aplicaciones alimentarias, cosmeticas o de salud. Entra en tesis por biobased chemistry and advanced materials.","Nanotechnology for encapsulating natural ingredients.","AR","11","181","214","12.8"
"nano-jump-bio","Nano Jump Bio","startup","startup","nano-jump-bio","canonical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"nanoprox","NanoproX","startup","startup","nanoprox","canonical","graphml","0.6","include","confirmed","medium","7.5","https://www.nanoprox.com/","therapeutics and regenerative bio","cluster_6","high","Startup oncológica que usa nanopartículas para potenciar radioterapia, mejorar eficacia y reducir efectos adversos. Entra en tesis por diagnostics and medtech.","Nanotech-enhanced radiotherapy platform.","","38","166","154","12"
"Nanotransfer","Nanotransfer","startup","startup","nanotransfer","canonical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://nanotransfer.bio/","therapeutics and regenerative bio","cluster_6","high","Startup de nanobiotech que desarrolla sistemas no virales de entrega genetica para terapias genicas y edicion, basados en nanoparticulas de oxidos metalicos.","Non-viral gene delivery platform.","AR","38","166","154","12.4"
"Nat4Bio","Nat4Bio","startup","startup","nat4bio","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://sosv.com/company/nat4bio/","food ingredients and biofactories","cluster_2","medium","Startup food biotech que desarrolla recubrimientos comestibles, naturales y sin residuos para proteger frutas del deterioro. Entra en tesis por food biotech and novel ingredients.","Natural zero-residue edible coatings for fresh fruit.","AR","11","181","214","12.8"
"Naturannova","Naturannova","startup","startup","naturannova","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://naturannova.com/","food ingredients and biofactories","cluster_2","high","Startup foodtech que usa IA, bioinformatica y microorganismos para descubrir y producir ingredientes proteicos naturales y sustentables, incluyendo proteinas dulces.","AI and bioinformatics for sustainable protein ingredients.","CL","11","181","214","12.4"
"naturanova","Naturanova","startup","startup","naturanova","canonical|historical","graphml","0.6","exclude","provisional","medium","8","","","","","natural consumer wellness brand para consumer wellness. Queda afuera por consumer_brand_outside_tracker_thesis.","natural consumer wellness brand para consumer wellness.","","150","150","150","12.4"
"neocell","Neocell","startup","startup","neocell","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://neocellbiotech.com/","industrial enzymes and bioprocess platforms","cluster_3","high","Empresa biotech enfocada en desarrollo, transferencia y manufactura de biosimilares y biologicos, desde clones y procesos hasta lotes preclinicos y clinicos.","Biopharma development and biosimilar platform.","AR","139","195","74","12.4"
"neptune-robotics","Neptune Robotics","startup","startup","neptune-robotics","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"new-organs-biotech","New Organs Biotech","startup","startup","new-organs-biotech","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"ngc-partners","ngc Partners","startup","startup","ngc-partners","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Nideport","Nideport","startup","startup","nideport","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","7.5","https://nideport.com","climate and resource intelligence platforms","cluster_7","high","Startup que desarrolla una plataforma para gestion y comercializacion de creditos de carbono. Entra en tesis por climate, energy and resource systems.","Carbon credit management and commercialization platform.","","255","112","67","12"
"NotCo","NotCo","startup","startup","notco","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"NotFossil","NotFossil","startup","startup","notfossil","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","medium","8","https://sf500.com.ar/","climate and resource intelligence platforms","cluster_7","high","Startup de bioremediacion que desarrolla biofiltros con microbios propietarios para degradar hidrocarburos. Entra en tesis por climate, energy and resource systems.","Biofilters with proprietary microbes to degrade hydrocarbons.","AR","255","112","67","12.4"
"novo-space","Novo Space","startup","startup","novo-space","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"nude","Nude","startup","startup","nude","canonical|historical","graphml","0.6","exclude","provisional","medium","8","","","","","insufficiently documented venture para unknown. Queda afuera por insufficient_public_evidence_and_no_defensible_materiality_signal.","insufficiently documented venture para unknown.","","150","150","150","12.4"
"nunatak-biotech","Nunatak Biotech","startup","startup","nunatak-biotech","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"nxtp-labs","Nxtp Labs","capital","capital_candidate","nxtp-labs","historical|historical_clean","historical","0.75","","","","","","","","","","","","37","182","106","18"
"Oasys","Oasys","startup","startup","oasys","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"ocular-bio-design","Ocular Bio Design","startup","startup","ocular-bio-design","canonical|historical","graphml","0.6","","","","","","","","","","","","150","150","150","7"
"Oncoliq","Oncoliq","startup","startup","oncoliq","canonical|historical","nodes_csv|graphml","0.9","include","confirmed","high","8.5","https://sf500.com.ar/","clinical diagnostics and medical devices","cluster_5","high","Startup de diagnostico oncologico no invasivo para deteccion temprana de cancer. Entra en tesis por diagnostics and medtech.","Non-invasive early cancer detection.","AR","31","78","108","12.8"
"onco-precision","Onco Precision","startup","startup","onco-precision","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"Oneinfinite","Oneinfinite","startup","startup","oneinfinite","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","high","8.5","","","","","cross border payments orchestration para fintech. Queda afuera por full_digital_no_materiality_signal.","cross border payments orchestration para fintech.","AR","150","150","150","12.8"
"Opentrons","Opentrons","startup","startup","opentrons","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"open-water","Open Water","startup","startup","open-water","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"ospraie","Ospraie","capital","investor","ospraie","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"other-angels","other angels","capital","investor","other-angels","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"other-small-investors","other small investors","capital","investor","other-small-investors","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Outpost","Outpost","startup","startup","outpost","canonical|historical","nodes_csv","0.6","include","confirmed","medium","7","https://www.outpost.bio/","clinical diagnostics and medical devices","cluster_5","medium","TechBio que combina wet lab microbiology y machine learning para volver computable la microbiologia humana. Entra en tesis por computational biology and scientific software.","Microbiome predictive biology platform.","","31","78","108","11.6"
"Pannex","Pannex","startup","startup","pannex","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"patagon-fiber","Patagon Fiber","startup","startup","patagon-fiber","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"paul-mcewan","Paul McEwan","capital","investor","paul-mcewan","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"Peek","Peek","startup","startup","peek","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"pepton","Pepton","startup","startup","pepton","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"peruanos","Peruanos","capital","investor","peruanos","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"photon-fund","Photon Fund","capital","investor","photon-fund","canonical|historical","graphml","0.6","","","","","","","","","","","","37","182","106","18"
"phylumtech","PhylumTech","startup","startup","phylumtech","canonical|historical","graphml","0.6","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
"pill-ar","Pill.AR","startup","startup","pill-ar","canonical|historical","nodes_csv","0.6","","","","","","","","","","","","150","150","150","7"
"plamic","Plamic","startup","startup","plamic","canonical|historical","graphml","0.6","include","confirmed","medium","8","https://plamic.bio","ag biologicals and crop resilience","cluster_1","medium","Startup agtech que aplica nanotecnologia al control de plagas en agricultura. Se mantiene dentro por su acople con sistemas agricolas materiales.","Nanotechnology for pest control in agriculture.","AR","126","87","194","12.4"
"Polymera","Polymera","startup","startup","polymera","canonical|historical","nodes_csv|graphml","0.9","exclude","provisional","medium","7","","","","","software and market infrastructure para cross-sector enterprise markets. Queda afuera por full_digital_no_materiality_signal.","software and market infrastructure para cross-sector enterprise markets.","AR","150","150","150","11.6"
